Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	841	0	0	0	0	0	0	0	317	841	0	
5	8.39746e+006	1281	0	0	0	0	0	0	0	440	1281	0	
6	8.39686e+006	1874	0	0	0	0	0	0	0	593	1874	0	
7	8.39599e+006	2734	16	0	0	0	0	0	0	877	2750	16	
8	8.39476e+006	3801	136	40	0	0	0	0	0	1226	3977	136	
9	8.39317e+006	5231	256	80	0	0	0	0	0	1590	5567	256	
10	8.39099e+006	7218	382	126	0	0	0	16	0	2175	7742	398	
11	8.38792e+006	9972	499	166	31	0	0	145	0	3072	10813	641	
12	8.38379e+006	13669	713	232	61	0	0	275	0	4136	14949	976	
13	8.37825e+006	18608	1018	332	96	0	0	427	0	5533	20482	1428	
14	8.37063e+006	25353	1446	464	156	0	0	685	0	7622	28104	2110	
15	8.36027e+006	34490	2030	666	249	0	0	1032	0	10363	38467	3048	
16	8.34641e+006	46761	2778	915	361	0	0	1513	0	13860	52327	4266	
17	8.32742e+006	63572	3756	1236	504	17	15	2229	0	18987	71314	5961	
18	8.30183e+006	86088	5125	1712	708	28	20	3241	0	25588	96902	8315	
19	8.26738e+006	116412	7016	2366	989	37	25	4541	0	34460	131361	11480	
20	8.22087e+006	157386	9519	3221	1352	56	34	6334	0	46507	177868	15714	
21	8.15855e+006	212084	12923	4367	1854	82	47	8877	0	62319	240188	21541	
22	8.07488e+006	285388	17581	5937	2547	116	63	12287	0	83667	323855	29478	
23	7.96357e+006	382842	23840	8005	3459	168	87	16856	0	111315	435170	40159	
24	7.81581e+006	511608	32388	10823	4707	234	117	23162	0	147752	582922	54763	
25	7.62164e+006	680197	43834	14601	6401	330	160	31736	0	194177	777098	74450	
