Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	830	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	0	0	
5	8.39743e+006	8.39748e+006	1260	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	455	1260	1302	0	0	
6	8.39683e+006	8.3969e+006	1839	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	613	1839	1908	0	0	
7	8.39593e+006	8.39604e+006	2681	2788	16	16	0	0	0	0	0	0	0	0	0	0	0	0	850	903	2697	2804	16	16	
8	8.39468e+006	8.39484e+006	3721	3881	131	140	36	45	0	0	0	0	0	0	0	0	0	0	1190	1263	3897	4057	131	140	
9	8.39313e+006	8.39337e+006	5033	5268	251	262	74	85	0	0	0	0	0	0	0	0	0	0	1465	1555	5369	5604	251	262	
10	8.39117e+006	8.39148e+006	6729	7040	374	390	119	134	0	0	0	0	0	0	16	16	0	0	1871	1972	7253	7564	390	406	
11	8.38866e+006	8.38909e+006	8808	9232	485	512	157	175	27	35	0	0	0	0	141	149	0	0	2381	2524	9644	10078	629	653	
12	8.38569e+006	8.38625e+006	11215	11755	690	736	222	242	56	67	0	0	0	0	269	280	0	0	2828	2981	12482	13050	958	995	
13	8.38224e+006	8.38296e+006	13931	14600	981	1056	317	347	90	103	0	0	0	0	420	435	0	0	3280	3467	15777	16501	1401	1456	
14	8.37842e+006	8.37931e+006	16726	17523	1393	1498	444	483	147	165	0	0	0	0	673	697	0	0	3643	3829	19430	20320	2067	2152	
15	8.37435e+006	8.37545e+006	19385	20335	1960	2100	639	693	238	259	0	0	0	0	1012	1052	0	0	3848	4076	23290	24384	2988	3108	
16	8.37027e+006	8.37157e+006	21782	22869	2626	2813	865	922	347	374	0	0	0	0	1482	1543	0	0	3862	4089	27162	28462	4118	4298	
17	8.36647e+006	8.36795e+006	23520	24712	3391	3619	1117	1189	487	521	15	19	14	17	2182	2276	0	0	3611	3814	30783	32266	5589	5830	
18	8.36247e+006	8.36417e+006	24908	26204	4270	4572	1421	1506	685	732	25	30	19	22	3171	3310	0	0	3772	4013	34565	36269	7445	7778	
19	8.35805e+006	8.35998e+006	26261	27655	5269	5634	1774	1880	943	1002	34	40	23	27	4379	4577	0	0	4179	4434	38761	40686	9635	10071	
20	8.35357e+006	8.35574e+006	27195	28687	6286	6733	2156	2286	1252	1321	51	60	31	36	5933	6199	0	0	4219	4495	42992	45168	12163	12716	
21	8.34887e+006	8.35132e+006	27959	29574	7235	7730	2461	2603	1619	1706	77	88	44	51	7930	8303	0	0	4408	4716	47415	49868	15017	15695	
22	8.34391e+006	8.34668e+006	28731	30476	7985	8559	2721	2878	2056	2166	109	123	58	68	10296	10781	0	0	4621	4976	52052	54829	18022	18859	
23	8.33872e+006	8.34184e+006	29702	31593	8422	9044	2857	3024	2543	2679	159	177	80	93	13056	13665	0	0	4834	5205	56900	60020	21078	22084	
24	8.33329e+006	8.33676e+006	31153	33228	8379	9016	2872	3031	3032	3192	223	246	110	125	16151	16906	0	0	5063	5447	61981	65450	23960	25118	
25	8.32762e+006	8.33148e+006	32635	34900	8324	8979	2848	3009	3498	3685	311	339	148	167	19458	20382	0	0	5257	5682	67257	71112	26979	28319	
26	8.32165e+006	8.32593e+006	33987	36457	8571	9243	2920	3088	3880	4097	417	447	194	216	22845	23938	0	0	5538	5984	72807	77084	30306	31819	
27	8.3155e+006	8.32024e+006	35442	38134	9022	9777	3057	3255	4122	4354	534	571	241	267	26093	27346	13	16	5675	6171	78500	83236	33656	35361	
28	8.30906e+006	8.31429e+006	36958	39886	9523	10354	3175	3397	4300	4554	685	731	310	340	29539	30987	17	20	5922	6469	84445	89681	37178	39101	
29	8.3023e+006	8.30809e+006	38518	41682	9823	10760	3307	3543	4469	4729	856	911	389	422	33396	35045	19	22	6183	6770	90646	96434	40839	43024	
30	8.29523e+006	8.3016e+006	40146	43568	10278	11313	3455	3713	4586	4869	1047	1110	476	515	37314	39186	22	26	6464	7090	97132	103502	44697	47156	
31	8.28784e+006	8.29485e+006	41819	45541	10724	11838	3655	3930	4685	4991	1237	1316	566	613	41438	43554	28	35	6738	7419	103891	110900	48699	51437	
32	8.28003e+006	8.28777e+006	43621	47684	11208	12389	3801	4090	4858	5172	1421	1513	656	705	45711	48128	35	43	7061	7821	110971	118702	52895	55939	
33	8.27196e+006	8.28046e+006	45369	49794	11728	12990	3975	4279	5091	5436	1570	1676	730	787	50164	52880	47	56	7288	8093	118281	126773	57296	60677	
34	8.26352e+006	8.27284e+006	47286	52092	12188	13567	4108	4442	5346	5721	1721	1833	801	859	54820	57850	64	75	7593	8468	125898	135216	61825	65565	
35	8.25466e+006	8.26488e+006	49299	54502	12675	14179	4266	4638	5557	5956	1864	1985	871	937	59722	63105	83	96	7937	8876	133855	144073	66545	70669	
36	8.24933e+006	8.26011e+006	47871	53081	13138	14790	4423	4837	5795	6224	2005	2133	938	1004	64870	68634	108	122	4758	5346	138626	149406	71466	76018	
37	8.24371e+006	8.25513e+006	46372	51627	13687	15478	4640	5092	6068	6518	2112	2253	992	1061	70151	74337	140	157	4965	5636	143607	155026	76596	81595	
38	8.23785e+006	8.24993e+006	44817	50090	14258	16189	4866	5351	6306	6804	2205	2356	1033	1107	75725	80355	178	198	5183	5881	148807	160891	81931	87435	
39	8.23226e+006	8.24499e+006	42675	47875	14886	16997	5093	5618	6599	7139	2292	2452	1073	1152	81502	86632	220	243	4922	5604	153743	166480	87542	93619	
40	8.22684e+006	8.24021e+006	40155	45220	15498	17791	5283	5848	6870	7452	2364	2541	1104	1192	87592	93243	273	298	4769	5437	158529	171900	93352	100024	
41	8.22164e+006	8.23566e+006	37089	41973	16138	18629	5473	6084	7175	7817	2443	2625	1139	1227	93916	100136	325	353	4527	5221	163075	177101	99392	106718	
42	8.21677e+006	8.23144e+006	33351	37977	17192	19862	5290	5910	7461	8166	2524	2720	1176	1269	100574	107438	378	411	4199	4880	167292	181963	106095	114171	
43	8.2123e+006	8.22758e+006	32440	37124	15580	18020	4421	4957	7752	8522	2651	2860	1230	1328	107417	114961	427	465	3849	4492	171155	186441	110271	118830	
44	8.20799e+006	8.22388e+006	31161	35812	13912	16134	3514	3958	8052	8876	2775	3000	1294	1399	114561	122852	478	520	3687	4323	174858	190747	114627	123744	
45	8.20387e+006	8.22035e+006	29487	34061	11719	13697	2985	3369	8369	9269	2894	3138	1341	1456	122021	131114	538	584	3510	4130	178384	194862	119079	128764	
46	8.20002e+006	8.21706e+006	27843	32333	11833	13908	3024	3426	8028	8916	3018	3281	1402	1529	126950	136593	599	648	3280	3874	181680	198719	123210	133439	
47	8.19635e+006	8.21394e+006	26171	30584	11667	13742	2985	3401	7667	8549	3159	3442	1458	1595	132093	142355	659	711	3097	3687	184792	202391	127235	137994	
48	8.19282e+006	8.21097e+006	24600	28902	11161	13230	2834	3254	7308	8179	3295	3601	1525	1673	137453	148361	721	780	2957	3538	187763	205915	131083	142387	
49	8.18954e+006	8.20821e+006	23151	27319	10595	12661	2681	3095	6849	7702	3430	3759	1586	1744	142649	154201	785	848	2753	3295	190530	209195	134657	146508	
50	8.18637e+006	8.20557e+006	21929	26009	9858	11899	2500	2911	6313	7126	3568	3927	1644	1816	147765	159954	854	922	2628	3180	193171	212363	137931	150294	
51	8.18339e+006	8.20308e+006	20716	24689	9190	11173	2331	2734	5650	6411	3719	4111	1712	1897	152749	165612	927	998	2473	3003	195659	215351	141066	153932	
52	8.18056e+006	8.20074e+006	19526	23396	8626	10552	2210	2602	5555	6340	3694	4089	1702	1887	157013	170489	999	1076	2319	2838	197992	218175	144041	157408	
