Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	523	0	0	0	0	0	0	0	187	523	0	
4	8.39794e+006	800	0	0	0	0	0	0	0	277	800	0	
5	8.39758e+006	1158	0	0	0	0	0	0	0	358	1158	0	
6	8.39716e+006	1572	0	0	0	0	0	0	0	414	1572	0	
7	8.39665e+006	2066	16	0	0	0	0	0	0	510	2082	16	
8	8.39607e+006	2493	136	40	0	0	0	0	0	588	2669	136	
9	8.39545e+006	2946	256	80	0	0	0	0	0	612	3282	256	
10	8.39484e+006	3371	381	126	0	0	0	16	0	612	3893	397	
11	8.39419e+006	3746	466	158	31	0	0	145	0	652	4546	608	
12	8.39345e+006	4133	621	201	61	0	0	275	0	745	5290	884	
13	8.39263e+006	4536	796	253	96	0	0	427	0	818	6108	1205	
14	8.39175e+006	4906	976	306	149	0	0	651	0	880	6988	1605	
15	8.3908e+006	5264	1146	366	221	0	0	936	0	945	7934	2064	
16	8.38979e+006	5664	1287	422	303	0	0	1269	0	1012	8945	2537	
17	8.3887e+006	6142	1358	453	379	17	15	1686	0	1090	10036	3018	
18	8.38752e+006	6667	1403	473	466	28	20	2176	0	1177	11212	3543	
19	8.38627e+006	7175	1508	501	553	37	25	2691	0	1253	12465	4144	
20	8.38507e+006	7558	1672	543	615	54	33	3225	0	1201	13666	4790	
21	8.38377e+006	7982	1844	599	671	75	43	3800	0	1304	14971	5485	
22	8.38237e+006	8436	1994	649	740	97	54	4453	0	1399	16369	6235	
23	8.38092e+006	8875	2128	708	789	126	68	5193	0	1451	17820	7023	
24	8.37942e+006	9277	2282	765	851	161	83	5976	0	1493	19313	7877	
25	8.37784e+006	9687	2440	839	904	196	99	6834	0	1586	20899	8786	
26	8.37619e+006	10085	2625	896	981	229	115	7735	0	1652	22551	9770	
