Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	830	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	0	0	
5	8.39743e+006	8.39748e+006	1260	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	455	1260	1302	0	0	
6	8.39683e+006	8.3969e+006	1839	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	613	1839	1908	0	0	
7	8.39593e+006	8.39604e+006	2681	2788	16	16	0	0	0	0	0	0	0	0	0	0	0	0	850	903	2697	2804	16	16	
8	8.39468e+006	8.39484e+006	3721	3881	131	140	36	45	0	0	0	0	0	0	0	0	0	0	1190	1263	3897	4057	131	140	
9	8.39313e+006	8.39337e+006	5033	5268	251	262	74	85	0	0	0	0	0	0	0	0	0	0	1465	1555	5369	5604	251	262	
10	8.39118e+006	8.39149e+006	6727	7038	374	390	119	134	0	0	0	0	0	0	16	16	0	0	1869	1970	7250	7561	390	406	
11	8.38866e+006	8.3891e+006	8805	9229	485	512	157	175	27	35	0	0	0	0	141	149	0	0	2380	2524	9641	10075	629	653	
12	8.38569e+006	8.38626e+006	11211	11749	690	736	222	242	56	67	0	0	0	0	269	280	0	0	2827	2979	12477	13044	958	995	
13	8.38225e+006	8.38297e+006	13921	14590	981	1056	317	347	90	103	0	0	0	0	420	435	0	0	3275	3463	15767	16491	1401	1456	
14	8.37843e+006	8.37932e+006	16715	17512	1393	1498	444	483	147	165	0	0	0	0	673	697	0	0	3641	3828	19420	20309	2067	2152	
15	8.37437e+006	8.37546e+006	19372	20322	1960	2100	639	693	238	259	0	0	0	0	1012	1052	0	0	3845	4073	23277	24370	2988	3108	
16	8.3703e+006	8.3716e+006	21760	22846	2625	2813	865	922	347	374	0	0	0	0	1482	1543	0	0	3852	4079	27139	28439	4117	4297	
17	8.36649e+006	8.36797e+006	23501	24693	3389	3617	1117	1189	487	521	15	19	14	17	2182	2276	0	0	3612	3815	30762	32244	5587	5827	
18	8.3625e+006	8.3642e+006	24884	26179	4268	4570	1420	1505	685	732	25	30	19	22	3171	3310	0	0	3767	4007	34538	36241	7442	7776	
19	8.35809e+006	8.36002e+006	26224	27618	5267	5631	1773	1878	942	1002	34	40	23	27	4378	4576	0	0	4166	4419	38719	40644	9632	10067	
20	8.35362e+006	8.35579e+006	27158	28650	6282	6729	2153	2283	1252	1321	51	60	31	36	5931	6197	0	0	4213	4490	42946	45121	12157	12710	
21	8.34893e+006	8.35138e+006	27914	29527	7228	7723	2460	2602	1619	1706	77	88	44	51	7926	8299	0	0	4399	4703	47359	49810	15010	15687	
22	8.34397e+006	8.34674e+006	28690	30432	7978	8553	2718	2876	2056	2167	109	123	58	68	10291	10776	0	0	4623	4976	51997	54771	18015	18851	
23	8.33879e+006	8.3419e+006	29658	31546	8412	9033	2854	3021	2543	2680	159	177	80	93	13046	13655	0	0	4821	5193	56832	59950	21062	22069	
24	8.33338e+006	8.33684e+006	31089	33158	8372	9009	2868	3027	3033	3193	223	246	110	125	16140	16894	0	0	5044	5426	61895	65358	23944	25103	
25	8.32774e+006	8.33159e+006	32556	34815	8314	8968	2845	3006	3500	3688	311	339	148	167	19443	20366	0	0	5237	5661	67150	71000	26959	28299	
26	8.32177e+006	8.32604e+006	33916	36380	8558	9230	2914	3083	3875	4094	417	447	194	216	22827	23918	0	0	5532	5977	72695	76965	30275	31788	
27	8.31564e+006	8.32037e+006	35357	38044	9005	9759	3050	3248	4116	4350	531	567	240	266	26080	27331	13	16	5655	6154	78368	83100	33622	35328	
28	8.30923e+006	8.31445e+006	36852	39771	9503	10332	3167	3389	4295	4550	684	732	311	342	29518	30963	17	20	5892	6433	84283	89509	37136	39058	
29	8.30249e+006	8.30826e+006	38401	41552	9813	10748	3304	3540	4462	4725	854	911	388	421	33361	35009	19	22	6173	6756	90474	96247	40798	42981	
30	8.29544e+006	8.3018e+006	40020	43430	10261	11293	3452	3710	4577	4861	1046	1112	476	516	37277	39146	22	26	6442	7069	96938	103294	44644	47101	
31	8.28809e+006	8.29508e+006	41667	45376	10701	11812	3648	3922	4672	4978	1237	1320	565	613	41394	43506	28	35	6693	7371	103652	110645	48631	51366	
32	8.28034e+006	8.28804e+006	43450	47494	11171	12349	3787	4075	4850	5165	1421	1516	656	706	45663	48074	35	43	7022	7776	110694	118400	52813	55854	
33	8.27229e+006	8.28076e+006	45181	49586	11701	12958	3958	4261	5083	5428	1575	1684	733	791	50098	52811	47	56	7264	8068	117980	126446	57213	60590	
34	8.26388e+006	8.27317e+006	47087	51872	12153	13532	4098	4433	5334	5709	1723	1837	803	864	54744	57766	64	75	7564	8437	125567	134861	61721	65458	
35	8.25508e+006	8.26526e+006	49079	54261	12631	14130	4254	4627	5541	5939	1870	1994	874	940	59625	63001	83	96	7886	8818	133473	143659	66415	70531	
36	8.24977e+006	8.26052e+006	47637	52826	13085	14730	4417	4830	5783	6209	2010	2140	943	1009	64766	68522	107	121	4733	5318	138219	148965	71325	75865	
37	8.24417e+006	8.25555e+006	46144	51371	13640	15421	4627	5076	6052	6501	2124	2267	998	1069	70025	74205	139	155	4949	5614	143184	154563	76440	81429	
38	8.23834e+006	8.25038e+006	44601	49850	14201	16125	4848	5331	6287	6783	2214	2366	1037	1112	75573	80191	179	198	5152	5849	148352	160395	81742	87233	
39	8.23279e+006	8.24548e+006	42466	47641	14810	16911	5064	5588	6576	7114	2299	2462	1075	1158	81346	86460	220	243	4888	5565	153256	165945	87324	93381	
40	8.2274e+006	8.24073e+006	39935	44982	15421	17702	5255	5816	6853	7435	2369	2547	1105	1193	87413	93050	269	295	4733	5409	158008	171335	93118	99772	
41	8.22222e+006	8.2362e+006	36883	41740	16073	18556	5447	6054	7146	7787	2437	2621	1138	1225	93713	99915	325	353	4512	5196	162539	176512	99134	106443	
42	8.2174e+006	8.23201e+006	33164	37761	17110	19771	5272	5885	7422	8127	2525	2725	1177	1272	100333	107172	378	412	4168	4839	166723	181334	105788	113841	
43	8.21294e+006	8.22816e+006	32263	36928	15501	17931	4395	4929	7716	8484	2644	2856	1229	1326	107156	114676	427	466	3833	4484	170573	185801	109952	118486	
44	8.20865e+006	8.22448e+006	30985	35618	13843	16048	3495	3933	8019	8842	2774	3001	1290	1395	114262	122528	479	522	3670	4304	174258	190090	114293	123382	
45	8.20459e+006	8.221e+006	29293	33843	11673	13641	2959	3343	8333	9232	2890	3135	1344	1462	121676	130735	542	590	3460	4074	177737	194147	118723	128375	
46	8.20075e+006	8.21772e+006	27668	32141	11774	13836	3003	3405	7978	8866	3012	3277	1397	1524	126590	136198	606	656	3266	3860	181019	197991	122823	133014	
47	8.1971e+006	8.21462e+006	26017	30396	11591	13664	2961	3381	7632	8511	3148	3429	1456	1593	131708	141931	666	722	3083	3662	184115	201640	126818	137540	
48	8.19362e+006	8.2117e+006	24413	28692	11098	13156	2817	3233	7277	8145	3288	3588	1518	1664	137031	147904	726	787	2909	3492	187040	205116	130649	141913	
49	8.19033e+006	8.20893e+006	22998	27156	10527	12579	2670	3081	6811	7660	3429	3753	1582	1737	142200	153711	787	850	2755	3300	189809	208402	134192	145995	
50	8.18721e+006	8.20632e+006	21753	25809	9800	11828	2498	2905	6265	7075	3565	3919	1643	1813	147295	159447	854	923	2589	3136	192412	211524	137448	149767	
51	8.18424e+006	8.20385e+006	20539	24492	9143	11121	2316	2719	5605	6362	3721	4102	1714	1896	152261	165084	922	995	2458	2986	194883	214497	140579	153402	
52	8.18143e+006	8.20153e+006	19391	23243	8565	10488	2192	2582	5525	6305	3681	4066	1696	1877	156489	169918	996	1077	2311	2826	197210	217309	143511	156826	
