Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	514	0	0	0	0	0	0	0	178	514	0	
4	8.39804e+006	701	0	0	0	0	0	0	0	187	701	0	
5	8.39782e+006	915	0	0	0	0	0	0	0	214	915	0	
6	8.39758e+006	1156	0	0	0	0	0	0	0	241	1156	0	
7	8.39731e+006	1407	16	0	0	0	0	0	0	267	1423	16	
8	8.39702e+006	1539	136	40	0	0	0	0	0	292	1715	136	
9	8.39671e+006	1693	256	80	0	0	0	0	0	314	2029	256	
10	8.39636e+006	1863	374	124	0	0	0	16	0	348	2377	390	
11	8.39599e+006	2042	393	132	31	0	0	145	0	366	2743	535	
12	8.3956e+006	2225	434	145	61	0	0	275	0	398	3140	697	
13	8.39518e+006	2398	486	156	95	0	0	419	0	414	3555	888	
14	8.39475e+006	2566	549	173	131	0	0	570	0	434	3989	1098	
15	8.39428e+006	2746	607	192	175	0	0	740	0	472	4460	1332	
16	8.3938e+006	2904	659	213	219	0	0	937	0	472	4932	1577	
17	8.39332e+006	3039	726	228	239	17	15	1167	0	484	5416	1857	
18	8.3928e+006	3191	780	248	262	28	20	1425	0	518	5934	2141	
19	8.39225e+006	3343	840	272	295	36	25	1697	0	550	6484	2455	
20	8.39181e+006	3369	882	296	330	46	29	2000	0	440	6924	2782	
21	8.39137e+006	3380	934	312	356	61	37	2325	0	446	7369	3135	
22	8.39089e+006	3385	991	329	398	73	43	2669	0	476	7845	3519	
23	8.39042e+006	3381	1028	350	425	85	48	3044	0	468	8313	3884	
24	8.38995e+006	3368	1072	355	452	100	55	3437	0	471	8784	4271	
25	8.38948e+006	3323	1108	365	474	121	64	3865	0	473	9256	4685	
26	8.38902e+006	3233	1172	380	490	140	74	4301	0	460	9717	5120	
