Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	512	512	0	0	
4	8.39805e+006	8.39805e+006	669	675	16	16	0	0	0	0	0	0	0	0	0	0	0	0	173	179	685	691	16	16	
5	8.39785e+006	8.39786e+006	696	708	131	140	36	45	0	0	0	0	0	0	0	0	0	0	185	194	872	884	131	140	
6	8.39765e+006	8.39766e+006	738	754	251	262	74	85	0	0	0	0	0	0	0	0	0	0	199	210	1074	1090	251	262	
7	8.39742e+006	8.39744e+006	781	801	381	396	116	131	0	0	0	0	0	0	0	0	0	0	214	226	1293	1313	381	396	
8	8.39719e+006	8.39721e+006	836	859	511	529	160	177	0	0	0	0	0	0	0	0	0	0	227	240	1524	1548	511	529	
9	8.39693e+006	8.39696e+006	898	927	652	674	206	224	0	0	0	0	0	0	0	0	0	0	246	264	1774	1807	653	674	
10	8.39667e+006	8.39671e+006	951	984	789	814	255	275	0	0	0	0	0	0	16	16	0	0	251	267	2030	2069	806	829	
11	8.39638e+006	8.39643e+006	1010	1045	836	864	266	287	27	35	0	0	0	0	141	149	0	0	272	289	2308	2353	979	1005	
12	8.39608e+006	8.39613e+006	1075	1115	895	926	280	299	56	67	0	0	0	0	269	280	0	0	291	310	2604	2658	1159	1189	
13	8.39577e+006	8.39583e+006	1121	1164	944	985	303	326	88	101	0	0	0	0	411	424	0	0	293	312	2903	2965	1347	1382	
14	8.39546e+006	8.39553e+006	1171	1215	1008	1054	317	344	120	135	0	0	0	0	552	569	0	0	299	319	3208	3278	1550	1590	
15	8.39513e+006	8.39521e+006	1214	1260	1080	1130	334	361	156	174	0	0	0	0	703	723	0	0	313	335	3528	3606	1776	1822	
16	8.39479e+006	8.39488e+006	1245	1291	1150	1205	358	384	199	218	0	0	0	0	863	885	0	0	323	342	3857	3942	2006	2058	
17	8.39445e+006	8.39454e+006	1283	1331	1207	1266	380	408	212	233	15	19	14	17	1051	1075	0	0	330	352	4194	4287	2242	2300	
18	8.3941e+006	8.3942e+006	1317	1369	1255	1321	403	435	229	250	25	30	19	22	1256	1282	0	0	334	357	4535	4637	2479	2544	
19	8.39372e+006	8.39383e+006	1370	1419	1310	1378	416	448	244	263	33	40	23	27	1485	1517	0	0	364	387	4906	5017	2731	2801	
20	8.39347e+006	8.39359e+006	1279	1333	1358	1426	442	474	265	285	42	49	26	30	1711	1748	0	0	230	258	5144	5267	2985	3060	
21	8.39323e+006	8.39336e+006	1175	1230	1396	1468	461	496	282	304	53	62	32	38	1957	2002	0	0	225	249	5379	5508	3252	3332	
22	8.39297e+006	8.39311e+006	1077	1134	1425	1500	474	511	296	320	64	75	38	45	2226	2282	0	0	236	261	5622	5762	3529	3617	
23	8.39274e+006	8.39288e+006	939	995	1476	1552	496	532	308	335	76	89	44	51	2497	2561	0	0	225	248	5856	6000	3827	3918	
24	8.39249e+006	8.39264e+006	940	993	1427	1508	477	513	321	351	89	102	49	57	2775	2848	0	0	233	255	6096	6248	4030	4128	
25	8.39225e+006	8.39241e+006	932	987	1367	1445	453	486	335	366	104	118	56	65	3065	3145	0	0	220	242	6322	6484	4220	4323	
26	8.39202e+006	8.3922e+006	909	967	1307	1389	428	461	344	373	120	135	64	74	3370	3457	0	0	214	240	6541	6718	4418	4529	
27	8.39179e+006	8.39198e+006	897	955	1232	1314	399	431	358	386	117	133	55	66	3681	3776	13	16	212	238	6760	6949	4616	4729	
28	8.39157e+006	8.39177e+006	866	927	1158	1237	374	404	363	395	125	141	58	70	4006	4105	17	20	202	226	6970	7167	4815	4934	
29	8.39135e+006	8.39156e+006	846	906	1046	1128	339	369	379	410	130	148	61	74	4355	4460	19	22	200	221	7176	7382	4998	5126	
30	8.39115e+006	8.39136e+006	821	878	1034	1116	334	364	369	400	138	157	65	78	4594	4710	20	24	189	211	7373	7585	5178	5320	
31	8.39095e+006	8.39117e+006	789	850	1025	1111	326	361	354	381	145	163	66	78	4834	4959	23	27	183	207	7562	7786	5356	5508	
32	8.39076e+006	8.39099e+006	762	819	994	1079	323	358	340	367	149	168	65	78	5086	5219	25	30	173	197	7743	7975	5520	5677	
33	8.39057e+006	8.39081e+006	738	794	976	1061	316	348	320	348	157	178	71	85	5327	5465	28	34	176	196	7925	8165	5691	5854	
34	8.39038e+006	8.39063e+006	723	782	942	1030	305	336	308	336	165	186	74	88	5568	5712	31	38	175	198	8107	8355	5849	6016	
35	8.39021e+006	8.39047e+006	696	754	920	1011	290	322	273	299	172	193	76	90	5819	5972	35	42	156	179	8270	8528	6002	6178	
36	8.39004e+006	8.3903e+006	677	732	884	971	288	317	269	299	171	192	74	88	6038	6205	39	46	155	174	8432	8695	6146	6326	
37	8.38987e+006	8.39014e+006	659	715	850	937	282	312	271	299	169	189	73	87	6256	6432	43	51	160	177	8597	8867	6291	6475	
38	8.3897e+006	8.38998e+006	637	689	832	917	274	303	268	297	168	185	72	87	6466	6651	48	56	151	173	8755	9033	6434	6626	
39	8.38953e+006	8.38982e+006	637	689	796	880	267	296	259	287	167	186	71	86	6677	6869	52	61	158	178	8920	9205	6565	6765	
40	8.38938e+006	8.38967e+006	622	677	771	853	258	287	241	267	166	184	71	84	6891	7091	54	63	139	162	9065	9361	6696	6901	
41	8.38922e+006	8.38953e+006	600	655	749	828	257	282	239	267	158	177	68	82	7085	7295	58	69	137	156	9207	9512	6824	7038	
42	8.38907e+006	8.38938e+006	590	642	742	821	242	265	220	250	155	175	68	83	7284	7501	62	72	141	160	9354	9666	6958	7178	
43	8.38893e+006	8.38925e+006	562	614	736	816	230	252	212	239	146	166	63	78	7478	7704	67	78	131	149	9491	9810	7096	7324	
44	8.38878e+006	8.38911e+006	553	601	716	796	213	238	204	230	137	158	60	74	7672	7907	72	83	131	148	9627	9953	7219	7455	
45	8.38864e+006	8.38897e+006	547	594	703	782	206	230	197	223	125	143	55	68	7851	8096	76	88	130	150	9763	10097	7336	7581	
46	8.3885e+006	8.38884e+006	533	580	700	779	195	220	192	216	122	140	54	66	8019	8268	79	91	128	146	9897	10237	7460	7712	
47	8.38836e+006	8.38871e+006	528	577	687	765	180	205	187	210	121	139	54	67	8186	8444	82	95	127	146	10030	10377	7575	7834	
48	8.38822e+006	8.38857e+006	523	575	671	745	176	200	188	211	113	131	49	62	8348	8611	87	99	127	145	10162	10516	7690	7955	
49	8.38809e+006	8.38845e+006	510	558	648	724	170	194	182	205	109	127	47	59	8518	8789	91	104	116	134	10283	10645	7803	8074	
50	8.38796e+006	8.38833e+006	501	550	642	713	164	187	174	195	106	122	46	57	8675	8954	94	107	120	136	10407	10777	7918	8193	
51	8.38784e+006	8.38821e+006	485	530	638	709	158	182	169	191	105	121	46	57	8821	9108	96	109	111	127	10523	10899	8029	8311	
52	8.38772e+006	8.3881e+006	470	512	627	700	154	177	163	186	99	115	41	53	8979	9272	97	110	112	127	10639	11021	8141	8428	
53	8.38759e+006	8.38798e+006	469	514	617	689	149	172	153	177	93	108	39	50	9128	9429	100	113	115	135	10761	11150	8242	8536	
54	8.38746e+006	8.38785e+006	468	510	607	681	146	171	147	171	89	104	38	49	9270	9580	103	117	117	134	10883	11279	8344	8644	
55	8.38733e+006	8.38773e+006	472	518	594	663	141	164	142	167	90	107	39	50	9407	9724	104	118	116	134	11004	11407	8442	8746	
56	8.38721e+006	8.38762e+006	470	520	583	650	137	158	144	170	87	103	38	49	9540	9861	107	121	111	129	11121	11530	8542	8851	
57	8.38709e+006	8.3875e+006	462	510	571	638	136	160	143	167	83	98	37	48	9676	10006	109	124	108	124	11233	11649	8640	8955	
58	8.38697e+006	8.38739e+006	454	502	561	627	136	159	144	169	82	98	37	47	9804	10142	112	127	109	126	11348	11770	8741	9063	
