Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	512	512	0	0	
4	8.39783e+006	8.39787e+006	855	889	16	16	0	0	0	0	0	0	0	0	0	0	0	0	359	393	871	905	16	16	
5	8.39725e+006	8.39732e+006	1241	1309	131	140	36	45	0	0	0	0	0	0	0	0	0	0	539	588	1417	1485	131	140	
6	8.39648e+006	8.39658e+006	1821	1922	251	262	74	85	0	0	0	0	0	0	0	0	0	0	728	785	2157	2258	251	262	
7	8.39523e+006	8.3954e+006	2829	2992	381	396	116	131	0	0	0	0	0	0	0	0	0	0	1171	1259	3341	3504	381	396	
8	8.39334e+006	8.39362e+006	4241	4494	651	691	207	227	0	0	0	0	0	0	0	0	0	0	1762	1903	5118	5393	655	687	
9	8.39055e+006	8.39094e+006	6372	6711	1064	1138	336	364	0	0	0	0	0	0	0	0	0	0	2661	2814	7797	8189	1073	1129	
10	8.38625e+006	8.38688e+006	9691	10241	1607	1715	511	550	0	0	0	0	0	0	16	16	0	0	4041	4320	11857	12490	1638	1716	
11	8.3797e+006	8.38069e+006	14695	15541	2362	2535	770	827	27	35	0	0	0	0	141	149	0	0	6171	6564	18044	19037	2528	2653	
12	8.37024e+006	8.37175e+006	21861	23114	3559	3846	1175	1258	56	67	0	0	0	0	269	280	0	0	8923	9481	26988	28498	3862	4070	
13	8.35578e+006	8.35803e+006	32898	34778	5431	5841	1787	1903	88	101	0	0	0	0	411	424	0	0	13695	14481	40705	42956	5888	6184	
14	8.33428e+006	8.33768e+006	49187	51979	8155	8792	2724	2900	154	174	0	0	0	0	708	740	0	0	20333	21519	61056	64457	8936	9411	
15	8.3021e+006	8.3072e+006	73479	77606	12309	13283	4165	4422	267	291	0	0	0	0	1141	1203	0	0	30459	32194	91532	96634	13574	14326	
16	8.25405e+006	8.26172e+006	110019	116195	18359	19835	6251	6626	411	444	0	0	0	0	1737	1823	0	0	45466	48069	137018	144682	20289	21429	
17	8.1827e+006	8.19411e+006	163915	173092	27647	29820	9406	9943	609	652	15	19	14	17	2705	2845	0	0	67591	71377	204629	216039	30625	32327	
18	8.07729e+006	8.09426e+006	243408	257004	41440	44683	14045	14835	919	985	25	30	19	22	4163	4388	0	0	99827	105430	304475	321450	45979	48554	
19	7.92194e+006	7.9468e+006	360397	380171	62045	66918	21023	22194	1416	1511	33	40	23	27	6335	6651	0	0	147448	155360	451939	476794	68937	72803	
20	7.69582e+006	7.73191e+006	529799	558245	92799	100070	31361	33123	2129	2260	54	63	33	39	9658	10183	0	0	214869	226142	666830	702914	103232	109017	
21	7.37242e+006	7.42372e+006	770372	810286	138424	149178	46695	49289	3241	3438	84	97	47	55	14703	15518	0	0	308159	323424	975012	1.02632e+006	154234	162872	
22	6.91809e+006	6.98926e+006	1.10499e+006	1.15921e+006	205953	221921	69338	73228	4848	5132	125	140	65	75	21998	23242	0	0	434441	454362	1.40948e+006	1.48065e+006	229619	242413	
23	6.29966e+006	6.39518e+006	1.5516e+006	1.6223e+006	305217	328538	102828	108490	7288	7718	191	211	94	109	33209	35044	0	0	594047	618455	2.00356e+006	2.09908e+006	340810	359579	
24	5.49773e+006	5.61872e+006	2.11316e+006	2.19812e+006	449656	483393	151450	159733	10944	11567	290	316	138	157	49806	52590	0	0	776408	801980	2.78002e+006	2.901e+006	503012	530163	
25	4.52108e+006	4.66356e+006	2.7601e+006	2.8514e+006	655940	703622	220948	232651	16367	17301	443	480	207	231	74704	78871	0	0	955063	976747	3.73518e+006	3.87765e+006	735548	774163	
26	3.42991e+006	3.58148e+006	3.40761e+006	3.48835e+006	945302	1.01083e+006	318132	334169	24468	25875	681	731	317	350	111851	118094	0	0	1.08168e+006	1.09158e+006	4.81725e+006	4.96883e+006	1.06366e+006	1.1173e+006	
27	2.34854e+006	2.48983e+006	3.90476e+006	3.95171e+006	1.3375e+006	1.42427e+006	449482	470710	36414	38472	1011	1084	460	504	167171	176487	13	16	1.08082e+006	1.0922e+006	5.90891e+006	6.05019e+006	1.51276e+006	1.58482e+006	
28	1.42126e+006	1.53355e+006	4.07306e+006	4.08858e+006	1.8421e+006	1.94939e+006	618719	644889	54126	57151	1510	1616	698	754	248806	262679	17	20	927077	956479	6.86519e+006	6.97748e+006	2.09992e+006	2.19134e+006	
29	751445	825705	3.76899e+006	3.8385e+006	2.44575e+006	2.56711e+006	820813	850420	80015	84385	2267	2420	1061	1142	369618	389987	19	22	669733	707930	7.57303e+006	7.64729e+006	2.82314e+006	2.93106e+006	
30	349173	390058	3.08045e+006	3.19171e+006	3.09632e+006	3.21555e+006	1.03775e+006	1.06671e+006	117782	124140	3381	3593	1574	1683	545622	575177	22	27	402233	435686	8.00868e+006	8.04956e+006	3.645e+006	3.76035e+006	
31	146621	165573	2.20182e+006	2.32436e+006	3.68755e+006	3.78079e+006	1.23341e+006	1.25603e+006	171743	180757	5057	5371	2347	2496	798155	840180	29	36	202541	224496	8.23316e+006	8.25212e+006	4.47873e+006	4.58712e+006	
32	58225	66000	1.363e+006	1.46759e+006	4.08474e+006	4.12896e+006	1.36401e+006	1.37481e+006	247386	259735	7564	8019	3506	3717	1.15446e+006	1.21288e+006	40	49	88389	99580	8.33274e+006	8.34051e+006	5.21673e+006	5.30439e+006	
33	23221	26242	728213	799474	4.1554e+006	4.18157e+006	1.38701e+006	1.39372e+006	349709	366119	11284	11951	5215	5519	1.64248e+006	1.72097e+006	55	65	35000	39761	8.37249e+006	8.37552e+006	5.77648e+006	5.83682e+006	
34	9783	10956	339385	379107	3.84915e+006	3.93283e+006	1.28737e+006	1.30787e+006	481396	501784	16818	17776	7751	8188	2.2817e+006	2.38138e+006	78	89	13435	15289	8.38778e+006	8.38895e+006	6.14128e+006	6.17788e+006	
35	4519	5010	142096	160568	3.26313e+006	3.39092e+006	1.0936e+006	1.12479e+006	638550	661675	24852	26265	11447	12094	3.07163e+006	3.18962e+006	112	128	5258	5951	8.39373e+006	8.39422e+006	6.35629e+006	6.37748e+006	
36	2414	2632	55804	63375	2.50849e+006	2.6569e+006	842844	878937	807037	829769	36612	38645	16835	17775	3.97339e+006	4.10027e+006	169	190	2098	2387	8.3961e+006	8.39632e+006	6.48314e+006	6.49637e+006	
37	1479	1586	21731	24667	1.72447e+006	1.86706e+006	581358	616019	959568	977385	53522	56393	24655	25993	4.8955e+006	5.01621e+006	251	276	926	1054	8.39715e+006	8.39726e+006	6.56579e+006	6.57509e+006	
38	1067	1134	8702	9836	1.04322e+006	1.15779e+006	352615	380450	1.0609e+006	1.06938e+006	77374	81299	35594	37420	5.72637e+006	5.82657e+006	369	405	404	461	8.3976e+006	8.39767e+006	6.62376e+006	6.63034e+006	
39	868	922	3634	4106	550117	626160	186464	204879	1.07884e+006	1.08379e+006	109696	114919	50432	52842	6.37942e+006	6.45249e+006	561	610	189	221	8.39781e+006	8.39787e+006	6.66294e+006	6.66722e+006	
40	778	825	1617	1826	254481	296414	86562	96728	1.0011e+006	1.01699e+006	152023	158678	69867	72950	6.83899e+006	6.88873e+006	830	897	84	104	8.39791e+006	8.39796e+006	6.68578e+006	6.68843e+006	
41	740	786	722	818	106261	125702	36238	40927	850569	874830	203559	211312	93591	97185	7.15361e+006	7.18882e+006	1244	1334	34	43	8.39795e+006	8.398e+006	6.69735e+006	6.69922e+006	
42	723	769	330	379	41822	49793	14243	16166	655795	683952	261274	269396	120113	123839	7.38568e+006	7.41332e+006	1856	1981	14	21	8.39797e+006	8.39801e+006	6.70238e+006	6.70402e+006	
43	717	763	142	168	16379	19469	5550	6275	452086	479162	318490	325839	146407	149793	7.57204e+006	7.59464e+006	2781	2966	4	7	8.39797e+006	8.39802e+006	6.70437e+006	6.70597e+006	
