Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	512	0	0	0	0	0	0	0	176	512	0	
4	8.39795e+006	773	16	0	0	0	0	0	0	277	789	16	
5	8.39757e+006	995	136	40	0	0	0	0	0	382	1171	136	
6	8.39709e+006	1307	256	80	0	0	0	0	0	472	1643	256	
7	8.39643e+006	1790	388	124	0	0	0	0	0	659	2302	388	
8	8.39553e+006	2417	595	194	0	0	0	0	0	903	3205	595	
9	8.39436e+006	3211	886	285	0	0	0	0	0	1176	4381	886	
10	8.39275e+006	4347	1225	402	0	0	0	16	0	1608	5989	1241	
11	8.39058e+006	5852	1612	514	31	0	0	145	0	2164	8153	1754	
12	8.38775e+006	7779	2168	701	61	0	0	275	0	2831	10984	2432	
13	8.38406e+006	10299	2920	950	94	0	0	418	0	3697	14681	3320	
14	8.3791e+006	13649	3921	1279	146	0	0	643	0	4958	19638	4542	
15	8.37261e+006	17974	5259	1724	223	0	0	948	0	6489	26128	6186	
16	8.36405e+006	23707	7017	2324	316	0	0	1326	0	8563	34691	8320	
17	8.35268e+006	31379	9263	3116	416	17	15	1869	0	11369	46059	11103	
18	8.33768e+006	41421	12298	4135	567	28	20	2611	0	15000	61060	14875	
19	8.31789e+006	54721	16255	5491	757	36	25	3588	0	19789	80849	19771	
20	8.292e+006	72047	21450	7252	1015	52	33	4922	0	25889	106738	26248	
21	8.25794e+006	94734	28352	9554	1360	75	43	6718	0	34056	140793	34872	
22	8.21328e+006	124394	37490	12586	1803	99	54	9082	0	44660	185453	46244	
23	8.15495e+006	162941	49580	16588	2395	136	72	12150	0	58337	243790	61261	
24	8.07855e+006	213444	65278	21822	3187	187	95	16264	0	76392	320182	80916	
25	7.9792e+006	278740	85974	28692	4229	249	124	21649	0	99352	419534	106766	
