Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	176	512	512	0	0	
4	8.3979e+006	8.39792e+006	798	825	16	16	0	0	0	0	0	0	0	0	0	0	0	0	302	329	814	841	16	16	
5	8.39744e+006	8.39749e+006	1074	1123	131	140	36	45	0	0	0	0	0	0	0	0	0	0	428	466	1250	1299	131	140	
6	8.39684e+006	8.39691e+006	1486	1565	251	262	74	85	0	0	0	0	0	0	0	0	0	0	564	611	1822	1901	251	262	
7	8.39596e+006	8.39608e+006	2143	2264	381	396	116	131	0	0	0	0	0	0	0	0	0	0	821	887	2655	2776	381	396	
8	8.3947e+006	8.39489e+006	3029	3197	609	642	192	212	0	0	0	0	0	0	0	0	0	0	1180	1270	3849	4032	612	639	
9	8.39295e+006	8.39321e+006	4268	4495	936	991	299	323	0	0	0	0	0	0	0	0	0	0	1664	1768	5525	5787	942	985	
10	8.39047e+006	8.39085e+006	6053	6370	1346	1432	440	473	0	0	0	0	0	0	16	16	0	0	2344	2490	7885	8262	1374	1437	
11	8.38689e+006	8.38745e+006	8627	9081	1854	1983	599	644	27	35	0	0	0	0	141	149	0	0	3390	3603	11290	11850	2014	2108	
12	8.382e+006	8.38279e+006	12086	12718	2617	2811	858	922	56	67	0	0	0	0	269	280	0	0	4637	4907	15944	16740	2909	3047	
13	8.37528e+006	8.37641e+006	16789	17680	3740	4014	1227	1307	88	101	0	0	0	0	411	424	0	0	6367	6730	22325	23457	4177	4377	
14	8.36559e+006	8.36724e+006	23599	24893	5269	5647	1734	1842	144	163	0	0	0	0	660	688	0	0	9148	9709	31493	33145	5966	6255	
15	8.35226e+006	8.35457e+006	32866	34632	7458	8006	2488	2639	233	255	0	0	0	0	1007	1053	0	0	12652	13348	44165	46472	8529	8955	
16	8.33376e+006	8.33698e+006	45806	48249	10473	11235	3525	3728	343	371	0	0	0	0	1471	1538	0	0	17577	18525	61759	64981	12025	12634	
17	8.30766e+006	8.3122e+006	64198	67633	14568	15632	4937	5213	478	512	15	19	14	17	2152	2255	0	0	24756	26116	86535	91077	16843	17701	
18	8.27138e+006	8.27775e+006	89479	94222	20454	21991	6966	7346	675	722	25	30	19	22	3135	3293	0	0	34433	36295	120983	127357	23750	25007	
19	8.22101e+006	8.22994e+006	124618	131261	28614	30748	9715	10249	974	1035	33	40	23	27	4506	4725	0	0	47792	50386	168794	177723	33343	35086	
20	8.15179e+006	8.16419e+006	172776	181974	39917	42870	13543	14263	1378	1458	50	59	31	37	6441	6761	0	0	65736	69236	234546	246943	46628	49068	
21	8.05564e+006	8.07274e+006	239453	252036	55799	59923	18882	19869	1951	2059	74	85	43	50	9246	9724	0	0	91437	96175	326001	343099	65353	68805	
22	7.92395e+006	7.94738e+006	330356	347439	77907	83678	26336	27734	2748	2898	107	121	58	68	13069	13741	0	0	125336	131699	451353	474783	91384	96218	
23	7.74476e+006	7.77671e+006	453226	476260	108722	116780	36651	38583	3847	4048	152	169	77	89	18306	19260	0	0	170661	179206	622030	653973	127593	134372	
24	7.50266e+006	7.54556e+006	618619	649141	150813	161909	50728	53401	5382	5684	219	241	109	123	25870	27241	0	0	231128	242118	853175	896075	177386	186797	
25	7.18062e+006	7.2372e+006	835530	875023	209302	224576	70434	74151	7535	7950	318	345	152	170	36291	38199	0	0	308351	322054	1.16154e+006	1.21811e+006	246595	259533	
26	6.76057e+006	6.83395e+006	1.11343e+006	1.1634e+006	289334	310194	97395	102473	10485	11045	443	477	206	228	50810	53481	0	0	403223	420083	1.56479e+006	1.63817e+006	341440	359172	
27	6.22544e+006	6.31777e+006	1.45892e+006	1.51934e+006	397716	426012	133853	140809	14642	15424	628	672	286	315	71230	74987	13	16	516144	535159	2.08096e+006	2.1733e+006	470667	494774	
28	5.56819e+006	5.67951e+006	1.86602e+006	1.9345e+006	543935	581649	183018	192308	20465	21544	875	932	397	434	99604	104884	17	20	638212	657299	2.71923e+006	2.83055e+006	645669	678024	
29	4.79643e+006	4.92431e+006	2.31283e+006	2.38425e+006	737776	786946	248165	260250	28489	30033	1227	1306	560	606	139038	146383	19	22	755127	771827	3.47442e+006	3.60231e+006	879266	922013	
30	3.93863e+006	4.07665e+006	2.75718e+006	2.82205e+006	988877	1.05181e+006	332663	348123	39524	41633	1719	1831	799	859	193260	203476	21	26	847488	857972	4.32208e+006	4.46011e+006	1.18481e+006	1.24029e+006	
31	3.05313e+006	3.19028e+006	3.12717e+006	3.17263e+006	1.30575e+006	1.38337e+006	438524	457521	54828	57695	2412	2558	1124	1200	268712	282838	26	32	884219	887654	5.20846e+006	5.3456e+006	1.57666e+006	1.64657e+006	
32	2.21545e+006	2.3396e+006	3.33849e+006	3.35416e+006	1.68868e+006	1.77937e+006	566689	588904	75721	79659	3343	3538	1551	1650	372224	391574	34	42	837466	850895	6.05914e+006	6.18328e+006	2.06144e+006	2.14586e+006	
33	1.49655e+006	1.59781e+006	3.29894e+006	3.32744e+006	2.12581e+006	2.2248e+006	713009	737113	104146	109500	4686	4965	2181	2317	513126	539483	44	53	718788	741898	6.80092e+006	6.90219e+006	2.636e+006	2.73334e+006	
34	942804	1.01723e+006	2.99544e+006	3.05981e+006	2.58816e+006	2.68639e+006	867247	891145	142207	149372	6542	6909	3037	3215	704333	739754	61	72	553687	580643	7.38151e+006	7.45593e+006	3.28274e+006	3.38818e+006	
35	559175	608268	2.49376e+006	2.58221e+006	3.02342e+006	3.10682e+006	1.01198e+006	1.03219e+006	192861	202132	9122	9632	4225	4461	959441	1.00628e+006	85	97	383599	408990	7.79047e+006	7.83956e+006	3.9622e+006	4.06778e+006	
36	318353	347964	1.89701e+006	1.99173e+006	3.36316e+006	3.41639e+006	1.12346e+006	1.13644e+006	258404	270270	12701	13398	5848	6173	1.29354e+006	1.35441e+006	113	129	240805	260321	8.05077e+006	8.08038e+006	4.6201e+006	4.71665e+006	
37	188842	206510	1.30767e+006	1.39134e+006	3.53535e+006	3.55029e+006	1.17955e+006	1.18366e+006	340960	355590	17620	18566	8123	8562	1.72219e+006	1.799e+006	162	180	129503	141463	8.19223e+006	8.20989e+006	5.20137e+006	5.28166e+006	
38	119965	130814	822823	886431	3.4623e+006	3.50228e+006	1.15652e+006	1.16657e+006	440960	458047	24344	25645	11201	11806	2.25367e+006	2.34664e+006	224	246	68869	75704	8.26792e+006	8.27877e+006	5.6678e+006	5.72901e+006	
39	82846	89828	476320	518448	3.16604e+006	3.24808e+006	1.05957e+006	1.0796e+006	554591	573262	33560	35317	15423	16247	2.88593e+006	2.99343e+006	310	338	37113	40992	8.30891e+006	8.31589e+006	6.01153e+006	6.05451e+006	
40	62653	67509	255692	280464	2.69956e+006	2.81173e+006	905167	932511	674358	692886	45883	48231	21102	22199	3.60136e+006	3.71857e+006	435	473	20186	22326	8.33123e+006	8.33608e+006	6.24779e+006	6.27658e+006	
41	51700	55366	137133	151153	2.13136e+006	2.2547e+006	716034	745968	786694	802445	62379	65460	28679	30119	4.35871e+006	4.47711e+006	610	656	10946	12150	8.34337e+006	8.34704e+006	6.39652e+006	6.41637e+006	
42	45836	48837	74120	81987	1.55926e+006	1.67605e+006	520442	548519	874027	884018	83958	87900	38603	40437	5.10021e+006	5.21057e+006	840	900	5858	6535	8.3499e+006	8.3529e+006	6.49841e+006	6.51221e+006	
43	42912	45552	39925	44285	1.05274e+006	1.14985e+006	347992	371104	917376	920243	111274	116163	51152	53420	5.77045e+006	5.86517e+006	1182	1260	2918	3290	8.35318e+006	8.35582e+006	6.56723e+006	6.57685e+006	
