Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	513	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	180	513	516	0	0	
4	8.39802e+006	8.39803e+006	693	704	16	16	0	0	0	0	0	0	0	0	0	0	0	0	194	205	709	720	16	16	
5	8.39778e+006	8.3978e+006	763	779	53	60	116	123	0	0	0	0	0	0	0	0	0	0	226	238	939	955	53	60	
6	8.39751e+006	8.39753e+006	870	892	89	100	236	247	0	0	0	0	0	0	0	0	0	0	262	278	1206	1228	89	100	
7	8.39719e+006	8.39723e+006	995	1030	131	146	369	383	0	0	0	0	0	0	0	0	0	0	299	321	1510	1544	132	146	
8	8.39683e+006	8.39688e+006	1141	1185	179	199	517	534	0	0	0	0	0	0	0	0	0	0	338	362	1853	1902	181	197	
9	8.3964e+006	8.39647e+006	1325	1382	234	261	689	710	0	0	0	0	0	0	0	0	0	0	409	436	2268	2332	237	257	
10	8.39591e+006	8.396e+006	1530	1599	284	318	887	913	0	0	0	0	0	0	16	16	0	0	465	497	2740	2822	307	327	
11	8.39536e+006	8.39545e+006	1767	1841	311	361	998	1032	27	35	0	0	0	0	141	149	0	0	534	567	3283	3380	405	428	
12	8.39472e+006	8.39484e+006	2036	2119	349	413	1139	1182	56	67	0	0	0	0	269	280	0	0	606	641	3896	4013	507	533	
13	8.39406e+006	8.3942e+006	2263	2353	410	495	1304	1361	88	101	0	0	0	0	413	427	0	0	633	674	4539	4677	648	675	
14	8.39331e+006	8.39347e+006	2517	2617	470	572	1513	1579	125	142	0	0	0	0	572	590	0	0	718	763	5266	5431	793	829	
15	8.39245e+006	8.39266e+006	2787	2911	542	660	1746	1821	170	190	0	0	0	0	755	778	0	0	804	860	6078	6282	964	1008	
16	8.39152e+006	8.39175e+006	3080	3209	617	756	2005	2097	224	245	0	0	0	0	969	996	0	0	896	942	6985	7214	1155	1206	
17	8.39048e+006	8.39075e+006	3443	3590	698	848	2260	2356	250	272	15	19	14	17	1232	1266	0	0	995	1055	7991	8258	1356	1415	
18	8.38933e+006	8.38963e+006	3825	3987	791	958	2545	2649	288	311	25	30	19	22	1528	1573	0	0	1100	1160	9102	9407	1587	1653	
19	8.38805e+006	8.38841e+006	4240	4419	873	1074	2845	2969	338	365	33	40	23	27	1882	1942	0	0	1218	1292	10331	10688	1857	1936	
20	8.38674e+006	8.38715e+006	4589	4792	991	1197	3163	3285	392	422	43	52	27	32	2289	2365	0	0	1244	1317	11586	11994	2164	2254	
21	8.38534e+006	8.3858e+006	4935	5155	1096	1332	3509	3649	451	487	58	68	35	41	2754	2844	0	0	1341	1418	12938	13401	2497	2601	
22	8.38376e+006	8.38429e+006	5335	5580	1213	1467	3885	4034	517	555	73	84	42	49	3287	3394	0	0	1500	1584	14449	14974	2863	2984	
23	8.38202e+006	8.38261e+006	5784	6046	1337	1634	4328	4504	581	624	87	100	47	56	3850	3974	0	0	1664	1761	16127	16721	3253	3395	
24	8.38016e+006	8.38083e+006	6308	6594	1448	1782	4728	4926	661	701	107	120	56	66	4479	4630	0	0	1766	1868	17907	18575	3667	3821	
25	8.37815e+006	8.3789e+006	6881	7199	1566	1921	5140	5351	731	774	131	146	67	77	5199	5381	0	0	1915	2021	19834	20585	4111	4283	
26	8.37596e+006	8.37681e+006	7467	7813	1697	2093	5601	5833	826	872	156	174	79	91	5983	6188	0	0	2082	2203	21931	22773	4624	4821	
27	8.37356e+006	8.3745e+006	8091	8468	1852	2284	6106	6358	906	957	170	188	78	93	6880	7119	13	16	2288	2416	24234	25173	5185	5405	
28	8.37096e+006	8.37202e+006	8795	9218	2003	2490	6595	6885	998	1055	193	212	88	103	7872	8143	17	20	2472	2616	26718	27777	5799	6039	
29	8.36812e+006	8.36931e+006	9579	10046	2184	2713	7094	7409	1114	1174	220	241	99	114	8956	9274	19	22	2695	2853	29426	30617	6473	6742	
30	8.36505e+006	8.36639e+006	10405	10929	2376	2953	7726	8069	1211	1277	254	276	115	130	10076	10440	20	24	2914	3081	32350	33688	7174	7475	
31	8.36172e+006	8.3632e+006	11284	11859	2589	3229	8434	8816	1321	1388	281	306	126	143	11289	11702	23	28	3170	3342	35533	37017	7951	8284	
32	8.35812e+006	8.35977e+006	12235	12854	2793	3509	9169	9601	1430	1506	320	347	142	161	12650	13111	27	32	3421	3613	38967	40617	8788	9153	
33	8.35419e+006	8.35601e+006	13280	13944	3018	3809	9945	10422	1575	1661	357	386	160	181	14144	14658	30	36	3742	3941	42722	44545	9702	10116	
34	8.34995e+006	8.35197e+006	14396	15114	3255	4131	10823	11347	1716	1803	401	433	180	201	15736	16317	34	40	4033	4248	46765	48783	10672	11133	
35	8.34538e+006	8.34761e+006	15573	16363	3533	4493	11765	12341	1856	1951	450	485	202	224	17465	18123	40	48	4348	4589	51126	53360	11757	12263	
36	8.34039e+006	8.34284e+006	16905	17752	3855	4910	12743	13373	2026	2126	501	537	222	247	19335	20076	47	56	4753	5004	55892	58349	12937	13501	
37	8.33493e+006	8.33762e+006	18373	19283	4182	5334	13827	14518	2205	2320	541	581	243	269	21406	22230	56	67	5209	5473	61113	63810	14198	14814	
38	8.32903e+006	8.33199e+006	19965	20945	4536	5783	14992	15742	2405	2529	591	636	268	297	23632	24564	64	75	5624	5911	66750	69708	15582	16265	
39	8.32263e+006	8.32588e+006	21712	22767	4914	6274	16218	17035	2598	2732	649	702	297	331	26081	27126	72	83	6094	6411	72855	76108	17082	17844	
40	8.31573e+006	8.31932e+006	23505	24670	5344	6813	17581	18465	2819	2973	710	763	324	356	28714	29884	82	94	6545	6908	79413	83004	18713	19549	
41	8.30831e+006	8.31222e+006	25385	26632	5779	7364	19136	20094	3044	3223	775	829	354	385	31598	32889	89	102	7088	7436	86515	90425	20454	21369	
42	8.30023e+006	8.3045e+006	27467	28812	6575	8268	20508	21524	3303	3502	843	903	389	424	34694	36121	102	117	7705	8092	94232	98505	22662	23686	
43	8.29146e+006	8.29613e+006	29734	31182	7409	9241	21978	23069	3601	3811	917	982	421	460	38062	39647	116	131	8362	8781	102606	107274	25028	26161	
44	8.282e+006	8.2871e+006	32209	33745	8287	10283	23564	24735	3883	4106	996	1064	463	502	41730	43491	131	147	9021	9469	111639	116732	27537	28809	
45	8.27181e+006	8.27737e+006	34831	36518	9285	11400	25268	26503	4224	4450	1071	1148	503	547	45659	47625	146	164	9706	10212	121363	126926	30312	31703	
46	8.26064e+006	8.26673e+006	37754	39610	10357	12632	27093	28414	4570	4814	1159	1244	545	593	49966	52136	167	186	10628	11186	132003	138099	33335	34869	
47	8.24863e+006	8.25527e+006	40848	42852	11541	13996	29008	30413	4981	5235	1277	1365	599	648	54640	57035	185	205	11457	12021	143470	150109	36638	38335	
48	8.23564e+006	8.24288e+006	44201	46376	12491	15144	31378	32900	5392	5661	1377	1476	647	703	59743	62375	206	228	12373	12995	155856	163092	40138	41995	
49	8.22159e+006	8.22948e+006	47881	50239	13514	16382	33891	35538	5852	6141	1501	1602	704	762	65244	68147	226	251	13387	14074	169261	177147	43914	45945	
50	8.20645e+006	8.21504e+006	51677	54204	14656	17771	36735	38522	6359	6676	1613	1718	759	820	71160	74366	249	276	14426	15149	183698	192286	48002	50244	
51	8.19017e+006	8.19947e+006	55771	58478	15852	19224	39819	41745	6896	7238	1746	1858	815	877	77567	81056	277	303	15546	16299	199263	208566	52410	54866	
52	8.17255e+006	8.18269e+006	60164	63120	17141	20795	43092	45181	7471	7834	1885	2003	877	939	84537	88364	309	335	16765	17638	216043	226188	57175	59856	
53	8.15351e+006	8.16453e+006	64929	68100	18504	22481	46635	48909	8076	8486	2060	2184	962	1029	92099	96269	339	367	18154	19051	234209	245228	62326	65274	
