Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	814	836	16	16	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	16	16	
5	8.39743e+006	8.39748e+006	1085	1127	53	60	116	123	0	0	0	0	0	0	0	0	0	0	425	456	1261	1303	53	60	
6	8.39683e+006	8.3969e+006	1503	1573	89	100	236	247	0	0	0	0	0	0	0	0	0	0	573	612	1839	1909	89	100	
7	8.39593e+006	8.39604e+006	2175	2282	133	148	376	390	0	0	0	0	0	0	0	0	0	0	851	904	2698	2806	133	148	
8	8.39466e+006	8.39483e+006	3075	3226	205	237	608	632	0	0	0	0	0	0	0	0	0	0	1202	1277	3911	4072	211	231	
9	8.39288e+006	8.39313e+006	4341	4556	304	361	930	968	0	0	0	0	0	0	0	0	0	0	1689	1788	5607	5853	321	344	
10	8.39039e+006	8.39074e+006	6156	6444	416	506	1368	1425	0	0	0	0	0	0	16	16	0	0	2383	2505	8001	8346	463	492	
11	8.3868e+006	8.38731e+006	8722	9133	579	716	1885	1971	27	35	0	0	0	0	141	149	0	0	3413	3598	11426	11933	708	747	
12	8.38186e+006	8.38258e+006	12235	12810	820	1027	2667	2797	56	67	0	0	0	0	269	280	0	0	4710	4960	16152	16876	1035	1090	
13	8.37507e+006	8.37609e+006	17037	17823	1156	1465	3802	3990	90	103	0	0	0	0	420	435	0	0	6486	6805	22651	23669	1483	1561	
14	8.36539e+006	8.36685e+006	23878	25011	1643	2060	5356	5606	147	165	0	0	0	0	673	697	0	0	9221	9696	31886	33350	2138	2252	
15	8.35194e+006	8.35402e+006	33284	34874	2308	2899	7620	7969	238	260	0	0	0	0	1013	1053	0	0	12819	13462	44721	46796	3043	3206	
16	8.33321e+006	8.33613e+006	46441	48654	3255	4080	10730	11215	347	374	0	0	0	0	1483	1544	0	0	17869	18738	62602	65522	4300	4529	
17	8.30694e+006	8.31101e+006	65067	68136	4548	5693	14949	15626	487	522	15	19	14	17	2183	2277	0	0	25109	26290	87727	91796	6070	6375	
18	8.27052e+006	8.27622e+006	90616	94874	6350	7987	20971	21945	687	735	25	30	19	22	3183	3323	0	0	34773	36430	122513	128213	8555	8975	
19	8.21977e+006	8.2278e+006	126211	132176	8908	11205	29287	30657	989	1050	34	40	23	27	4570	4777	0	0	48414	50763	170941	178963	12050	12633	
20	8.14995e+006	8.16108e+006	175049	183272	12395	15637	40899	42845	1395	1471	51	60	31	36	6537	6833	0	0	66706	69836	237660	248785	16864	17660	
21	8.0533e+006	8.06862e+006	242383	253649	17315	21801	57176	59872	1967	2069	77	88	44	51	9362	9797	0	0	92447	96662	330121	345434	23624	24731	
22	7.9207e+006	7.94174e+006	334474	349836	24155	30408	79687	83448	2773	2917	109	122	58	67	13248	13858	0	0	126865	132616	456999	478038	33027	34574	
23	7.7401e+006	7.76881e+006	458978	479680	33614	42385	111166	116418	3893	4079	158	176	80	93	18576	19437	0	0	172919	180606	629930	658632	46056	48249	
24	7.4967e+006	7.53509e+006	625982	653257	46727	58810	154226	161446	5430	5697	223	247	110	125	26209	27430	0	0	233706	243416	863651	902033	64107	67169	
25	7.17274e+006	7.22323e+006	845372	880568	64789	81341	213999	223908	7608	7986	324	352	154	173	36766	38481	0	0	311835	323976	1.1755e+006	1.22599e+006	89057	93255	
26	6.75019e+006	6.81566e+006	1.12607e+006	1.17052e+006	89529	112171	295831	309381	10634	11142	458	491	213	237	51487	53911	0	0	407558	422571	1.58308e+006	1.64854e+006	123312	129071	
27	6.21231e+006	6.29451e+006	1.47429e+006	1.52781e+006	123160	153971	406717	425192	14850	15551	645	687	292	321	72196	75564	13	16	521129	537907	2.10423e+006	2.18643e+006	170189	177990	
28	5.55177e+006	5.65072e+006	1.88434e+006	1.94496e+006	168748	209604	556059	580546	20711	21670	896	954	405	441	100864	105594	17	20	643748	660579	2.74802e+006	2.84697e+006	233536	244001	
29	4.77691e+006	4.89057e+006	2.33262e+006	2.39588e+006	229762	282864	753558	785407	28833	30213	1256	1329	574	619	140809	147423	19	22	760086	774916	3.50816e+006	3.62183e+006	318565	332413	
30	3.91639e+006	4.03846e+006	2.7771e+006	2.8339e+006	308914	376897	1.00927e+006	1.0501e+006	40106	41989	1753	1852	814	869	195756	204942	22	26	851981	860656	4.36028e+006	4.48235e+006	430133	448123	
31	3.02984e+006	3.15091e+006	3.14334e+006	3.18272e+006	409897	493546	1.33073e+006	1.38093e+006	55590	58147	2462	2593	1147	1219	272016	284685	28	35	885573	888524	5.24782e+006	5.3689e+006	573954	596783	
32	2.19314e+006	2.30225e+006	3.3472e+006	3.3599e+006	533705	631152	1.71831e+006	1.77679e+006	76671	80194	3406	3583	1583	1676	376856	394249	35	42	836513	848847	6.09649e+006	6.2056e+006	753460	781286	
33	1.47744e+006	1.566e+006	3.2988e+006	3.32525e+006	676920	783202	2.15877e+006	2.22254e+006	105511	110310	4769	5015	2214	2336	519576	543278	47	56	715617	736338	6.83274e+006	6.9213e+006	968643	1.00124e+006	
34	928161	992720	2.98794e+006	3.04603e+006	832119	936869	2.62257e+006	2.68539e+006	143978	150386	6632	6953	3077	3231	712947	744651	63	75	549234	573318	7.40602e+006	7.47058e+006	1.21536e+006	1.25157e+006	
35	549073	591473	2.48062e+006	2.55959e+006	982382	1.07091e+006	3.05443e+006	3.10751e+006	195197	203438	9225	9682	4269	4479	970962	1.0128e+006	87	100	379063	401272	7.80726e+006	7.84966e+006	1.48258e+006	1.52033e+006	
36	312053	337511	1.88102e+006	1.96481e+006	1.10597e+006	1.1614e+006	3.38493e+006	3.41816e+006	261287	271821	12880	13497	5929	6217	1.30876e+006	1.36312e+006	118	134	237005	253976	8.06123e+006	8.08668e+006	1.7542e+006	1.79108e+006	
37	174580	188864	1.30283e+006	1.37716e+006	1.17536e+006	1.18952e+006	3.54496e+006	3.55355e+006	344614	357628	17856	18687	8242	8626	1.74156e+006	1.80996e+006	170	189	137464	148656	8.20987e+006	8.22416e+006	2.01405e+006	2.04823e+006	
38	99074	106808	829073	885926	1.13711e+006	1.1818e+006	3.4679e+006	3.49479e+006	445359	460550	24630	25776	11347	11878	2.27777e+006	2.36042e+006	230	253	75497	82064	8.29193e+006	8.29966e+006	2.25118e+006	2.2818e+006	
39	58546	62671	490517	528811	1.02025e+006	1.11008e+006	3.17133e+006	3.22529e+006	559458	575980	33990	35546	15622	16356	2.91436e+006	3.00999e+006	322	349	40521	44145	8.33607e+006	8.34019e+006	2.46223e+006	2.48951e+006	
40	36864	39093	275177	298430	851992	973136	2.70372e+006	2.77644e+006	679667	695944	46454	48532	21362	22336	3.63366e+006	3.73743e+006	451	486	21672	23588	8.35964e+006	8.36187e+006	2.65001e+006	2.6743e+006	
41	25077	26323	149492	162552	659734	793354	2.14203e+006	2.22218e+006	791629	805390	63154	65866	29032	30303	4.39234e+006	4.49702e+006	637	682	11779	12778	8.37241e+006	8.37366e+006	2.81643e+006	2.83775e+006	
42	18650	19380	80411	87442	476130	602735	1.56744e+006	1.6432e+006	877679	886296	84903	88349	39024	40635	5.13293e+006	5.23014e+006	863	922	6415	6955	8.37936e+006	8.38009e+006	2.96512e+006	2.98277e+006	
43	14981	15425	43546	47266	318292	423583	1.05874e+006	1.1216e+006	918990	921257	112449	116759	51679	53681	5.79945e+006	5.88263e+006	1210	1286	3656	3968	8.38331e+006	8.38376e+006	3.08602e+006	3.0995e+006	
44	12948	13232	23885	25892	198816	276437	661725	707946	898608	905877	146558	151735	67334	69754	6.35205e+006	6.4183e+006	1682	1782	2013	2213	8.3855e+006	8.38579e+006	3.17671e+006	3.1862e+006	
