Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	513	0	0	0	0	0	0	0	177	513	0	
4	8.39805e+006	672	16	0	0	0	0	0	0	175	688	16	
5	8.39786e+006	703	96	80	0	0	0	0	0	191	879	96	
6	8.39765e+006	749	175	161	0	0	0	0	0	206	1085	175	
7	8.39743e+006	791	262	251	0	0	0	0	0	220	1304	262	
8	8.3972e+006	852	350	338	0	0	0	0	0	235	1539	350	
9	8.39694e+006	913	447	431	0	0	0	0	0	253	1792	447	
10	8.39668e+006	968	530	538	0	0	0	16	0	261	2053	546	
11	8.3964e+006	1033	560	568	31	0	0	145	0	284	2337	668	
12	8.3961e+006	1099	611	593	61	0	0	275	0	301	2638	805	
13	8.3958e+006	1146	647	632	94	0	0	419	0	300	2938	948	
14	8.39549e+006	1191	699	667	127	0	0	560	0	306	3244	1104	
15	8.39516e+006	1235	747	712	164	0	0	715	0	328	3572	1274	
16	8.39483e+006	1266	799	754	207	0	0	878	0	331	3903	1445	
17	8.39449e+006	1308	840	793	221	17	15	1067	0	342	4246	1621	
18	8.39414e+006	1351	864	841	237	28	20	1275	0	349	4595	1792	
19	8.39377e+006	1391	903	877	251	36	25	1505	0	368	4963	1979	
20	8.39353e+006	1301	931	920	274	45	28	1733	0	241	5204	2168	
21	8.39329e+006	1199	961	948	293	58	35	1986	0	241	5445	2368	
22	8.39305e+006	1094	977	980	310	70	42	2258	0	244	5689	2574	
23	8.39281e+006	964	1008	1018	327	84	47	2527	0	238	5927	2792	
24	8.39257e+006	963	974	987	340	96	53	2807	0	240	6167	2945	
25	8.39234e+006	956	935	938	353	112	60	3108	0	234	6401	3095	
26	8.39211e+006	936	891	895	363	129	68	3412	0	224	6625	3244	
27	8.39188e+006	931	838	844	371	127	60	3733	15	232	6858	3397	
