Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	825	16	0	0	0	0	0	0	317	841	16	
5	8.39745e+006	1106	96	80	0	0	0	0	0	441	1282	96	
6	8.39686e+006	1538	175	161	0	0	0	0	0	592	1874	175	
7	8.39598e+006	2228	267	256	0	0	0	0	0	878	2752	267	
8	8.39474e+006	3151	429	412	0	0	0	0	0	1240	3992	429	
9	8.39301e+006	4448	648	634	0	0	0	0	0	1739	5730	648	
10	8.39056e+006	6300	939	919	0	0	0	16	0	2444	8174	955	
11	8.38706e+006	8928	1302	1274	31	0	0	145	0	3505	11679	1410	
12	8.38222e+006	12523	1853	1803	61	0	0	275	0	4835	16514	2047	
13	8.37558e+006	17430	2629	2578	96	0	0	427	0	6646	23160	2936	
14	8.36612e+006	24444	3710	3623	156	0	0	685	0	9458	32618	4215	
15	8.35298e+006	34079	5212	5186	249	0	0	1033	0	13140	45759	5983	
16	8.33467e+006	47548	7323	7317	360	0	0	1514	0	18303	64062	8450	
17	8.30898e+006	66602	10199	10209	504	17	15	2230	0	25699	89761	11856	
18	8.27337e+006	92745	14270	14356	711	28	20	3253	0	35602	125363	16674	
19	8.22378e+006	129193	19986	20042	1019	37	25	4674	0	49589	174952	23428	
20	8.15551e+006	179161	27906	27982	1433	56	34	6685	0	68271	243223	32803	
21	8.06096e+006	248016	39026	39056	2018	82	47	9579	0	94555	337778	45969	
22	7.93122e+006	342155	54434	54415	2845	116	63	13553	0	129741	467518	64261	
23	7.75446e+006	469329	75862	75930	3986	167	86	19006	0	176763	644281	89650	
24	7.51589e+006	639619	105332	105272	5563	235	118	26820	0	238561	882842	124728	
