Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39826e+006	473	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	174	473	478	0	0	
4	8.39796e+006	8.39798e+006	736	756	16	16	0	0	0	0	0	0	0	0	0	0	0	0	277	296	752	772	16	16	
5	8.39755e+006	8.39759e+006	982	1023	84	93	67	76	0	0	0	0	0	0	0	0	0	0	384	416	1142	1183	84	93	
6	8.397e+006	8.39707e+006	1367	1434	153	165	139	151	0	0	0	0	0	0	0	0	0	0	523	561	1671	1738	153	165	
7	8.39619e+006	8.3963e+006	1964	2066	235	251	225	240	0	0	0	0	0	0	0	0	0	0	760	813	2439	2542	235	251	
8	8.39504e+006	8.39519e+006	2786	2928	372	401	366	386	0	0	0	0	0	0	0	0	0	0	1095	1163	3543	3696	376	397	
9	8.39351e+006	8.39374e+006	3850	4053	559	611	561	593	0	0	0	0	0	0	0	0	0	0	1448	1541	4998	5230	569	601	
10	8.39148e+006	8.3918e+006	5261	5522	810	890	816	860	0	0	0	0	0	0	16	16	0	0	1928	2035	6938	7253	844	888	
11	8.38882e+006	8.38926e+006	7031	7384	1124	1244	1116	1177	24	32	0	0	0	0	128	136	0	0	2528	2678	9475	9921	1252	1316	
12	8.38543e+006	8.38602e+006	9164	9619	1587	1765	1594	1684	50	61	0	0	0	0	243	254	0	0	3227	3398	12712	13309	1806	1894	
13	8.38121e+006	8.38199e+006	11738	12302	2209	2474	2233	2360	82	95	0	0	0	0	381	394	0	0	4017	4229	16742	17525	2554	2682	
14	8.37605e+006	8.37708e+006	14712	15437	3038	3379	3047	3202	136	154	0	0	0	0	606	629	0	0	4904	5168	21656	22683	3575	3755	
15	8.36984e+006	8.37116e+006	18091	18987	4078	4545	4122	4328	214	233	0	0	0	0	919	959	0	0	5908	6227	27574	28901	4885	5131	
16	8.36263e+006	8.3643e+006	21711	22811	5359	5966	5509	5778	321	347	0	0	0	0	1339	1401	0	0	6848	7220	34432	36111	6529	6857	
17	8.35444e+006	8.3565e+006	25482	26778	6935	7706	7151	7494	446	477	14	18	13	16	1967	2058	0	0	7789	8196	42234	44294	8616	9043	
18	8.34561e+006	8.34809e+006	28979	30454	8778	9768	9056	9499	633	675	23	28	18	21	2874	3006	0	0	8402	8844	50647	53127	11187	11736	
19	8.33624e+006	8.33916e+006	31987	33604	10927	12164	11304	11852	868	929	31	38	22	26	4083	4279	0	0	8914	9378	59572	62494	14263	14976	
20	8.32713e+006	8.33047e+006	33822	35508	13261	14803	13800	14489	1202	1275	48	56	29	34	5673	5937	0	0	8682	9126	68265	71608	17845	18737	
21	8.31876e+006	8.3225e+006	33998	35695	15818	17648	16420	17245	1604	1697	69	80	40	47	7785	8162	0	0	7965	8382	76241	79979	21991	23077	
22	8.31217e+006	8.3162e+006	31876	33453	18370	20499	18967	19918	2122	2239	98	112	52	60	10472	10978	0	0	6279	6603	82532	86571	26517	27840	
23	8.30497e+006	8.30934e+006	29816	31285	20743	23160	21406	22490	2777	2921	141	158	72	83	13806	14465	0	0	6859	7205	89398	93769	31385	32943	
24	8.29723e+006	8.30195e+006	28512	29911	22540	25162	23325	24507	3536	3716	199	219	99	113	17902	18767	0	0	7378	7752	96787	101509	36173	37958	
25	8.28926e+006	8.29435e+006	28134	29513	23546	26277	24343	25580	4419	4638	277	302	135	152	22861	23978	0	0	7589	7982	104386	109481	40729	42732	
26	8.28126e+006	8.28672e+006	29478	30915	23314	25986	24027	25233	5357	5633	387	418	183	204	28667	30080	0	0	7620	8008	112019	117476	44550	46740	
27	8.27319e+006	8.27901e+006	30315	31791	22867	25477	23561	24735	6405	6742	507	547	231	259	35286	37011	13	16	7691	8087	119723	125550	48755	51157	
28	8.26512e+006	8.27132e+006	30622	32121	22370	24906	23049	24199	7432	7816	683	732	307	338	42494	44581	16	19	7684	8082	127419	133620	53297	55917	
29	8.25713e+006	8.26372e+006	30620	32138	21724	24183	22391	23504	8371	8791	905	965	412	448	50257	52736	19	22	7586	7999	135017	141608	58008	60851	
30	8.24927e+006	8.25622e+006	30484	32000	21242	23636	21833	22912	9073	9523	1165	1238	535	578	57983	60843	22	26	7486	7868	142514	149465	62677	65730	
31	8.24164e+006	8.24894e+006	30063	31564	21132	23497	21680	22743	9496	9963	1477	1568	682	732	65220	68438	26	32	7271	7649	149798	157101	67341	70613	
32	8.23399e+006	8.24166e+006	29642	31136	21764	24212	22428	23532	9385	9841	1833	1946	855	916	71257	74769	32	39	7264	7654	157073	164744	71764	75245	
