Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	475	0	0	0	0	0	0	0	171	475	0	
4	8.398e+006	717	16	0	0	0	0	0	0	259	733	16	
5	8.39766e+006	917	88	72	0	0	0	0	0	344	1077	88	
6	8.39724e+006	1191	159	145	0	0	0	0	0	418	1495	159	
7	8.39671e+006	1556	243	232	0	0	0	0	0	536	2031	243	
8	8.39603e+006	1972	372	361	0	0	0	0	0	675	2706	372	
9	8.39521e+006	2448	544	533	0	0	0	0	0	820	3526	544	
10	8.3943e+006	2940	742	737	0	0	0	16	0	909	4435	758	
11	8.39325e+006	3451	948	923	28	0	0	132	0	1047	5482	1048	
12	8.39216e+006	3868	1217	1184	56	0	0	248	0	1092	6574	1391	
13	8.39103e+006	4177	1548	1503	88	0	0	387	0	1129	7703	1824	
14	8.38998e+006	4318	1870	1831	140	0	0	594	0	1049	8752	2309	
15	8.38911e+006	4148	2226	2179	206	0	0	871	0	877	9629	2870	
16	8.38812e+006	4045	2571	2508	292	0	0	1202	0	989	10618	3474	
17	8.38706e+006	3973	2862	2810	371	16	15	1644	0	1057	11676	4090	
18	8.38596e+006	4024	3048	2999	474	25	20	2207	0	1101	12777	4683	
19	8.38482e+006	4285	3075	3029	603	34	24	2888	0	1137	13914	5210	
20	8.38376e+006	4358	3098	3085	722	51	31	3662	0	1062	14976	5766	
21	8.38267e+006	4389	3084	3110	858	70	41	4553	0	1089	16065	6381	
22	8.38157e+006	4385	3074	3129	985	93	52	5495	0	1097	17162	7025	
23	8.38051e+006	4317	3089	3122	1099	120	65	6483	0	1069	18231	7708	
24	8.37944e+006	4324	3086	3138	1165	156	80	7431	0	1069	19300	8325	
25	8.37834e+006	4333	3184	3252	1171	201	102	8258	0	1097	20398	8942	
26	8.37726e+006	4315	3268	3276	1192	251	126	9175	0	1079	21477	9593	
27	8.37614e+006	4362	3289	3266	1195	295	137	10172	14	1116	22593	10227	
28	8.375e+006	4432	3279	3245	1181	346	160	11232	18	1139	23732	10868	
29	8.3739e+006	4436	3244	3240	1189	402	185	12303	20	1101	24833	11533	
30	8.37277e+006	4486	3257	3244	1198	441	202	13313	24	1129	25963	12170	
31	8.37165e+006	4492	3273	3255	1242	472	215	14324	28	1122	27085	12828	
32	8.37052e+006	4484	3277	3293	1272	509	233	15347	34	1131	28216	13496	
33	8.36939e+006	4517	3294	3308	1280	545	246	16366	41	1135	29351	14153	
34	8.36823e+006	4540	3320	3342	1290	566	259	17395	49	1151	30502	14816	
35	8.36709e+006	4561	3325	3362	1280	584	268	18474	60	1144	31646	15478	
36	8.36593e+006	4595	3352	3387	1288	592	271	19525	71	1165	32811	16148	
37	8.36479e+006	4599	3366	3392	1302	589	272	20617	86	1139	33950	16826	
38	8.364e+006	4236	3377	3393	1299	592	271	21741	100	788	34738	17505	
39	8.36319e+006	3896	3394	3419	1301	589	271	22826	117	804	35542	18175	
40	8.36241e+006	3514	3399	3449	1316	593	274	23921	132	783	36325	18860	
41	8.36165e+006	3135	3404	3461	1315	604	281	25019	146	760	37085	19527	
42	8.36091e+006	3089	3274	3248	1321	603	279	26132	160	742	37827	20069	
43	8.3602e+006	3000	3152	3039	1309	608	286	27257	177	714	38541	20623	
44	8.35952e+006	2889	2998	2825	1309	616	288	28384	194	673	39214	21154	
45	8.35889e+006	2764	2843	2596	1322	614	288	29503	207	634	39849	21682	
46	8.35827e+006	2634	2690	2327	1334	622	291	30634	221	613	40462	22215	
47	8.3577e+006	2492	2528	2064	1334	628	295	31754	234	572	41034	22719	
48	8.35717e+006	2348	2464	2012	1267	625	294	32597	248	528	41562	23155	
49	8.35668e+006	2212	2365	1942	1220	630	299	33431	261	499	42061	23573	
50	8.3562e+006	2072	2280	1857	1148	634	302	34268	275	473	42534	23978	
51	8.35573e+006	1971	2188	1761	1063	634	300	35097	290	471	43005	24365	
52	8.35529e+006	1889	2067	1668	968	644	306	35910	305	446	43451	24723	
53	8.35487e+006	1805	1946	1573	893	638	303	36689	322	415	43866	25061	
54	8.35446e+006	1738	1844	1476	872	617	293	37389	336	406	44272	25388	
55	8.35408e+006	1650	1748	1408	833	608	287	38058	350	383	44655	25698	
56	8.35371e+006	1574	1660	1330	806	587	278	38704	365	369	45024	26003	
57	8.35337e+006	1503	1570	1262	777	564	268	39314	379	345	45369	26286	
58	8.35302e+006	1440	1498	1212	745	541	260	39884	392	344	45713	26558	
59	8.35272e+006	1361	1436	1159	698	512	245	40442	408	304	46016	26814	
60	8.35242e+006	1292	1378	1113	656	486	232	40967	424	300	46316	27059	
61	8.35212e+006	1250	1317	1046	620	464	224	41482	439	303	46619	27292	
62	8.35184e+006	1179	1257	1005	587	428	207	41982	455	273	46892	27518	
63	8.35158e+006	1142	1187	964	559	399	192	42437	472	267	47159	27715	
64	8.35132e+006	1100	1133	911	524	387	189	42878	483	257	47416	27919	
65	8.35108e+006	1039	1084	880	503	364	177	43293	496	242	47658	28119	
66	8.35084e+006	1002	1023	845	477	344	168	43699	505	235	47893	28295	
67	8.3506e+006	973	1005	785	454	327	155	44073	516	239	48132	28498	
68	8.35039e+006	931	988	715	431	317	150	44439	526	215	48347	28696	
69	8.35018e+006	894	983	658	404	303	142	44771	538	204	48552	28882	
70	8.34998e+006	863	966	611	391	285	133	45090	550	204	48756	29062	
71	8.34979e+006	817	953	560	376	266	121	45417	559	193	48949	29240	
72	8.34959e+006	800	940	515	367	253	115	45703	569	198	49148	29402	
73	8.3494e+006	781	896	497	354	241	110	45985	578	185	49332	29551	
74	8.34922e+006	758	864	476	343	228	103	46258	586	182	49514	29708	
75	8.34905e+006	734	829	462	334	217	97	46513	594	170	49684	29851	
76	8.34887e+006	715	804	450	315	207	94	46770	601	179	49863	29992	
77	8.34872e+006	687	776	424	303	202	93	47019	609	156	50019	30134	
78	8.34856e+006	667	757	409	290	192	88	47252	613	162	50181	30265	
79	8.3484e+006	652	734	398	280	182	82	47471	619	155	50336	30388	
80	8.34825e+006	621	715	392	266	178	80	47689	624	148	50484	30519	
81	8.3481e+006	619	698	372	252	172	79	47897	628	154	50638	30640	
