Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	476	0	0	0	0	0	0	0	172	476	0	
4	8.39797e+006	746	16	0	0	0	0	0	0	287	762	16	
5	8.39757e+006	1002	88	72	0	0	0	0	0	400	1162	88	
6	8.39703e+006	1400	159	145	0	0	0	0	0	542	1704	159	
7	8.39625e+006	2015	243	232	0	0	0	0	0	786	2491	243	
8	8.39512e+006	2857	386	376	0	0	0	0	0	1129	3619	386	
9	8.39354e+006	4030	585	577	0	0	0	0	0	1573	5192	585	
10	8.39131e+006	5725	850	838	0	0	0	16	0	2237	7429	866	
11	8.38815e+006	8097	1184	1146	28	0	0	132	0	3158	10587	1284	
12	8.38378e+006	11342	1676	1639	56	0	0	248	0	4374	14961	1850	
13	8.37772e+006	15821	2381	2335	88	0	0	388	0	6052	21013	2658	
14	8.36913e+006	22180	3379	3288	145	0	0	618	0	8595	29609	3835	
15	8.3572e+006	30944	4743	4682	224	0	0	939	0	11923	41532	5439	
16	8.34063e+006	43145	6632	6625	334	0	0	1370	0	16574	58106	7662	
17	8.31731e+006	60408	9258	9265	462	16	15	2012	0	23316	81422	10767	
18	8.28494e+006	84187	12983	13007	654	25	20	2940	0	32374	113796	15171	
19	8.23992e+006	117286	18134	18206	914	35	24	4244	0	45022	158817	21254	
20	8.17773e+006	162897	25310	25367	1302	52	31	6075	0	62186	221003	29767	
21	8.09176e+006	225559	35378	35456	1825	74	43	8688	0	85977	306981	41693	
22	7.97338e+006	311560	49416	49418	2566	105	56	12290	0	118374	425355	58324	
23	7.81187e+006	428048	68863	68941	3615	149	77	17250	0	161510	586865	81388	
24	7.59312e+006	584612	95700	95694	5073	209	106	24327	0	218750	805615	113339	
25	7.30049e+006	791269	132739	132710	7102	292	146	34137	0	292635	1.09825e+006	157474	
26	6.91568e+006	1.0577e+006	183517	183732	9909	425	203	47772	0	384804	1.48305e+006	218228	
27	6.42113e+006	1.39075e+006	252613	252830	13833	583	269	66991	14	494557	1.97761e+006	301239	
28	5.8055e+006	1.78762e+006	345788	346032	19269	825	380	93683	18	615627	2.59324e+006	413748	
29	5.0699e+006	2.23059e+006	469520	469913	26780	1163	538	130854	20	735599	3.32884e+006	564231	
30	4.23572e+006	2.67996e+006	630799	631252	37206	1636	766	182136	24	834178	4.16302e+006	762677	
31	3.35071e+006	3.07041e+006	835202	835429	51624	2284	1072	253044	29	885008	5.04802e+006	1.01845e+006	
32	2.48738e+006	3.31812e+006	1.08391e+006	1.08398e+006	71341	3174	1481	350804	36	863335	5.91136e+006	1.33767e+006	
33	1.72085e+006	3.34905e+006	1.37074e+006	1.37123e+006	98233	4424	2060	484161	47	766533	6.67789e+006	1.72103e+006	
34	1.10854e+006	3.12718e+006	1.67844e+006	1.67896e+006	134448	6188	2872	664917	62	612306	7.2902e+006	2.15925e+006	
35	669400	2.68131e+006	1.97444e+006	1.97534e+006	182615	8618	3994	906934	82	439139	7.72934e+006	2.62983e+006	
36	385114	2.10226e+006	2.21399e+006	2.21432e+006	245349	11965	5511	1.22563e+006	114	284286	8.01362e+006	3.09915e+006	
37	223579	1.49727e+006	2.34943e+006	2.35085e+006	324898	16611	7657	1.63595e+006	157	161535	8.17516e+006	3.53014e+006	
38	134889	973650	2.3475e+006	2.34946e+006	421710	22975	10578	2.14833e+006	219	88690	8.26385e+006	3.89581e+006	
39	86295	583105	2.19954e+006	2.20096e+006	533157	31675	14565	2.7637e+006	308	48594	8.31244e+006	4.18703e+006	
40	59602	325512	1.92468e+006	1.92593e+006	652819	43361	19926	3.46641e+006	426	26693	8.33913e+006	4.41072e+006	
41	44643	178936	1.56308e+006	1.56405e+006	768001	59091	27198	4.22034e+006	592	14959	8.35409e+006	4.57719e+006	
42	36145	98744	1.17985e+006	1.17264e+006	861187	79663	36639	4.96969e+006	816	8499	8.36259e+006	4.70977e+006	
43	31365	54930	823800	810750	913889	105944	48720	5.65693e+006	1130	4780	8.36737e+006	4.8114e+006	
44	28704	30898	532583	516353	912912	138588	63697	6.23712e+006	1576	2661	8.37003e+006	4.88589e+006	
45	27304	17339	321221	303535	855523	177020	81384	6.69462e+006	2176	1400	8.37143e+006	4.93717e+006	
46	26610	9534	183664	165305	748576	220020	101193	7.04202e+006	3006	694	8.37213e+006	4.96945e+006	
47	26273	5091	105685	86529	607880	264606	121689	7.2985e+006	4175	337	8.37246e+006	4.98775e+006	
48	26136	2569	58443	47742	457119	306210	140774	7.49474e+006	5780	138	8.3726e+006	4.99696e+006	
49	26076	1228	32433	26558	317572	339970	156289	7.64694e+006	7959	59	8.37266e+006	5.00197e+006	
50	26050	561	18158	14834	203981	361925	166362	7.76228e+006	10951	27	8.37269e+006	5.00472e+006	
51	26036	237	10107	8263	121400	370015	170025	7.84777e+006	14908	13	8.3727e+006	5.00624e+006	
52	26029	107	5519	4490	67831	364435	167492	7.9102e+006	20131	8	8.37271e+006	5.00706e+006	
53	26024	52	2918	2371	37394	345891	158966	7.9573e+006	26786	5	8.37271e+006	5.0075e+006	
54	26022	28	1459	1195	20647	316391	145433	7.99791e+006	35082	2	8.37271e+006	5.00774e+006	
55	26021	15	699	569	11481	278181	127855	8.03677e+006	44998	1	8.37272e+006	5.00788e+006	
56	26020	8	318	264	6402	233178	107142	8.07628e+006	56263	1	8.37272e+006	5.00794e+006	
57	26020	4	138	112	3576	184614	84810	8.11607e+006	68201	0	8.37272e+006	5.00797e+006	
58	26020	2	62	52	1955	136864	62903	8.15394e+006	79841	0	8.37272e+006	5.00799e+006	
59	26020	1	28	27	1036	94313	43355	8.18716e+006	90152	0	8.37272e+006	5.00799e+006	
60	26019	1	14	16	524	60334	27754	8.2135e+006	98332	0	8.37272e+006	5.00799e+006	
61	26019	1	8	8	250	35925	16536	8.23227e+006	104251	0	8.37272e+006	5.008e+006	
62	26019	0	4	5	117	20047	9224	8.24445e+006	108099	0	8.37272e+006	5.008e+006	
63	26019	0	2	2	48	11033	5077	8.25137e+006	110266	0	8.37272e+006	5.008e+006	
