Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39714e+006	8.39714e+006	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	1600	0	0	
1	8.39698e+006	8.39698e+006	1760	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1760	1760	0	0	
2	8.39682e+006	8.39682e+006	1920	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1920	1920	0	0	
3	8.39616e+006	8.39619e+006	2542	2578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	658	2542	2578	0	0	
4	8.39545e+006	8.3955e+006	1641	1691	802	828	772	798	0	0	0	0	0	0	0	0	0	0	689	724	3241	3291	802	828	
5	8.39472e+006	8.39478e+006	2196	2260	880	907	853	880	0	0	0	0	0	0	0	0	0	0	702	741	3956	4020	880	907	
6	8.39375e+006	8.39383e+006	2983	3068	962	990	930	958	0	0	0	0	0	0	0	0	0	0	935	979	4903	4988	962	990	
7	8.39258e+006	8.3927e+006	3489	3586	1279	1335	1232	1274	0	0	0	0	0	0	0	0	0	0	1126	1178	6041	6154	1287	1326	
8	8.39116e+006	8.3913e+006	4181	4298	1623	1697	1579	1634	0	0	0	0	0	0	0	0	0	0	1375	1442	7432	7580	1636	1684	
9	8.38945e+006	8.38963e+006	5139	5280	1977	2068	1933	1998	0	0	0	0	0	0	0	0	0	0	1656	1727	9105	9290	1995	2050	
10	8.38739e+006	8.38762e+006	6199	6364	1632	1737	1630	1692	279	299	0	0	0	0	1301	1321	0	0	1992	2068	11112	11342	2609	2676	
11	8.38538e+006	8.38566e+006	7023	7215	2119	2256	2112	2189	306	327	0	0	0	0	1433	1454	0	0	1948	2031	13076	13357	3195	3276	
12	8.38285e+006	8.38319e+006	8093	8320	2734	2906	2722	2810	338	359	0	0	0	0	1561	1582	0	0	2447	2544	15542	15882	3913	4016	
13	8.37976e+006	8.38018e+006	9441	9703	3240	3436	3251	3347	465	491	0	0	0	0	2062	2102	0	0	3000	3113	18561	18977	4821	4939	
14	8.37622e+006	8.37674e+006	10870	11189	3868	4095	3923	4035	607	640	0	0	0	0	2618	2669	0	0	3420	3554	21997	22515	5888	6034	
15	8.37215e+006	8.37276e+006	12878	13251	4466	4742	4557	4692	743	780	0	0	0	0	3197	3256	0	0	3956	4093	25972	26590	6920	7088	
16	8.36731e+006	8.36807e+006	15107	15569	5220	5540	5307	5466	633	674	91	104	50	59	4154	4235	0	0	4681	4857	30669	31431	8249	8454	
17	8.36165e+006	8.36257e+006	17593	18125	6150	6525	6242	6426	833	878	98	111	53	62	5086	5189	0	0	5487	5669	36171	37086	9875	10116	
18	8.35507e+006	8.35617e+006	20545	21169	7124	7591	7277	7509	1077	1134	106	120	57	66	6222	6353	0	0	6375	6596	42562	43665	11705	12000	
19	8.34743e+006	8.34874e+006	24004	24734	8241	8772	8453	8702	1265	1324	142	159	72	83	7671	7833	0	0	7413	7659	49995	51304	13836	14186	
20	8.33875e+006	8.34032e+006	27724	28570	9558	10202	9793	10093	1511	1572	180	198	90	102	9395	9599	0	0	8400	8695	58412	59982	16352	16775	
21	8.32861e+006	8.33049e+006	32057	33053	11297	12055	11561	11910	1753	1822	223	243	109	123	11074	11318	0	0	9815	10158	68245	70122	19296	19799	
22	8.31674e+006	8.31899e+006	37168	38346	13218	14128	13519	13938	2056	2136	275	298	132	148	13183	13477	0	0	11485	11891	79747	81995	22733	23332	
23	8.30301e+006	8.3057e+006	43025	44439	15387	16444	15723	16208	2429	2527	342	367	164	181	15759	16114	0	0	13273	13749	93036	95728	26753	27462	
24	8.28722e+006	8.29038e+006	49921	51553	17866	19096	18179	18740	2825	2929	420	452	198	221	18720	19167	0	0	15302	15803	108352	111517	31321	32169	
25	8.2688e+006	8.27254e+006	57935	59840	20712	22171	21128	21794	3286	3413	511	543	239	264	22141	22668	0	0	17836	18437	126201	129941	36575	37589	
26	8.2474e+006	8.25178e+006	67189	69359	24069	25791	24495	25287	3812	3957	535	570	237	263	26256	26897	34	40	20736	21412	146954	151336	42820	44020	
27	8.22281e+006	8.22793e+006	77754	80218	27892	29938	28371	29306	4504	4677	644	683	290	317	30955	31716	36	42	23834	24612	170808	175928	49994	51436	
28	8.19429e+006	8.20024e+006	90129	92948	32279	34636	32830	33897	5292	5486	772	816	350	380	36427	37352	37	44	27671	28540	198498	204449	58303	60010	
29	8.16147e+006	8.16841e+006	104110	107340	37342	40102	38080	39318	6142	6362	907	956	413	446	42860	43969	48	56	31808	32838	230327	237265	67921	69945	
30	8.12359e+006	8.13166e+006	120110	123831	43326	46521	44306	45742	7100	7347	1057	1113	482	520	50158	51496	57	66	36737	37902	267080	275150	79126	81490	
31	8.07997e+006	8.08937e+006	138543	142852	50213	53891	51310	52955	8243	8521	1240	1305	566	606	58655	60259	67	77	42270	43630	309369	318763	92006	94766	
32	8.02969e+006	8.04063e+006	159593	164620	58181	62360	59407	61257	9575	9889	1459	1533	678	719	68600	70521	77	88	48723	50305	358110	369049	106968	110192	
33	7.97203e+006	7.98458e+006	183809	189464	67305	72096	68644	70783	11075	11436	1700	1783	792	840	80131	82437	94	107	56024	57681	414155	426709	124199	127942	
34	7.90608e+006	7.92048e+006	211157	217528	77761	83305	79393	81902	12802	13218	1983	2076	931	983	93422	96133	111	125	64085	65966	478257	492658	144045	148370	
35	7.83035e+006	7.84692e+006	242428	249641	89793	96182	91559	94455	14822	15293	2306	2410	1071	1128	108903	112123	135	151	73534	75752	551818	568383	166913	171935	
36	7.74406e+006	7.76293e+006	277673	285646	103467	110861	105600	108943	17173	17730	2649	2762	1236	1299	126932	130698	163	182	83964	86314	635805	654674	193161	199029	
37	7.64612e+006	7.66771e+006	316853	325928	119262	127655	121700	125511	19895	20568	3073	3203	1429	1504	147612	151983	191	211	95210	97957	731030	752615	223451	230202	
38	7.53515e+006	7.55965e+006	360804	370955	137146	146693	139889	144242	23032	23820	3582	3732	1668	1751	171621	176692	222	244	108032	110996	839088	863585	258236	265983	
39	7.40946e+006	7.4372e+006	409705	420908	157647	168519	160743	165700	26645	27538	4162	4337	1935	2028	199216	205141	264	288	122432	125708	961541	989272	298163	307046	
40	7.26827e+006	7.29956e+006	463351	475817	180949	193120	184330	189849	30814	31829	4839	5035	2250	2352	231074	237991	312	337	137609	141223	1.09918e+006	1.13047e+006	343780	353938	
41	7.11055e+006	7.14559e+006	522092	535599	206926	220665	210844	217080	35591	36769	5618	5833	2613	2728	267755	275814	362	390	153944	157747	1.25315e+006	1.28819e+006	395492	407098	
42	6.9352e+006	6.97408e+006	585538	599982	241743	256930	235052	241789	41009	42356	6480	6719	3004	3129	310145	319561	430	461	171482	175375	1.42465e+006	1.46354e+006	459552	472943	
43	6.74114e+006	6.78415e+006	653015	668356	280643	297572	262171	269564	47226	48731	7496	7765	3459	3597	358874	369713	511	548	189907	194085	1.61459e+006	1.6576e+006	532237	547561	
44	6.52849e+006	6.57557e+006	723954	739818	323899	342676	292035	300120	54336	56033	8697	9009	3987	4148	414574	427026	601	639	208548	212684	1.82317e+006	1.87025e+006	614315	631754	
45	6.2967e+006	6.34779e+006	797759	813889	371374	391843	324611	333308	62520	64418	10071	10425	4619	4802	478475	492846	701	745	227743	231824	2.05095e+006	2.10204e+006	706145	725806	
46	6.04621e+006	6.10141e+006	872633	889020	423267	445386	359895	369167	71586	73739	11701	12105	5359	5563	551647	568023	814	864	246340	250522	2.29732e+006	2.35252e+006	808466	830484	
47	5.77854e+006	5.83757e+006	946535	962643	479883	503473	397723	407460	81820	84225	13534	13982	6217	6452	634679	653461	945	1000	263795	267722	2.56117e+006	2.6202e+006	922127	946686	
48	5.49522e+006	5.55745e+006	1.01807e+006	1.03332e+006	534998	559881	442793	453072	93427	96091	15612	16130	7167	7426	728898	750253	1101	1162	280046	283388	2.84128e+006	2.90352e+006	1.04639e+006	1.07347e+006	
49	5.19901e+006	5.26403e+006	1.08371e+006	1.09774e+006	592706	618441	490216	500809	106376	109367	18002	18593	8251	8548	835833	860015	1279	1349	293354	296279	3.13471e+006	3.19973e+006	1.18226e+006	1.21181e+006	
50	4.89248e+006	4.95942e+006	1.14191e+006	1.15382e+006	652338	678657	539201	550005	120740	124081	20721	21397	9487	9827	956175	983474	1490	1569	304521	306628	3.43932e+006	3.50626e+006	1.32971e+006	1.36187e+006	
51	4.57967e+006	4.64778e+006	1.18966e+006	1.199e+006	712691	739092	588713	599530	136236	139906	23879	24640	10923	11297	1.09124e+006	1.12187e+006	1743	1831	311448	312997	3.75096e+006	3.81906e+006	1.48819e+006	1.52284e+006	
52	4.2645e+006	4.33302e+006	1.22423e+006	1.23092e+006	772799	798488	637425	647892	153376	157363	27412	28272	12543	12966	1.2418e+006	1.27585e+006	2013	2111	314396	315529	4.06571e+006	4.13423e+006	1.65736e+006	1.69419e+006	
53	3.95167e+006	4.01937e+006	1.24423e+006	1.24778e+006	829997	854259	684035	693953	171752	176046	31367	32309	14363	14829	1.40909e+006	1.44687e+006	2322	2431	312629	313860	4.37937e+006	4.44707e+006	1.83531e+006	1.87405e+006	
54	3.64564e+006	3.71153e+006	1.24607e+006	1.24865e+006	883005	904915	727653	736588	191234	195795	35808	36857	16433	16934	1.59336e+006	1.63484e+006	2700	2822	305923	307944	4.68721e+006	4.7531e+006	2.02076e+006	2.06095e+006	
55	3.35036e+006	3.41375e+006	1.22904e+006	1.2343e+006	929916	948748	765367	773008	211851	216485	40869	42059	18808	19377	1.79505e+006	1.84031e+006	3113	3247	295184	297876	4.98499e+006	5.04837e+006	2.2121e+006	2.2533e+006	
56	3.06958e+006	3.12964e+006	1.19477e+006	1.20354e+006	968333	983286	796197	802286	232902	237587	46511	47861	21401	22044	2.01423e+006	2.06337e+006	3617	3773	280716	284174	5.26909e+006	5.32916e+006	2.40655e+006	2.44835e+006	
57	2.80672e+006	2.8628e+006	1.14483e+006	1.15669e+006	997014	1.0071e+006	818394	822568	254510	259228	52745	54237	24251	24959	2.24967e+006	2.30244e+006	4183	4359	262804	266893	5.53593e+006	5.59202e+006	2.60225e+006	2.64388e+006	
58	2.56359e+006	2.61533e+006	1.08195e+006	1.0963e+006	1.01308e+006	1.0184e+006	830797	833227	275653	280223	59571	61183	27373	28145	2.50114e+006	2.55713e+006	4856	5048	243084	247517	5.78341e+006	5.83515e+006	2.79605e+006	2.83699e+006	
