Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39714e+006	8.39714e+006	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	1600	0	0	
1	8.39698e+006	8.39698e+006	1760	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1760	1760	0	0	
2	8.39682e+006	8.39682e+006	1920	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	1920	1920	0	0	
3	8.39528e+006	8.39534e+006	3399	3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1479	1538	3399	3458	0	0	
4	8.39363e+006	8.39371e+006	3427	3511	802	828	772	798	0	0	0	0	0	0	0	0	0	0	1613	1669	5027	5111	802	828	
5	8.39181e+006	8.39192e+006	5053	5167	880	907	853	880	0	0	0	0	0	0	0	0	0	0	1763	1839	6813	6927	880	907	
6	8.38868e+006	8.38886e+006	7956	8139	962	990	930	958	0	0	0	0	0	0	0	0	0	0	3042	3153	9876	10059	962	990	
7	8.38415e+006	8.3844e+006	10921	11144	1701	1783	1657	1715	0	0	0	0	0	0	0	0	0	0	4430	4557	14332	14590	1717	1768	
8	8.37797e+006	8.37835e+006	15350	15671	2506	2616	2473	2543	0	0	0	0	0	0	0	0	0	0	6031	6207	20391	20769	2529	2593	
9	8.36908e+006	8.36964e+006	22261	22746	3403	3548	3350	3439	0	0	0	0	0	0	0	0	0	0	8675	8911	29092	29655	3435	3517	
10	8.3562e+006	8.35701e+006	31832	32498	4100	4315	4104	4216	279	299	0	0	0	0	1301	1321	0	0	12606	12912	41724	42541	5106	5225	
11	8.33928e+006	8.34047e+006	43919	44887	6211	6511	6264	6417	306	327	0	0	0	0	1433	1454	0	0	16517	16946	58269	59458	7330	7487	
12	8.31476e+006	8.31653e+006	61801	63225	9121	9555	9215	9429	338	359	0	0	0	0	1561	1582	0	0	23916	24542	82209	83977	10370	10595	
13	8.27942e+006	8.28197e+006	87655	89680	12640	13242	12861	13147	634	672	0	0	0	0	2748	2803	0	0	34532	35364	116765	119316	14860	15175	
14	8.23072e+006	8.23432e+006	122673	125498	18074	18932	18363	18758	944	984	0	0	0	0	4068	4142	0	0	47620	48734	164417	168020	21324	21768	
15	8.16303e+006	8.16805e+006	172395	176267	25370	26619	25714	26284	1301	1352	0	0	0	0	5493	5594	0	0	66250	67703	230685	235705	29795	30431	
16	8.06757e+006	8.07475e+006	241763	247209	35624	37445	36172	37011	1589	1656	91	104	50	59	8167	8329	0	0	93276	95491	323989	331169	42022	42936	
17	7.93552e+006	7.94542e+006	336533	343915	50502	53115	51183	52360	2420	2507	98	111	53	62	11779	12008	0	0	129306	132066	453317	463213	59748	61086	
18	7.75409e+006	7.76769e+006	466615	476638	70948	74600	72050	73679	3599	3726	106	120	57	66	16644	16965	0	0	177700	181459	631044	644645	84105	85993	
19	7.50677e+006	7.52545e+006	642591	656280	99408	104433	100778	103024	4987	5143	189	210	95	108	23879	24339	0	0	242227	247345	873291	891970	118103	120721	
20	7.17406e+006	7.19924e+006	875492	893527	139145	146321	141095	144330	7138	7354	281	303	135	150	34271	34918	0	0	326174	332741	1.1995e+006	1.22468e+006	165990	169684	
21	6.73704e+006	6.76983e+006	1.17557e+006	1.1985e+006	194711	204526	197562	202004	10013	10286	385	413	182	202	47832	48799	0	0	429374	437047	1.62891e+006	1.66169e+006	232270	237318	
22	6.17677e+006	6.21812e+006	1.54955e+006	1.57734e+006	270651	283974	274413	280465	14095	14462	558	592	259	282	67520	68960	0	0	551679	560308	2.18061e+006	2.22197e+006	323470	330364	
23	5.48364e+006	5.53397e+006	1.99145e+006	2.02316e+006	373062	391194	378350	386573	19976	20477	812	857	379	408	95938	98022	0	0	684115	693169	2.86477e+006	2.9151e+006	447885	457382	
24	4.66871e+006	4.72638e+006	2.47283e+006	2.50537e+006	510608	534858	517633	528640	27991	28677	1158	1215	538	573	135231	138165	0	0	807528	814985	3.67236e+006	3.73002e+006	615439	628252	
25	3.76745e+006	3.82929e+006	2.9405e+006	2.96964e+006	690308	721463	699187	713249	39210	40147	1632	1707	761	804	189803	193890	0	0	896948	901405	4.56945e+006	4.63129e+006	836655	853442	
26	2.84885e+006	2.90932e+006	3.30872e+006	3.32799e+006	917484	955778	928490	945675	54903	56179	2241	2342	1046	1102	266766	272652	34	40	918250	920311	5.48941e+006	5.54988e+006	1.12153e+006	1.14286e+006	
27	1.99884e+006	2.05195e+006	3.48147e+006	3.48534e+006	1.19309e+006	1.23834e+006	1.20584e+006	1.22607e+006	76712	78471	3149	3275	1461	1531	373376	381469	36	42	849941	857440	6.34678e+006	6.39989e+006	1.4761e+006	1.50228e+006	
28	1.29461e+006	1.33614e+006	3.37397e+006	3.39037e+006	1.50662e+006	1.55589e+006	1.52112e+006	1.54306e+006	106583	108935	4458	4631	2070	2159	519914	531087	37	44	704186	715858	7.0626e+006	7.10413e+006	1.89683e+006	1.92706e+006	
29	776138	805240	2.99124e+006	3.02412e+006	1.83437e+006	1.88266e+006	1.84846e+006	1.86997e+006	146916	150086	6336	6546	2942	3050	719928	735324	58	68	518444	530931	7.5935e+006	7.6226e+006	2.36885e+006	2.40167e+006	
30	436492	454610	2.41232e+006	2.45475e+006	2.13364e+006	2.17317e+006	2.14535e+006	2.16296e+006	201214	205530	8881	9150	4107	4243	989263	1.00997e+006	80	92	339626	350650	7.94413e+006	7.96224e+006	2.86028e+006	2.89307e+006	
31	236075	246257	1.76275e+006	1.80572e+006	2.35193e+006	2.37498e+006	2.35935e+006	2.36982e+006	271746	277281	12534	12875	5773	5944	1.34446e+006	1.37148e+006	104	118	200398	208371	8.15248e+006	8.16266e+006	3.33061e+006	3.36035e+006	
32	126448	131954	1.16815e+006	1.2042e+006	2.43818e+006	2.44211e+006	2.44068e+006	2.44317e+006	360893	367756	17592	18040	8120	8339	1.80191e+006	1.83608e+006	148	164	109611	114318	8.26678e+006	8.27229e+006	3.74182e+006	3.76663e+006	
33	69258	72078	706867	733175	2.34622e+006	2.37027e+006	2.35446e+006	2.36527e+006	468872	477022	24547	25154	11277	11575	2.37107e+006	2.41276e+006	211	232	57176	59890	8.32666e+006	8.32948e+006	4.07376e+006	4.09327e+006	
34	39929	41414	396546	413213	2.10331e+006	2.14764e+006	2.11663e+006	2.13641e+006	591352	600204	34132	34941	15682	16079	3.04651e+006	3.09463e+006	290	318	29315	30679	8.35732e+006	8.35881e+006	4.32777e+006	4.3426e+006	
35	24828	25641	211227	220635	1.74906e+006	1.80685e+006	1.76636e+006	1.79213e+006	718512	727243	47142	48192	21666	22160	3.8033e+006	3.8555e+006	405	436	15085	15788	8.3731e+006	8.37391e+006	4.51916e+006	4.53038e+006	
36	16856	17329	109571	114646	1.34357e+006	1.40504e+006	1.36186e+006	1.38931e+006	834023	841227	64758	66184	29782	30460	4.58995e+006	4.64196e+006	577	618	7953	8331	8.38141e+006	8.38188e+006	4.66544e+006	4.67437e+006	
37	12553	12848	56674	59261	948716	1.00502e+006	965228	990494	917148	921532	87759	89603	40358	41238	5.34094e+006	5.38806e+006	797	846	4278	4506	8.38589e+006	8.38618e+006	4.77884e+006	4.78585e+006	
38	10186	10390	29711	31055	614807	659666	627394	647543	948426	949789	117155	119460	53869	54960	5.99529e+006	6.03431e+006	1115	1178	2352	2473	8.38835e+006	8.38855e+006	4.86396e+006	4.86933e+006	
39	8890	9055	15903	16621	366631	398345	375836	390097	914965	919358	153345	156160	70453	71779	6.51924e+006	6.54975e+006	1597	1673	1279	1351	8.38968e+006	8.38985e+006	4.92376e+006	4.92772e+006	
40	8197	8344	8620	9026	204129	223930	209981	218877	822715	830558	195793	198987	90011	91532	6.91555e+006	6.93824e+006	2220	2315	676	729	8.39039e+006	8.39054e+006	4.96201e+006	4.96507e+006	
41	7834	7970	4685	4913	108588	119736	111793	116813	686673	696880	241984	245363	111283	112862	7.21046e+006	7.22743e+006	3111	3232	349	388	8.39077e+006	8.3909e+006	4.9843e+006	4.9869e+006	
42	7650	7781	2507	2637	56605	62620	57945	60657	529110	539969	288189	291455	132451	133981	7.43417e+006	7.44726e+006	4384	4533	175	197	8.39096e+006	8.39109e+006	4.99646e+006	4.99891e+006	
43	7559	7687	1310	1390	29530	32586	29952	31323	375055	385041	328875	331606	151183	152482	7.60653e+006	7.61661e+006	6117	6310	85	101	8.39105e+006	8.39118e+006	5.00298e+006	5.00537e+006	
44	7505	7633	673	729	15652	17241	15605	16304	243936	251969	358840	360773	164939	165889	7.73783e+006	7.74547e+006	8533	8779	48	59	8.3911e+006	8.39123e+006	5.00636e+006	5.00873e+006	
45	7478	7607	343	376	8495	9349	8227	8595	146180	151747	374890	376055	172243	172930	7.83437e+006	7.83983e+006	11812	12120	23	30	8.39113e+006	8.39126e+006	5.00805e+006	5.01041e+006	
46	7464	7592	177	199	4697	5170	4342	4545	81630	85112	375782	376767	172620	173264	7.90358e+006	7.90757e+006	16228	16617	11	18	8.39114e+006	8.39127e+006	5.00894e+006	5.01129e+006	
47	7457	7586	94	109	2656	2919	2231	2350	43468	45405	362811	364336	166664	167511	7.95425e+006	7.95731e+006	21990	22496	4	8	8.39115e+006	8.39128e+006	5.00944e+006	5.01179e+006	
48	7453	7581	47	58	1421	1577	1183	1257	22646	23723	337759	339912	155168	156255	7.99531e+006	7.99806e+006	29421	30061	3	7	8.39116e+006	8.39128e+006	5.00969e+006	5.01204e+006	
49	7450	7578	24	33	736	836	620	669	11745	12311	302289	305074	138922	140288	8.03369e+006	8.03642e+006	38609	39387	1	4	8.39116e+006	8.39129e+006	5.00983e+006	5.01218e+006	
50	7448	7576	12	19	378	446	314	347	6183	6484	258418	261682	118700	120283	8.07277e+006	8.07556e+006	49465	50366	1	3	8.39116e+006	8.39129e+006	5.0099e+006	5.01225e+006	
51	7448	7576	7	12	191	232	157	180	3310	3487	209081	212593	96024	97683	8.11315e+006	8.116e+006	61540	62503	-0	1	8.39116e+006	8.39129e+006	5.00994e+006	5.01228e+006	
52	7447	7575	4	7	98	125	80	95	1785	1891	158106	161591	72668	74274	8.15349e+006	8.15625e+006	73973	74959	0	1	8.39116e+006	8.39129e+006	5.00996e+006	5.0123e+006	
53	7447	7575	2	4	53	72	41	51	957	1024	110837	113916	50935	52360	8.1906e+006	8.193e+006	85495	86403	-0	0	8.39116e+006	8.39129e+006	5.00997e+006	5.01231e+006	
