Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39618e+006	2560	0	0	0	0	0	0	0	640	2560	0	
4	8.39547e+006	1666	815	785	0	0	0	0	0	706	3266	815	
5	8.39475e+006	2228	893	867	0	0	0	0	0	722	3988	893	
6	8.39379e+006	3025	976	944	0	0	0	0	0	957	4945	976	
7	8.39264e+006	3537	1307	1253	0	0	0	0	0	1152	6097	1307	
8	8.39123e+006	4240	1660	1606	0	0	0	0	0	1408	7506	1660	
9	8.38954e+006	5209	2023	1965	0	0	0	0	0	1692	9197	2023	
10	8.38751e+006	6282	1684	1661	289	0	0	1311	0	2030	11227	2643	
11	8.38552e+006	7119	2187	2150	316	0	0	1444	0	1989	13217	3236	
12	8.38302e+006	8207	2820	2766	348	0	0	1572	0	2496	15712	3965	
13	8.37997e+006	9572	3338	3299	478	0	0	2082	0	3057	18769	4880	
14	8.37648e+006	11029	3982	3979	623	0	0	2643	0	3487	22256	5961	
15	8.37246e+006	13064	4604	4625	761	0	0	3227	0	4025	26281	7004	
16	8.36769e+006	15338	5380	5387	654	97	54	4195	0	4769	31050	8351	
17	8.36211e+006	17859	6337	6334	855	104	57	5138	0	5578	36628	9996	
18	8.35562e+006	20857	7357	7393	1105	113	61	6287	0	6485	43114	11852	
19	8.34809e+006	24369	8506	8577	1295	151	78	7752	0	7536	50650	14011	
20	8.33954e+006	28147	9880	9943	1541	189	96	9497	0	8547	59197	16563	
21	8.32955e+006	32555	11676	11736	1788	233	116	11196	0	9986	69183	19548	
22	8.31787e+006	37757	13673	13728	2096	287	140	13330	0	11688	80871	23032	
23	8.30435e+006	43732	15915	15965	2478	354	172	15936	0	13511	94382	27108	
24	8.2888e+006	50737	18481	18460	2877	436	209	18944	0	15552	109935	31745	
25	8.27067e+006	58888	21441	21461	3349	527	252	22405	0	18136	128071	37082	
26	8.24959e+006	68274	24930	24891	3885	552	250	26576	37	21074	149145	43420	
27	8.22537e+006	78986	28915	28838	4590	664	303	31336	39	24223	173368	50715	
28	8.19726e+006	91539	33457	33364	5389	794	365	36890	41	28105	201473	59157	
29	8.16494e+006	105725	38722	38699	6252	932	429	43414	52	32323	233796	68933	
30	8.12762e+006	121970	44924	45024	7223	1085	501	50827	61	37319	271115	80308	
31	8.08467e+006	140698	52052	52133	8382	1272	586	59457	72	42950	314066	93386	
32	8.03516e+006	162107	60270	60332	9732	1496	698	69560	83	49514	363580	108580	
33	7.9783e+006	186636	69700	69713	11256	1741	816	81284	100	56852	420432	126070	
34	7.91328e+006	214342	80533	80647	13010	2029	957	94777	118	65025	485458	146208	
35	7.83864e+006	246035	92988	93007	15058	2358	1100	110513	143	74643	560100	169424	
36	7.7535e+006	281659	107164	107271	17452	2705	1268	128815	173	85139	645239	196095	
37	7.65691e+006	321391	123458	123606	20232	3138	1467	149797	201	96584	741823	226826	
38	7.5474e+006	365879	141919	142065	23426	3657	1710	174156	233	109514	851337	262109	
39	7.42333e+006	415307	163083	163221	27092	4249	1981	202178	276	124070	975407	302604	
40	7.28391e+006	469584	187035	187089	31321	4937	2301	234532	324	139416	1.11482e+006	348859	
41	7.12807e+006	528846	213796	213962	36180	5725	2671	271784	376	155845	1.27067e+006	401295	
42	6.95464e+006	592760	249337	238420	41682	6599	3066	314853	445	173428	1.4441e+006	466248	
43	6.76264e+006	660686	289107	265867	47978	7631	3528	364294	530	191996	1.63609e+006	539899	
44	6.55203e+006	731886	333288	296078	55184	8853	4067	420800	620	210616	1.84671e+006	623034	
45	6.32224e+006	805824	381609	328959	63469	10248	4710	485660	723	229784	2.07649e+006	715976	
46	6.07381e+006	880827	434327	364531	72663	11903	5461	559835	839	248431	2.32492e+006	819475	
47	5.80806e+006	954589	491678	402592	83022	13758	6334	644070	973	265758	2.59068e+006	934406	
48	5.52634e+006	1.02569e+006	547439	447932	94759	15871	7296	739576	1131	281717	2.8724e+006	1.05993e+006	
49	5.23152e+006	1.09072e+006	605573	495512	107872	18297	8399	847924	1314	294816	3.16722e+006	1.19704e+006	
50	4.92595e+006	1.14787e+006	665497	544603	122410	21059	9657	969824	1529	305575	3.47279e+006	1.34579e+006	
51	4.61372e+006	1.19433e+006	725892	594122	138071	24260	11110	1.10655e+006	1787	312222	3.78501e+006	1.50551e+006	
52	4.29876e+006	1.22758e+006	785644	642659	155369	27842	12755	1.25882e+006	2062	314963	4.09997e+006	1.67578e+006	
53	3.98552e+006	1.246e+006	842128	688994	173899	31838	14596	1.42798e+006	2377	313245	4.41322e+006	1.85468e+006	
54	3.67858e+006	1.24736e+006	893960	732121	193514	36332	16683	1.6141e+006	2761	306933	4.72015e+006	2.04085e+006	
55	3.38205e+006	1.23167e+006	939332	769187	214168	41464	19092	1.81768e+006	3180	296530	5.01668e+006	2.2327e+006	
56	3.09961e+006	1.19915e+006	975810	799241	235244	47186	21723	2.0388e+006	3695	282445	5.29913e+006	2.42745e+006	
57	2.83476e+006	1.15076e+006	1.00206e+006	820481	256869	53491	24605	2.27605e+006	4271	264848	5.56398e+006	2.62306e+006	
58	2.58946e+006	1.08912e+006	1.01574e+006	832012	277938	60377	27759	2.52913e+006	4952	245300	5.80928e+006	2.81652e+006	
59	2.3653e+006	1.01675e+006	1.01664e+006	832823	297984	67882	31228	2.79564e+006	5712	224160	6.03344e+006	3.00538e+006	
60	2.16289e+006	936716	1.00412e+006	822219	316609	75973	34966	3.07362e+006	6593	202408	6.23584e+006	3.18761e+006	
61	1.98205e+006	852712	978181	800782	332576	84513	38902	3.36034e+006	7588	180844	6.41669e+006	3.36081e+006	
62	1.82228e+006	767177	939970	769331	345521	93655	43092	3.65207e+006	8730	159765	6.57645e+006	3.52339e+006	
63	1.68245e+006	682848	890951	729266	354432	103274	47483	3.94549e+006	10021	139831	6.71628e+006	3.67402e+006	
64	1.56128e+006	601618	833433	682258	359232	112885	51890	4.23654e+006	11500	121178	6.83746e+006	3.81183e+006	
65	1.45662e+006	525424	769823	630182	359514	122419	56231	4.52158e+006	13168	104651	6.94211e+006	3.93692e+006	
66	1.36714e+006	455147	702405	574921	355012	131594	60481	4.79747e+006	15056	89488	7.0316e+006	4.04966e+006	
67	1.29092e+006	391534	647496	504812	345902	140343	64536	5.06057e+006	17157	76218	7.10782e+006	4.1637e+006	
68	1.22612e+006	335159	591230	436955	332320	148258	68187	5.30923e+006	19472	64803	7.17262e+006	4.26366e+006	
69	1.17132e+006	285304	535885	372791	315135	154950	71270	5.54126e+006	22091	54795	7.22742e+006	4.35121e+006	
70	1.12517e+006	241962	482872	312885	294799	160377	73738	5.75571e+006	24959	46146	7.27356e+006	4.42739e+006	
71	1.08642e+006	204504	432999	258131	272505	164143	75484	5.95198e+006	28058	38760	7.31232e+006	4.49287e+006	
72	1.054e+006	172112	387238	208930	248651	166125	76412	6.13027e+006	31410	32411	7.34473e+006	4.54895e+006	
73	1.02693e+006	144393	332031	179101	224109	165966	76318	6.29118e+006	35025	27076	7.37181e+006	4.59403e+006	
74	1.00431e+006	120861	283458	152643	199970	163989	75440	6.43471e+006	38794	22615	7.39442e+006	4.6323e+006	
75	985479	100936	240621	129589	176714	160083	73611	6.5625e+006	42817	18835	7.41326e+006	4.66456e+006	
76	969830	84173	203445	109688	154783	154385	70952	6.67549e+006	46943	15649	7.42891e+006	4.69179e+006	
77	956785	70143	171526	92465	134228	147057	67584	6.77536e+006	51168	13045	7.44195e+006	4.71461e+006	
78	945906	58408	144084	77719	115708	138426	63604	6.86305e+006	55437	10879	7.45283e+006	4.73373e+006	
79	936896	48582	120721	65121	99275	128820	59147	6.9397e+006	59621	9009	7.46184e+006	4.74977e+006	
80	929393	40437	100835	54510	84767	118390	54365	7.00665e+006	63752	7504	7.46934e+006	4.76309e+006	
