Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39531e+006	3428	0	0	0	0	0	0	0	1508	3428	0	
4	8.39367e+006	3469	815	785	0	0	0	0	0	1641	5069	815	
5	8.39187e+006	5110	893	867	0	0	0	0	0	1801	6870	893	
6	8.38877e+006	8047	976	944	0	0	0	0	0	3097	9967	976	
7	8.38428e+006	11032	1742	1686	0	0	0	0	0	4494	14461	1742	
8	8.37816e+006	15511	2561	2508	0	0	0	0	0	6119	20580	2561	
9	8.36936e+006	22504	3476	3394	0	0	0	0	0	8793	29373	3476	
10	8.3566e+006	32165	4207	4160	289	0	0	1311	0	12759	42133	5165	
11	8.33987e+006	44403	6361	6340	316	0	0	1444	0	16731	58864	7409	
12	8.31564e+006	62513	9338	9322	348	0	0	1572	0	24229	83093	10483	
13	8.2807e+006	88668	12941	13004	653	0	0	2775	0	34948	118041	15018	
14	8.23252e+006	124086	18503	18560	964	0	0	4105	0	48177	166218	21546	
15	8.16554e+006	174331	25995	25999	1326	0	0	5544	0	66976	233195	30113	
16	8.07116e+006	244486	36534	36591	1622	97	54	8248	0	94384	327579	42479	
17	7.94047e+006	340224	51808	51772	2463	104	57	11893	0	130686	458265	60417	
18	7.76089e+006	471626	72774	72864	3662	113	61	16805	0	179580	637845	85049	
19	7.51611e+006	649436	101920	101901	5065	200	102	24109	0	244786	882631	119412	
20	7.18665e+006	884509	142733	142713	7246	292	142	34595	0	329457	1.21209e+006	167837	
21	6.75344e+006	1.18703e+006	199618	199783	10150	399	192	48315	0	433210	1.6453e+006	234794	
22	6.19744e+006	1.56345e+006	277313	277439	14278	575	271	68240	0	555994	2.20129e+006	326917	
23	5.5088e+006	2.0073e+006	382128	382462	20226	834	393	96980	0	688642	2.88993e+006	452633	
24	4.69755e+006	2.4891e+006	522733	523137	28334	1186	556	136698	0	811256	3.70119e+006	621846	
25	3.79837e+006	2.95507e+006	705885	706218	39679	1669	783	191847	0	899177	4.60037e+006	845048	
26	2.87909e+006	3.31836e+006	936631	937082	55541	2292	1074	269709	37	919281	5.51965e+006	1.1322e+006	
27	2.0254e+006	3.4834e+006	1.21572e+006	1.21595e+006	77592	3212	1496	377423	39	853691	6.37334e+006	1.48919e+006	
28	1.31538e+006	3.38217e+006	1.53126e+006	1.53209e+006	107759	4544	2115	525500	41	710022	7.08336e+006	1.91195e+006	
29	790689	3.00768e+006	1.85852e+006	1.85922e+006	148501	6441	2996	727626	63	524687	7.60805e+006	2.38526e+006	
30	445551	2.43354e+006	2.15341e+006	2.15415e+006	203372	9016	4175	999614	86	345138	7.95319e+006	2.87667e+006	
31	241166	1.78423e+006	2.36346e+006	2.36458e+006	274513	12704	5858	1.35797e+006	111	204385	8.15757e+006	3.34548e+006	
32	129201	1.18618e+006	2.44015e+006	2.44192e+006	364324	17816	8229	1.819e+006	156	111965	8.26954e+006	3.75423e+006	
33	70668	720021	2.35825e+006	2.35987e+006	472947	24850	11426	2.39192e+006	222	58533	8.32807e+006	4.08351e+006	
34	40671	404880	2.12547e+006	2.12652e+006	595778	34536	15881	3.07057e+006	304	29997	8.35807e+006	4.33519e+006	
35	25235	215931	1.77796e+006	1.77925e+006	722878	47667	21913	3.8294e+006	420	15436	8.3735e+006	4.52477e+006	
36	17093	112108	1.37431e+006	1.37558e+006	837625	65471	30121	4.61595e+006	597	8142	8.38164e+006	4.66991e+006	
37	12701	57967	976869	977861	919340	88681	40798	5.3645e+006	822	4392	8.38604e+006	4.78234e+006	
38	10288	30383	637236	637468	949107	118308	54414	6.0148e+006	1146	2413	8.38845e+006	4.86664e+006	
39	8973	16262	382488	382967	917162	154753	71116	6.5345e+006	1635	1315	8.38976e+006	4.92574e+006	
40	8270	8823	214029	214429	826636	197390	90771	6.92689e+006	2267	702	8.39047e+006	4.96354e+006	
41	7902	4799	114162	114303	691777	243674	112072	7.21895e+006	3171	368	8.39083e+006	4.9856e+006	
42	7716	2572	59612	59301	534540	289822	133216	7.44072e+006	4459	186	8.39102e+006	4.99768e+006	
43	7623	1350	31058	30637	380048	330241	151832	7.61157e+006	6214	93	8.39111e+006	5.00417e+006	
44	7569	701	16446	15955	247952	359807	165414	7.74165e+006	8656	54	8.39117e+006	5.00755e+006	
45	7543	359	8922	8411	148963	375472	172587	7.8371e+006	11966	27	8.39119e+006	5.00923e+006	
46	7528	188	4934	4443	83371	376275	172942	7.90558e+006	16423	15	8.39121e+006	5.01012e+006	
47	7522	101	2788	2290	44437	363573	167088	7.95578e+006	22243	6	8.39121e+006	5.01062e+006	
48	7517	52	1499	1220	23185	338835	155712	7.99669e+006	29741	5	8.39122e+006	5.01087e+006	
49	7514	29	786	644	12028	303681	139605	8.03506e+006	38998	3	8.39122e+006	5.011e+006	
50	7512	16	412	330	6333	260050	119492	8.07417e+006	49916	2	8.39122e+006	5.01107e+006	
51	7512	10	212	169	3399	210837	96854	8.11458e+006	62022	0	8.39122e+006	5.01111e+006	
52	7511	5	112	88	1838	159848	73471	8.15487e+006	74466	1	8.39123e+006	5.01113e+006	
53	7511	3	63	46	991	112376	51648	8.1918e+006	85949	0	8.39123e+006	5.01114e+006	
54	7511	1	32	24	536	72902	33505	8.22228e+006	95445	0	8.39123e+006	5.01114e+006	
55	7511	1	17	13	280	43697	20109	8.24467e+006	102542	0	8.39123e+006	5.01115e+006	
56	7511	0	10	7	141	24413	11219	8.25943e+006	107221	0	8.39123e+006	5.01115e+006	
57	7511	0	6	5	72	12999	5981	8.26816e+006	109985	0	8.39123e+006	5.01115e+006	
58	7511	0	3	3	38	6780	3123	8.27291e+006	111492	0	8.39123e+006	5.01115e+006	
59	7511	0	2	1	23	3509	1608	8.2754e+006	112294	0	8.39123e+006	5.01115e+006	
60	7511	0	1	1	11	1839	848	8.27668e+006	112693	0	8.39123e+006	5.01115e+006	
61	7511	0	0	0	6	974	453	8.27734e+006	112903	0	8.39123e+006	5.01115e+006	
62	7511	0	0	0	3	528	242	8.27768e+006	113011	0	8.39123e+006	5.01115e+006	
63	7511	0	0	0	2	288	129	8.27787e+006	113070	0	8.39123e+006	5.01115e+006	
64	7511	0	0	0	1	158	73	8.27797e+006	113100	0	8.39123e+006	5.01115e+006	
65	7511	0	0	0	1	84	37	8.27802e+006	113122	0	8.39123e+006	5.01115e+006	
66	7510	0	0	0	0	42	19	8.27805e+006	113132	0	8.39123e+006	5.01115e+006	
67	7510	0	0	0	0	20	9	8.27807e+006	113137	0	8.39123e+006	5.01115e+006	
68	7510	0	0	0	0	9	4	8.27808e+006	113139	0	8.39123e+006	5.01115e+006	
69	7510	0	0	0	0	6	2	8.27808e+006	113140	0	8.39123e+006	5.01115e+006	
70	7510	0	0	0	0	3	1	8.27808e+006	113141	0	8.39123e+006	5.01115e+006	
71	7510	0	0	0	0	2	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
72	7510	0	0	0	0	1	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
73	7510	0	0	0	0	1	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
74	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
75	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
76	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
77	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
78	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
79	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
80	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
81	7510	0	0	0	0	0	0	8.27808e+006	113142	0	8.39123e+006	5.01115e+006	
