Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39568e+006	3060	0	0	0	0	0	0	0	1140	3060	0	
4	8.39448e+006	2660	815	785	0	0	0	0	0	1200	4260	815	
5	8.39316e+006	3817	893	867	0	0	0	0	0	1316	5577	893	
6	8.39109e+006	5724	976	944	0	0	0	0	0	2067	7644	976	
7	8.38833e+006	7347	1554	1506	0	0	0	0	0	2763	10407	1554	
8	8.38477e+006	9709	2159	2101	0	0	0	0	0	3563	13970	2159	
9	8.37987e+006	13286	2813	2763	0	0	0	0	0	4893	18863	2813	
10	8.37326e+006	17833	3052	2992	289	0	0	1311	0	6615	25477	4010	
11	8.36535e+006	22979	4339	4307	316	0	0	1444	0	7908	33386	5388	
12	8.35449e+006	30278	6025	6024	348	0	0	1572	0	10862	44248	7170	
13	8.33966e+006	40212	7910	7893	578	0	0	2482	0	14827	59075	9758	
14	8.32058e+006	52682	10599	10618	808	0	0	3453	0	19084	78160	13156	
15	8.29564e+006	69714	13874	13936	1062	0	0	4514	0	24941	103100	17218	
16	8.26242e+006	92073	18258	18346	1183	97	54	6364	0	33221	136321	22834	
17	8.21886e+006	120801	24338	24330	1674	104	57	8628	0	43556	179877	30536	
18	8.16209e+006	158488	32082	32108	2331	113	61	11526	0	56772	236648	40395	
19	8.08775e+006	207883	42124	42114	3082	177	91	15604	0	74335	310983	53368	
20	7.99119e+006	271227	55425	55419	4132	241	120	21105	0	96565	407548	70590	
21	7.86642e+006	352445	73235	73256	5405	318	154	27663	0	124774	532321	93095	
22	7.70504e+006	457048	96202	96198	7121	436	208	36691	0	161375	693696	122552	
23	7.49924e+006	588512	125939	125969	9487	589	280	49000	0	205799	899495	161211	
24	7.23888e+006	752313	164586	164802	12504	791	374	64865	0	260366	1.15986e+006	211217	
25	6.91425e+006	952161	214525	214696	16423	1078	504	85600	0	324622	1.48448e+006	276100	
26	6.51594e+006	1.1891e+006	278607	278769	21568	1345	622	113371	37	398315	1.8828e+006	359894	
27	6.03739e+006	1.46185e+006	359695	359923	28528	1783	832	149527	39	478546	2.36134e+006	466910	
28	5.47805e+006	1.76083e+006	461407	461806	37458	2385	1121	196764	41	559346	2.92069e+006	602572	
29	4.84597e+006	2.06828e+006	586502	586998	49070	3132	1462	258724	58	632074	3.55276e+006	772145	
30	4.22331e+006	2.29263e+006	737699	737551	64070	4124	1925	339282	72	622662	4.17543e+006	980802	
31	3.6354e+006	2.40199e+006	914369	914653	83390	5474	2549	443363	94	587910	4.76334e+006	1.23209e+006	
32	3.10543e+006	2.37262e+006	1.11339e+006	1.1136e+006	108334	7196	3352	578045	121	529974	5.29331e+006	1.5274e+006	
33	2.65791e+006	2.18807e+006	1.32636e+006	1.32691e+006	139822	9467	4381	750048	159	447519	5.74083e+006	1.8632e+006	
34	2.30147e+006	1.92184e+006	1.50746e+006	1.50811e+006	179466	12458	5744	967731	205	356440	6.09727e+006	2.19954e+006	
35	2.03474e+006	1.60066e+006	1.63899e+006	1.63987e+006	228139	16358	7549	1.23971e+006	274	266728	6.364e+006	2.52498e+006	
36	1.84999e+006	1.25543e+006	1.70466e+006	1.70585e+006	286681	21372	9841	1.57438e+006	361	184746	6.54874e+006	2.82857e+006	
37	1.73726e+006	920652	1.68939e+006	1.69009e+006	355500	27930	12827	1.97744e+006	470	112737	6.66148e+006	3.09901e+006	
38	1.63644e+006	665031	1.58783e+006	1.58875e+006	432922	36301	16671	2.45084e+006	622	100819	6.7623e+006	3.33146e+006	
39	1.55016e+006	484574	1.40527e+006	1.40596e+006	515979	46933	21566	2.98904e+006	814	86272	6.84857e+006	3.52633e+006	
40	1.47994e+006	370049	1.18641e+006	1.18691e+006	586343	60536	27845	3.52747e+006	1075	70222	6.91879e+006	3.6796e+006	
41	1.42379e+006	313467	949000	949145	637427	77252	35523	4.04724e+006	1417	56154	6.97495e+006	3.79286e+006	
42	1.38022e+006	256219	739232	729758	663301	97598	44868	4.53054e+006	1869	43571	7.01852e+006	3.89958e+006	
43	1.34713e+006	203035	562730	545013	657321	121807	55999	4.95924e+006	2462	33087	7.05161e+006	3.9904e+006	
44	1.32246e+006	157480	423251	398273	617855	149868	68890	5.32633e+006	3214	24668	7.07627e+006	4.06378e+006	
45	1.30438e+006	119406	320865	290085	546703	181030	83210	5.63204e+006	4226	18080	7.09435e+006	4.12077e+006	
46	1.29106e+006	89154	252405	217370	461657	210383	96769	5.87118e+006	5526	13319	7.10767e+006	4.16271e+006	
47	1.28085e+006	66283	214213	175912	369305	236223	108652	6.04874e+006	7217	10216	7.11789e+006	4.19187e+006	
48	1.27257e+006	49891	172516	141458	285772	256855	118155	6.21027e+006	9402	8276	7.12616e+006	4.21425e+006	
49	1.26599e+006	38397	135122	110660	215428	270381	124314	6.35058e+006	12185	6587	7.13275e+006	4.23176e+006	
50	1.26088e+006	30185	103762	85118	159777	275685	126700	6.46763e+006	15702	5107	7.13786e+006	4.24525e+006	
51	1.25691e+006	23939	78532	64409	118805	272498	125253	6.56357e+006	20077	3969	7.14183e+006	4.25583e+006	
52	1.25396e+006	18614	59192	48453	91205	260638	119810	6.6412e+006	25479	2951	7.14478e+006	4.26421e+006	
53	1.25169e+006	14291	44609	36536	75771	240256	110437	6.70367e+006	31915	2263	7.14704e+006	4.27078e+006	
54	1.24999e+006	10892	33869	27716	61022	214644	98654	6.76114e+006	39468	1708	7.14875e+006	4.27582e+006	
55	1.24869e+006	8217	26108	21366	47812	184062	84591	6.81446e+006	48019	1294	7.15004e+006	4.27959e+006	
56	1.24772e+006	6241	20409	16697	36708	153236	70370	6.86128e+006	56454	975	7.15102e+006	4.28236e+006	
57	1.24695e+006	4747	16032	13121	27779	123514	56724	6.90225e+006	64348	769	7.15179e+006	4.2845e+006	
58	1.24634e+006	3644	12411	10175	20974	96330	44211	6.9374e+006	71465	605	7.15239e+006	4.28617e+006	
59	1.24587e+006	2822	9500	7793	15780	73229	33651	6.96627e+006	77474	472	7.15287e+006	4.28747e+006	
60	1.24551e+006	2205	7204	5957	11940	54660	25141	6.98896e+006	82296	358	7.15322e+006	4.28846e+006	
61	1.24524e+006	1704	5440	4521	9194	40707	18697	7.00602e+006	85909	268	7.15349e+006	4.28922e+006	
62	1.24503e+006	1312	4182	3434	7197	31114	14274	7.01809e+006	88374	214	7.15371e+006	4.28982e+006	
63	1.24487e+006	999	3209	2615	5655	25432	11677	7.02609e+006	89865	159	7.15387e+006	4.29029e+006	
64	1.24475e+006	764	2468	2006	4363	20252	9319	7.03294e+006	91197	124	7.15399e+006	4.29064e+006	
65	1.24465e+006	597	1902	1546	3348	15855	7299	7.03848e+006	92357	101	7.15409e+006	4.2909e+006	
66	1.24457e+006	457	1484	1203	2550	12241	5630	7.04294e+006	93292	73	7.15416e+006	4.2911e+006	
67	1.24451e+006	361	1169	908	1935	9339	4292	7.04647e+006	94045	63	7.15423e+006	4.29128e+006	
68	1.24447e+006	274	912	683	1477	7078	3247	7.04922e+006	94624	36	7.15426e+006	4.29141e+006	
69	1.24444e+006	204	710	513	1131	5336	2438	7.05133e+006	95068	31	7.15429e+006	4.29151e+006	
70	1.24442e+006	153	560	379	880	4039	1833	7.05291e+006	95393	22	7.15432e+006	4.29159e+006	
71	1.2444e+006	106	457	277	670	3111	1423	7.05407e+006	95641	17	7.15433e+006	4.29165e+006	
72	1.24439e+006	86	364	193	515	2433	1116	7.05495e+006	95809	15	7.15435e+006	4.29169e+006	
73	1.24438e+006	67	276	153	401	1904	870	7.05562e+006	95938	13	7.15436e+006	4.29172e+006	
74	1.24436e+006	57	206	121	308	1476	678	7.05615e+006	96050	12	7.15437e+006	4.29174e+006	
75	1.24435e+006	50	151	92	235	1129	519	7.05659e+006	96137	10	7.15438e+006	4.29176e+006	
