Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	542363	542363	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
1	542360	542360	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	4	0	0	
2	542357	542357	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	7	0	0	
3	542353	542353	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	11	0	0	
4	542348	542348	15	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	16	16	1	1	
5	542341	542342	18	19	3	3	1	1	0	0	0	0	0	0	0	0	0	0	6	7	22	23	3	3	
6	542333	542335	22	24	5	6	1	2	0	0	0	0	0	0	0	0	0	0	7	8	29	31	5	6	
7	542323	542325	28	29	8	9	2	3	0	0	0	0	0	0	0	0	0	0	9	10	39	41	8	9	
8	542311	542314	34	37	12	13	3	4	0	0	0	0	0	0	0	0	0	0	11	13	50	53	12	13	
9	542295	542299	43	47	16	18	5	6	0	0	0	0	0	0	0	0	0	0	15	17	65	69	16	18	
10	542274	542280	55	60	21	23	7	8	0	0	0	0	0	0	1	1	0	0	19	21	84	90	22	23	
11	542249	542257	68	74	26	28	9	10	0	1	0	0	0	0	3	4	0	0	23	25	107	115	30	31	
12	542218	542227	86	93	32	35	11	12	1	1	0	0	0	0	6	6	0	0	29	32	137	146	38	40	
13	542179	542191	108	116	40	44	13	15	2	2	0	0	0	0	9	10	0	0	36	39	173	185	50	53	
14	542133	542148	131	141	51	57	16	18	3	3	0	0	0	0	13	13	0	0	42	46	216	231	64	69	
15	542075	542095	162	175	64	71	21	23	4	4	0	0	0	0	18	19	0	0	53	58	269	289	82	87	
16	542005	542030	197	213	80	89	26	28	5	6	0	0	0	0	24	25	0	0	64	70	334	359	104	112	
17	541920	541951	239	259	100	111	32	35	6	7	0	1	0	1	32	34	0	0	78	86	413	444	132	141	
18	541815	541854	294	319	123	136	40	44	8	9	1	1	1	1	41	44	0	0	97	106	510	549	165	176	
19	541685	541733	361	391	151	168	50	55	9	11	1	1	1	1	54	58	0	0	120	130	631	679	205	220	
20	541529	541589	441	477	185	205	61	67	13	14	1	2	1	1	70	75	0	0	144	156	775	835	255	274	
21	541335	541410	541	585	226	252	75	82	16	18	2	2	1	1	89	95	0	0	179	194	954	1029	315	339	
22	541099	541191	662	716	276	307	93	101	20	22	2	2	1	1	115	122	0	0	218	237	1173	1265	390	419	
23	540812	540926	807	873	338	377	114	124	25	27	2	3	1	2	145	155	0	0	265	288	1438	1552	482	519	
24	540459	540601	988	1070	413	460	140	152	31	34	3	4	2	2	181	194	0	0	325	353	1763	1905	592	638	
25	540029	540202	1207	1307	504	562	172	187	38	42	4	4	2	3	227	244	0	0	398	431	2162	2335	728	785	
26	539507	539718	1472	1593	618	688	210	228	47	51	5	5	3	3	282	303	0	0	483	523	2646	2857	895	965	
27	538866	539128	1797	1946	754	841	258	280	58	62	5	6	3	3	348	375	0	1	590	641	3236	3498	1097	1183	
28	538083	538403	2197	2377	921	1027	317	344	71	77	6	7	3	4	431	465	1	1	724	784	3961	4281	1343	1450	
29	537132	537521	2681	2897	1125	1255	387	420	87	94	8	9	4	4	534	576	1	1	882	951	4843	5232	1646	1778	
30	535968	536444	3274	3539	1377	1535	471	510	106	114	10	12	5	6	658	709	1	1	1076	1165	5920	6396	2016	2177	
31	534555	535137	3990	4312	1682	1876	572	620	130	141	13	14	6	7	810	873	1	1	1307	1413	7227	7809	2468	2667	
32	532825	533537	4866	5259	2055	2292	700	757	159	172	16	18	7	9	995	1074	1	1	1600	1730	8827	9539	3021	3266	
33	530729	531593	5927	6403	2513	2798	852	921	195	210	20	22	9	10	1221	1319	1	2	1943	2096	10771	11635	3696	3994	
34	528174	529226	7218	7794	3069	3416	1039	1123	238	258	25	27	11	13	1498	1619	1	2	2367	2556	13138	14190	4518	4883	
35	525086	526365	8772	9469	3739	4162	1268	1370	291	315	30	33	14	15	1838	1986	1	2	2861	3088	15999	17278	5515	5961	
36	521347	522893	10643	11478	4567	5084	1544	1668	356	386	37	41	17	19	2249	2430	2	2	3471	3740	19471	21017	6742	7288	
37	516813	518684	12909	13917	5567	6188	1884	2033	434	470	46	50	21	23	2753	2976	2	3	4209	4534	23680	25551	8227	8890	
38	511365	513614	15611	16810	6781	7536	2293	2477	530	573	56	61	26	28	3371	3645	2	3	5070	5449	28750	30999	10038	10842	
39	504819	507520	18845	20268	8240	9158	2789	3014	648	700	68	75	31	35	4123	4456	3	3	6094	6546	34844	37545	12224	13200	
40	497015	500241	22652	24332	10013	11118	3385	3656	790	853	83	91	39	42	5042	5450	3	4	7278	7805	42123	45349	14881	16061	
41	487719	491545	27138	29095	12161	13490	4110	4433	964	1041	102	111	47	52	6156	6654	4	5	8695	9297	50819	54645	18100	19529	
42	476695	481212	32401	34670	14987	16569	4729	5098	1174	1269	124	135	58	64	7523	8132	5	6	10332	11024	61152	65669	22228	23967	
43	463789	469078	38441	41032	18375	20261	5462	5886	1430	1544	150	163	70	77	9183	9922	6	7	12134	12907	73286	78575	27195	29299	
44	448766	454908	45332	48251	22393	24621	6324	6806	1742	1882	183	199	85	93	11205	12103	7	8	14169	15024	87456	93598	33132	35665	
45	431422	438485	53059	56299	27169	29775	7349	7894	2118	2286	223	243	104	113	13648	14741	8	9	16422	17345	103879	110942	40224	43245	
46	411684	419696	61514	65014	32793	35827	8549	9163	2575	2778	273	295	127	138	16611	17934	10	11	18786	19740	122668	130680	48654	52241	
47	389498	398456	70617	74296	39306	42795	9922	10609	3122	3366	335	362	155	168	20209	21811	12	14	21237	22190	143908	152866	58562	62784	
48	364915	374770	80130	83858	46537	50510	11740	12519	3776	4066	408	442	189	205	24549	26476	15	17	23682	24587	167594	177449	70089	75011	
49	338252	348903	89569	93183	54756	59207	13800	14670	4565	4911	496	537	230	249	29763	32078	19	21	25859	26672	193461	204112	83468	89142	
50	309818	321106	98569	101887	63925	68810	16094	17046	5492	5902	605	655	279	301	36001	38769	23	25	27784	28447	221258	232546	98785	105240	
51	280216	291909	106512	109317	73921	79162	18603	19625	6592	7074	738	798	340	367	43460	46744	28	30	29171	29627	250455	262148	116104	123337	
52	250096	261908	112795	114887	84582	90037	21269	22335	7888	8449	899	972	413	447	52330	56212	34	37	29928	30194	280456	292268	135444	143420	
53	220301	231913	116841	118100	95550	101041	24021	25100	9397	10043	1092	1179	502	542	62754	67310	41	44	29740	30050	310451	322063	156591	165229	
54	191552	202663	117910	118799	106468	111754	26746	27783	11133	11870	1326	1430	610	658	74946	80246	50	54	28721	29278	339701	350812	179368	188554	
55	164595	174938	115492	117100	116707	121492	29323	30259	13087	13917	1605	1729	737	795	89125	95232	61	66	26942	27740	367426	377769	203329	212875	
56	140079	149459	109946	112520	125737	129720	31568	32353	15277	16188	1935	2083	889	959	105381	112330	74	80	24506	25490	392905	402285	228048	237724	
57	118346	126612	101910	105345	132827	135726	33310	33878	17659	18643	2324	2499	1067	1150	123833	131628	91	99	21726	22853	415752	424018	252849	262408	
58	99546	106652	91979	96039	137307	139033	34395	34736	20196	21221	2789	2994	1282	1380	144497	153116	110	120	18797	19965	435712	442818	277152	286349	
59	83708	89688	80870	85268	138407	139658	34649	34909	22794	23829	3336	3573	1534	1646	167195	176568	134	145	15835	16967	452676	458656	300317	308930	
60	70614	75540	69454	73929	135382	137686	33927	34391	25360	26358	3971	4243	1825	1955	191761	201773	162	176	13092	14149	466824	471750	321758	329619	
61	59978	63965	58361	62654	129016	132708	32354	33089	27779	28682	4686	4993	2154	2299	217785	228263	199	216	10635	11577	478399	482386	341136	348122	
62	51464	54644	48078	52011	119848	124767	30108	31084	29893	30640	5502	5845	2527	2689	244810	255529	242	263	8514	9321	487720	490900	358218	364277	
63	44754	47267	38953	42423	108604	114425	27321	28468	31552	32094	6409	6786	2945	3122	272179	282880	295	320	6710	7378	495097	497610	372921	378071	
64	39474	41441	31139	34100	96027	102383	24201	25449	32591	32915	7403	7807	3402	3592	299310	309742	358	387	5279	5826	500923	502890	385342	389634	
65	35385	36914	24593	27052	82967	89481	20932	22210	32837	33068	8456	8880	3887	4085	325559	335495	434	468	4089	4528	505450	506979	395651	399162	
66	32218	33399	19245	21246	70197	76537	17725	18970	32151	32581	9546	9974	4388	4589	350291	359559	524	565	3166	3515	508965	510146	404081	406912	
67	29775	30685	14978	16583	58947	64810	14048	15132	30677	31364	10640	11059	4893	5089	373138	381581	631	679	2442	2715	511679	512589	411587	413775	
68	27913	28614	11560	12829	48768	53991	10807	11715	28544	29456	11690	12077	5372	5551	393821	401367	760	817	1861	2072	513750	514451	417588	419245	
69	26493	27028	8890	9888	39877	44391	8051	8778	25892	26970	12639	12978	5807	5964	412164	418798	912	979	1419	1587	515336	515871	422305	423529	
70	25411	25821	6804	7581	32349	36136	5751	6302	22912	24090	13441	13711	6178	6302	428208	433954	1090	1167	1080	1208	516543	516953	426010	426884	
71	24585	24899	5187	5790	26128	29232	3866	4258	19828	21035	14042	14234	6454	6544	442029	446944	1292	1381	825	923	517465	517779	428898	429495	
72	23950	24193	3959	4425	21065	23560	2352	2604	16792	17965	14380	14496	6607	6667	453833	458002	1526	1625	633	707	518171	518414	431112	431498	
73	23474	23665	3014	3368	16329	18321	1824	2026	13944	15033	14419	14520	6624	6679	463791	467310	1790	1900	474	530	518699	518890	432672	432910	
74	23109	23260	2297	2566	12574	14145	1403	1561	11386	12356	14126	14299	6488	6575	472199	475154	2085	2207	363	406	519104	519255	433852	434000	
75	22832	22956	1746	1949	9656	10885	1076	1198	9165	10011	13557	13822	6230	6356	479223	481708	2405	2538	274	307	519408	519532	434731	434861	
76	22618	22722	1324	1479	7392	8344	821	917	7283	7998	12747	13094	5853	6018	485130	487217	2750	2891	211	236	519642	519746	435382	435541	
77	22458	22548	1007	1125	5631	6365	626	700	5722	6310	11738	12155	5387	5584	490106	491864	3114	3259	157	176	519816	519906	435864	436060	
78	22335	22416	764	855	4290	4856	478	534	4468	4943	10585	11048	4861	5076	494277	495758	3487	3634	120	136	519948	520029	436231	436461	
79	22241	22316	581	651	3265	3695	365	408	3465	3845	9352	9838	4295	4520	497801	499048	3857	4003	91	103	520048	520123	436508	436764	
80	22170	22241	438	491	2488	2815	278	311	2667	2966	8095	8584	3718	3942	500774	501826	4223	4361	68	77	520123	520194	436721	437000	
81	22114	22183	334	375	1890	2138	211	237	2044	2277	6880	7354	3159	3376	503275	504159	4562	4692	53	61	520181	520250	436880	437175	
82	22073	22141	253	284	1432	1622	159	179	1564	1742	5747	6190	2640	2844	505365	506104	4877	4995	39	44	520223	520291	437002	437310	
83	22042	22109	191	215	1090	1235	121	136	1194	1330	4720	5117	2167	2350	507098	507711	5157	5262	30	34	520255	520322	437095	437412	
84	22018	22085	145	163	827	937	92	103	912	1017	3818	4162	1754	1913	508524	509026	5404	5495	22	25	520279	520346	437164	437489	
85	22000	22066	109	122	629	714	69	78	693	773	3046	3340	1398	1534	509686	510095	5614	5693	17	20	520298	520364	437218	437549	
86	21987	22052	82	93	474	540	53	59	528	588	2406	2652	1106	1220	510621	510953	5787	5853	13	15	520312	520377	437256	437592	
87	21977	22042	62	70	360	410	40	46	398	445	1884	2084	868	961	511362	511629	5931	5987	9	11	520322	520387	437286	437625	
88	21969	22034	47	53	272	310	30	34	302	337	1467	1628	676	751	511945	512160	6045	6093	7	9	520330	520395	437308	437650	
89	21963	22028	35	40	206	235	23	26	229	256	1137	1267	523	584	512398	512574	6134	6177	5	6	520336	520401	437326	437669	
90	21958	22023	27	31	156	178	18	20	171	193	875	977	404	452	512754	512899	6205	6243	4	5	520341	520406	437339	437683	
91	21955	22020	20	23	117	133	13	15	131	148	669	748	309	346	513028	513149	6261	6296	3	4	520344	520409	437348	437694	
92	21952	22017	15	18	89	101	10	11	99	113	510	571	235	263	513238	513343	6304	6336	2	3	520347	520412	437356	437703	
93	21950	22015	12	14	67	76	7	9	76	86	389	435	179	201	513397	513490	6336	6367	2	2	520349	520414	437362	437709	
94	21949	22014	9	10	51	58	6	7	58	65	296	332	136	153	513518	513603	6361	6392	1	2	520350	520415	437366	437714	
95	21948	22013	7	8	38	44	4	5	44	50	225	253	104	117	513609	513689	6381	6411	1	1	520351	520416	437369	437717	
96	21947	22012	5	6	29	34	3	4	33	37	172	193	79	89	513678	513755	6395	6425	1	1	520352	520417	437372	437720	
