Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	542363	542363	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
1	542360	542360	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	4	0	0	
2	542357	542357	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	7	0	0	
3	542353	542353	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	11	0	0	
4	542348	542348	15	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	16	16	1	1	
5	542341	542342	18	19	3	3	1	1	0	0	0	0	0	0	0	0	0	0	6	7	22	23	3	3	
6	542333	542335	22	24	5	6	1	2	0	0	0	0	0	0	0	0	0	0	7	8	29	31	5	6	
7	542323	542325	28	29	8	9	2	3	0	0	0	0	0	0	0	0	0	0	9	10	39	41	8	9	
8	542311	542314	34	37	12	13	3	4	0	0	0	0	0	0	0	0	0	0	11	13	50	53	12	13	
9	542296	542299	43	46	16	18	5	6	0	0	0	0	0	0	0	0	0	0	14	16	65	68	16	18	
10	542278	542283	52	56	21	23	7	8	0	0	0	0	0	0	1	1	0	0	16	18	81	86	22	23	
11	542257	542264	61	66	26	28	9	10	0	1	0	0	0	0	3	4	0	0	19	21	100	107	30	31	
12	542234	542242	71	77	32	35	11	12	1	1	0	0	0	0	6	6	0	0	21	23	122	130	38	40	
13	542208	542218	81	87	39	44	13	14	2	2	0	0	0	0	9	10	0	0	24	26	146	156	49	52	
14	542182	542194	89	96	49	54	16	17	3	3	0	0	0	0	13	13	0	0	24	27	170	182	62	66	
15	542155	542169	95	103	58	65	19	21	4	4	0	0	0	0	18	19	0	0	25	27	195	209	76	81	
16	542129	542145	98	105	69	76	22	24	5	6	0	0	0	0	24	25	0	0	23	26	219	235	93	99	
17	542105	542122	95	103	80	89	25	28	6	7	0	1	0	1	32	34	0	0	22	24	242	259	112	119	
18	542083	542101	92	100	90	99	29	31	8	9	1	1	1	1	41	44	0	0	21	23	263	281	131	140	
19	542063	542083	85	92	97	108	31	35	9	11	1	1	1	1	54	57	0	0	18	20	281	301	150	160	
20	542050	542071	73	80	102	113	34	37	12	14	1	2	1	1	67	72	0	0	12	14	293	314	169	180	
21	542042	542064	58	64	105	116	34	38	15	16	2	2	1	1	83	89	0	0	7	8	300	322	186	199	
22	542025	542047	54	59	104	116	35	38	17	19	2	2	1	1	102	109	0	0	16	18	317	339	203	217	
23	542007	542031	52	56	99	110	33	37	20	22	2	3	1	2	123	131	0	0	16	18	333	357	217	233	
24	541993	542018	53	58	90	101	30	34	23	25	3	4	2	2	144	154	0	0	13	15	346	371	229	245	
25	541978	542004	59	64	77	86	26	29	25	28	4	4	2	3	166	178	0	0	13	15	360	386	236	253	
26	541965	541992	55	60	72	80	24	26	26	29	5	5	3	3	188	201	0	0	12	13	372	399	249	267	
27	541953	541981	50	55	67	75	22	25	26	29	5	6	2	3	209	224	0	1	11	12	383	411	262	281	
28	541941	541970	47	52	61	69	20	23	26	29	6	6	3	3	229	246	1	1	10	12	394	423	274	294	
29	541930	541960	44	48	59	66	19	21	25	28	7	8	3	4	247	265	1	1	10	11	404	434	285	305	
30	541920	541950	41	45	58	66	19	21	23	25	8	9	4	4	260	279	1	1	9	11	414	444	295	316	
31	541910	541941	39	44	61	69	20	22	19	22	9	10	4	5	270	290	1	1	9	10	423	454	303	325	
32	541899	541931	38	43	57	64	19	21	18	20	10	11	5	5	287	308	1	1	10	11	433	465	312	335	
33	541890	541922	37	41	53	59	17	19	17	19	10	12	5	6	303	325	1	2	9	10	442	474	321	344	
34	541880	541914	36	40	49	56	16	18	16	18	11	12	5	6	318	341	1	2	8	9	450	484	328	352	
35	541871	541906	35	39	46	53	15	17	15	17	11	13	5	6	332	356	1	2	8	9	458	493	336	360	
36	541863	541898	32	36	44	50	15	17	15	16	11	12	5	6	344	369	2	2	7	8	466	501	343	369	
37	541855	541891	31	34	42	48	15	17	15	17	10	12	5	6	355	381	2	2	7	8	473	509	350	376	
38	541848	541884	30	33	40	47	14	16	14	16	10	12	5	6	366	393	2	3	7	8	480	516	357	384	
39	541840	541877	28	32	38	45	14	16	13	15	10	11	4	5	378	406	3	3	7	8	487	524	363	391	
40	541833	541870	27	31	37	43	13	15	12	14	9	10	4	5	388	417	3	3	6	7	494	531	370	397	
41	541826	541864	27	30	36	42	12	14	12	13	8	10	4	4	399	429	3	4	6	7	500	538	376	404	
42	541819	541857	26	29	35	40	11	13	11	13	8	9	3	4	409	440	3	4	6	7	507	545	382	410	
43	541813	541851	25	28	34	39	10	12	11	13	7	8	3	4	419	450	4	4	6	7	513	551	388	417	
44	541806	541845	25	27	33	38	9	11	10	12	7	8	3	4	428	460	4	5	6	7	519	558	393	423	
45	541801	541840	24	26	32	37	9	10	10	12	6	7	3	3	437	470	4	5	5	6	524	563	399	429	
46	541794	541834	23	26	32	36	8	9	10	11	6	7	3	3	445	478	4	5	6	7	530	570	405	435	
47	541789	541829	22	24	31	36	7	9	9	11	6	8	3	4	452	486	4	5	5	6	535	575	410	440	
48	541783	541824	21	24	30	35	7	8	9	10	6	7	3	4	460	495	4	5	5	6	540	581	415	446	
49	541777	541818	21	24	29	33	7	8	8	10	6	7	3	3	468	503	5	5	5	6	546	587	420	451	
50	541772	541813	20	23	29	33	7	8	8	9	5	6	2	3	475	511	5	6	5	6	551	592	425	456	
51	541767	541808	20	22	27	31	6	8	8	9	5	6	2	3	481	518	5	6	4	5	556	597	429	461	
52	541762	541803	20	22	26	30	6	7	7	9	5	6	2	3	488	525	5	6	5	6	561	602	433	465	
53	541756	541798	20	22	26	30	6	7	7	8	5	6	2	3	495	532	5	6	5	6	566	608	438	470	
54	541751	541793	19	21	25	29	6	7	7	8	5	6	2	3	501	538	6	6	4	5	571	613	443	475	
55	541746	541789	19	21	25	28	6	7	7	8	4	5	2	3	507	545	6	6	4	5	575	618	446	479	
56	541742	541784	18	21	24	27	6	7	7	8	4	5	2	3	513	551	6	7	4	5	580	622	451	484	
57	541737	541780	17	19	24	27	6	7	6	8	4	5	2	2	518	557	6	7	4	5	584	627	455	488	
58	541731	541774	19	21	24	27	6	7	6	7	4	4	1	2	524	563	6	7	6	7	590	633	459	492	
59	541724	541767	21	23	22	26	6	7	6	7	4	4	1	2	529	569	6	7	6	7	597	640	463	496	
60	541718	541762	21	24	22	25	5	7	6	7	4	4	1	2	534	574	6	7	5	6	602	646	466	500	
61	541712	541756	23	26	21	25	5	7	6	7	3	4	1	2	539	580	6	7	6	7	608	652	470	504	
62	541706	541750	23	25	22	26	6	7	6	7	3	4	1	2	545	585	7	7	6	7	614	658	475	509	
63	541699	541743	24	26	23	26	6	7	6	7	3	4	1	2	550	591	7	8	7	8	621	665	480	515	
64	541692	541737	24	27	24	27	6	7	6	7	3	4	1	2	555	596	7	8	6	7	627	672	485	519	
65	541685	541730	25	28	25	28	6	7	5	6	3	4	1	2	559	601	7	8	6	7	634	679	490	524	
66	541678	541723	26	29	26	30	6	8	5	6	3	4	1	2	564	606	7	8	6	7	641	686	495	530	
67	541671	541716	26	29	29	33	6	7	5	6	3	4	1	2	568	610	7	8	7	8	648	693	501	536	
68	541664	541709	26	29	29	33	6	7	5	6	3	4	1	2	574	616	7	8	7	8	655	700	507	543	
69	541656	541702	27	30	31	35	5	6	5	6	3	3	1	2	580	623	7	8	7	8	662	708	513	549	
70	541648	541694	28	32	32	37	4	5	6	7	3	3	1	2	586	628	7	8	7	9	670	716	519	556	
71	541637	541684	31	35	34	38	4	5	6	7	3	3	1	2	592	634	7	8	9	11	680	727	526	562	
72	541627	541674	34	38	35	40	4	5	6	7	3	3	1	2	597	640	7	8	9	11	690	737	532	569	
73	541616	541663	37	41	36	40	4	5	6	7	2	3	1	2	604	647	8	8	10	12	701	748	539	576	
74	541605	541653	40	44	37	41	4	5	6	7	3	3	1	2	610	654	8	8	10	12	711	759	546	583	
75	541592	541641	42	46	39	44	5	6	6	8	3	3	1	2	616	660	8	9	11	13	723	772	555	593	
76	541580	541629	44	48	42	48	5	6	6	8	2	3	1	2	623	667	8	9	11	13	735	784	564	602	
77	541567	541617	45	50	46	51	5	6	7	8	2	3	1	2	630	674	8	9	12	13	747	797	574	613	
78	541553	541603	48	53	49	55	5	6	7	8	2	3	1	2	637	681	8	9	13	15	761	811	584	623	
79	541538	541589	51	56	52	59	6	7	7	8	3	3	1	2	644	689	8	9	13	16	775	826	594	634	
80	541522	541574	54	60	56	63	6	7	7	8	3	3	1	2	651	697	8	9	14	16	790	842	605	645	
81	541506	541558	57	63	58	65	7	8	8	9	3	3	1	2	660	706	8	9	15	17	806	858	616	657	
82	541487	541541	61	67	61	68	7	8	9	10	3	3	1	2	669	716	8	9	17	19	823	877	628	670	
83	541469	541523	64	71	64	72	8	9	9	11	3	4	1	2	679	726	8	9	17	19	841	895	641	683	
84	541450	541505	67	74	68	76	8	10	10	11	3	4	1	2	689	736	8	9	18	20	859	914	654	697	
85	541429	541486	71	78	72	80	8	10	11	13	3	4	1	2	699	747	8	9	19	21	878	935	669	712	
86	541408	541465	74	82	77	86	9	10	11	13	3	4	1	2	711	759	8	9	20	22	899	956	685	729	
87	541385	541444	77	86	81	91	9	11	12	14	3	4	1	2	722	771	8	9	21	24	920	979	701	746	
88	541361	541421	82	90	85	95	10	11	13	15	4	4	1	2	735	784	8	9	22	24	943	1003	717	763	
89	541336	541398	85	95	90	101	10	11	13	15	4	5	1	2	748	798	9	10	22	26	966	1028	735	782	
90	541310	541374	90	99	95	106	10	12	14	17	4	5	2	2	762	812	9	10	24	27	990	1054	754	802	
91	541282	541347	95	105	100	112	11	12	15	17	4	5	2	2	777	828	9	10	26	29	1017	1082	773	823	
92	541252	541319	100	111	104	117	11	13	16	18	5	6	2	2	792	844	9	10	27	31	1045	1112	794	844	
93	541222	541291	105	116	110	123	12	14	17	19	5	6	2	3	809	861	9	10	28	31	1073	1142	815	867	
94	541190	541261	110	122	115	129	12	14	18	20	5	6	2	3	825	879	9	10	29	33	1103	1174	837	891	
95	541156	541230	116	128	121	135	13	15	19	21	6	7	2	3	843	898	9	10	31	34	1134	1208	861	917	
96	541121	541197	120	133	128	143	14	16	20	23	6	7	2	3	862	918	9	10	32	36	1167	1243	887	944	
97	541083	541162	127	141	134	150	15	17	22	24	6	8	3	3	882	938	9	10	34	38	1202	1281	912	972	
98	541044	541126	134	148	141	158	16	18	22	25	7	8	3	4	903	961	9	10	36	40	1238	1320	940	1001	
99	541003	541088	140	155	148	165	17	19	23	26	7	9	3	4	924	984	9	11	37	42	1276	1361	968	1032	
100	540960	541048	147	163	156	174	17	19	24	27	7	9	3	4	948	1009	10	11	39	44	1316	1404	998	1064	
101	540915	541007	153	170	164	183	17	20	26	29	8	9	4	5	972	1034	10	11	40	45	1357	1449	1031	1099	
102	540867	540963	161	179	171	192	18	20	27	30	9	10	4	5	998	1062	10	11	43	48	1401	1497	1064	1135	
103	540817	540917	169	188	180	202	19	22	28	32	9	11	4	5	1024	1090	10	11	45	51	1447	1547	1099	1173	
104	540765	540869	177	197	189	212	20	23	30	34	9	11	4	5	1052	1120	10	11	47	53	1495	1599	1135	1212	
105	540710	540819	186	207	197	221	21	25	31	35	10	11	5	5	1081	1151	10	12	49	55	1545	1654	1172	1253	
106	540653	540767	195	216	207	233	23	26	34	37	10	12	5	6	1111	1183	11	12	52	58	1597	1711	1213	1297	
107	540593	540712	203	226	217	243	24	27	35	39	11	13	5	6	1144	1219	11	12	54	60	1652	1771	1254	1342	
108	540529	540654	214	237	227	256	25	29	36	40	11	13	5	6	1178	1256	11	12	58	65	1710	1835	1298	1391	
109	540464	540594	224	248	237	267	27	30	37	42	12	14	6	7	1214	1294	11	12	59	66	1770	1900	1343	1440	
110	540394	540531	234	260	249	280	28	32	39	44	13	15	6	7	1251	1335	12	13	63	70	1833	1970	1391	1493	
111	540321	540464	247	274	261	294	29	33	41	46	14	16	6	7	1289	1376	12	13	66	75	1900	2043	1442	1547	
112	540244	540394	258	287	274	308	31	35	43	48	14	16	6	7	1330	1421	12	13	69	77	1970	2120	1495	1605	
113	540165	540322	270	300	286	322	33	36	45	51	15	17	7	8	1373	1467	12	14	71	79	2042	2199	1549	1665	
114	540082	540246	283	314	299	336	35	39	49	55	15	18	7	8	1417	1515	12	14	75	84	2118	2282	1607	1729	
