Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542353	11	0	0	0	0	0	0	0	4	11	0	
4	542348	15	1	0	0	0	0	0	0	5	16	1	
5	542342	18	3	1	0	0	0	0	0	6	22	3	
6	542334	23	5	2	0	0	0	0	0	8	30	5	
7	542324	29	9	3	0	0	0	0	0	10	40	9	
8	542312	36	12	4	0	0	0	0	0	12	52	12	
9	542297	45	17	5	0	0	0	0	0	16	67	17	
10	542277	57	22	7	0	0	0	1	0	20	87	23	
11	542253	71	27	9	1	0	0	3	0	24	111	30	
12	542223	90	33	11	1	0	0	6	0	31	142	39	
13	542185	112	42	14	2	0	0	9	0	38	179	51	
14	542141	136	54	17	3	0	0	13	0	44	223	67	
15	542085	168	67	22	4	0	0	18	0	56	279	85	
16	542018	205	85	27	5	0	0	25	0	67	346	108	
17	541936	249	106	34	7	1	1	33	0	82	428	137	
18	541834	306	130	42	8	1	1	42	0	101	530	170	
19	541709	376	160	52	10	1	1	56	0	125	655	213	
20	541559	459	195	64	13	1	1	72	0	150	805	264	
21	541373	563	239	78	17	2	1	92	0	186	991	327	
22	541145	689	292	97	21	2	1	118	0	227	1219	404	
23	540869	840	357	119	26	3	2	150	0	276	1495	501	
24	540530	1029	436	146	32	3	2	188	0	339	1834	615	
25	540116	1257	533	179	40	4	2	235	0	414	2248	756	
26	539612	1533	653	219	49	5	3	292	0	503	2752	930	
27	538997	1872	797	269	60	6	3	362	1	615	3367	1140	
28	538243	2287	974	330	74	7	3	448	1	754	4121	1397	
29	537327	2789	1190	403	90	9	4	555	1	917	5037	1712	
30	536206	3407	1456	491	110	11	5	683	1	1121	6158	2097	
31	534846	4151	1779	596	135	13	6	842	1	1360	7518	2568	
32	533181	5062	2174	729	166	17	8	1035	1	1665	9183	3143	
33	531161	6165	2656	887	203	21	10	1270	1	2019	11203	3845	
34	528700	7506	3243	1081	248	26	12	1559	2	2461	13664	4701	
35	525726	9120	3951	1319	303	32	15	1912	2	2974	16638	5738	
36	522120	11061	4825	1606	371	39	18	2340	2	3606	20244	7015	
37	517749	13413	5878	1958	452	48	22	2864	2	4371	24615	8559	
38	512490	16211	7158	2385	552	59	27	3508	3	5259	29874	10440	
39	506170	19556	8699	2902	674	71	33	4289	3	6320	36194	12712	
40	498628	23492	10565	3521	821	87	40	5246	4	7542	43736	15471	
41	489632	28117	12825	4272	1002	107	50	6405	4	8996	52732	18815	
42	478954	33536	15778	4913	1221	130	61	7827	5	10678	63410	23097	
43	466433	39736	19318	5674	1487	157	74	9553	6	12521	75931	28247	
44	451837	46791	23507	6565	1812	191	89	11654	8	14597	90527	34399	
45	434953	54679	28472	7622	2202	233	109	14195	9	16884	107411	41734	
46	415690	63264	34310	8856	2677	284	132	17273	11	19263	126674	50447	
47	393977	72456	41050	10265	3244	348	162	21010	13	21713	148387	60673	
48	369843	81994	48524	12129	3921	425	197	25512	16	24135	172522	72550	
49	343577	91376	56981	14235	4738	517	240	30920	20	26265	198787	86305	
50	315462	100228	66368	16570	5697	630	290	37385	24	28115	226902	102012	
51	286063	107914	76541	19114	6833	768	353	45102	29	29399	256301	119720	
52	256002	113841	87309	21802	8169	935	430	54271	35	30061	286362	139432	
53	226107	117471	98295	24561	9720	1136	522	65032	43	29895	316257	160910	
54	197107	118354	109111	27264	11501	1378	634	77596	52	28999	345257	183961	
55	169766	116296	119100	29791	13502	1667	766	92178	64	27341	372598	208102	
56	144769	111233	127728	31960	15732	2009	924	108855	77	24998	397595	232886	
57	122479	103628	134276	33594	18151	2411	1108	127730	95	22289	419885	257628	
58	103099	94009	138170	34565	20709	2891	1331	148806	115	19381	439265	281750	
59	86698	83069	139032	34779	23311	3454	1590	171881	140	16401	455666	304623	
60	73077	71691	136534	34159	25859	4107	1890	196767	169	13621	469287	325689	
61	61972	60508	130862	32722	28230	4840	2227	223024	207	11106	480392	344629	
62	53054	50045	122307	30596	30266	5674	2608	250170	253	8918	489310	361247	
63	46010	40688	111514	27895	31823	6597	3033	277529	307	7044	496354	375496	
64	40458	32619	99205	24825	32753	7605	3497	304526	373	5552	501906	387488	
65	36149	25822	86224	21571	32952	8668	3986	330527	451	4309	506215	397407	
66	32809	20245	73367	18348	32366	9760	4489	354925	545	3341	509555	405497	
67	30230	15780	61879	14590	31020	10850	4991	377360	655	2579	512134	412681	
68	28264	12194	51379	11261	29000	11883	5462	397594	788	1966	514100	418417	
69	26760	9389	42134	8415	26431	12809	5886	415481	945	1503	515604	422917	
70	25616	7193	34242	6026	23501	13576	6240	431081	1129	1144	516748	426447	
71	24742	5488	27680	4062	20431	14138	6499	444487	1337	874	517622	429197	
72	24072	4192	22312	2478	17378	14438	6637	455918	1576	670	518292	431305	
73	23569	3191	17325	1925	14489	14469	6652	465551	1845	502	518795	432791	
74	23185	2431	13360	1482	11871	14213	6532	473676	2146	385	519179	433926	
75	22894	1848	10271	1137	9588	13690	6293	480466	2472	291	519470	434796	
76	22670	1401	7868	869	7641	12921	5936	486174	2821	224	519694	435461	
77	22503	1066	5998	663	6016	11947	5486	490985	3187	167	519861	435962	
78	22375	809	4573	506	4706	10817	4969	495017	3561	128	519989	436346	
79	22278	616	3480	386	3655	9595	4408	498425	3930	97	520086	436636	
80	22205	465	2651	294	2816	8340	3830	501300	4292	73	520159	436860	
81	22149	355	2014	224	2160	7117	3268	503717	4627	57	520215	437028	
82	22107	268	1527	169	1653	5969	2742	505735	4936	42	520257	437156	
83	22075	203	1162	129	1262	4918	2258	507405	5209	32	520289	437253	
84	22052	154	882	97	965	3990	1834	508775	5450	24	520312	437327	
85	22033	115	672	74	733	3193	1466	509890	5653	18	520331	437383	
86	22020	87	507	56	558	2529	1163	510787	5820	14	520344	437424	
87	22009	66	385	43	422	1984	914	511496	5959	10	520355	437456	
88	22001	50	291	32	319	1548	714	512052	6069	8	520363	437479	
89	21995	38	220	25	242	1202	554	512486	6155	6	520369	437497	
90	21991	29	167	19	182	926	428	512826	6224	5	520373	437511	
91	21988	22	125	14	140	709	327	513088	6279	3	520376	437521	
92	21985	16	95	11	106	540	249	513290	6320	3	520379	437529	
93	21983	13	72	8	81	412	190	513444	6352	2	520381	437535	
94	21981	9	55	6	62	314	145	513560	6376	1	520383	437540	
95	21980	7	41	5	47	239	110	513649	6396	1	520384	437543	
96	21979	6	31	3	35	183	84	513717	6410	1	520385	437546	
97	21978	5	24	3	27	138	63	513770	6421	1	520386	437548	
98	21978	4	18	2	20	104	48	513809	6429	0	520386	437549	
99	21977	3	14	1	15	79	37	513839	6436	0	520387	437551	
100	21977	2	10	1	12	60	27	513862	6440	0	520387	437551	
101	21977	2	8	1	9	45	21	513879	6444	0	520387	437552	
102	21977	1	6	1	7	34	16	513891	6447	0	520387	437553	
103	21976	1	5	1	5	26	12	513901	6449	0	520388	437553	
104	21976	1	4	0	4	20	9	513909	6450	0	520388	437554	
105	21976	1	3	0	3	15	7	513915	6451	0	520388	437554	
106	21976	1	2	0	2	11	5	513919	6452	0	520388	437554	
107	21976	0	2	0	2	8	4	513922	6453	0	520388	437554	
108	21976	0	1	0	1	6	3	513925	6453	0	520388	437554	
109	21976	0	1	0	1	5	2	513927	6454	0	520388	437554	
110	21976	0	1	0	1	3	2	513929	6454	0	520388	437555	
111	21976	0	1	0	1	3	1	513930	6454	0	520388	437555	
112	21975	0	1	0	0	2	1	513930	6455	0	520389	437555	
113	21975	0	1	0	0	2	1	513931	6455	0	520389	437555	
114	21975	0	1	0	0	1	1	513932	6455	0	520389	437555	
115	21975	0	1	0	0	1	0	513932	6455	0	520389	437555	
116	21975	0	0	0	0	1	0	513932	6455	0	520389	437555	
117	21975	0	0	0	0	1	0	513932	6455	0	520389	437555	
118	21975	0	0	0	0	1	0	513933	6455	0	520389	437555	
119	21975	0	0	0	0	0	0	513933	6455	0	520389	437555	
120	21975	0	0	0	0	0	0	513933	6455	0	520389	437555	
121	21975	0	0	0	0	0	0	513933	6455	0	520389	437555	
122	21975	0	0	0	0	0	0	513933	6455	0	520389	437555	
123	21975	0	0	0	0	0	0	513933	6455	0	520389	437555	
124	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
125	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
126	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
127	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
128	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
129	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
130	21975	0	0	0	0	0	0	513934	6455	0	520389	437556	
131	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
132	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
133	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
134	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
135	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
136	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
137	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
138	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
139	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
140	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
141	21974	0	0	0	0	0	0	513934	6455	0	520390	437556	
142	21974	0	0	0	0	0	0	513935	6455	0	520390	437556	
143	21974	0	0	0	0	0	0	513935	6455	0	520390	437556	
