Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	1.57623e+006	1.57623e+006	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	
1	1.57623e+006	1.57623e+006	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	9	9	0	0	
2	1.57622e+006	1.57622e+006	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	15	15	0	0	
3	1.57621e+006	1.57621e+006	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	25	26	0	0	
4	1.5762e+006	1.5762e+006	30	32	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8	10	33	35	3	3	
5	1.57619e+006	1.57619e+006	36	38	7	8	1	2	0	0	0	0	0	0	0	0	0	0	11	13	45	47	7	8	
6	1.57617e+006	1.57618e+006	44	47	11	12	3	4	0	0	0	0	0	0	0	0	0	0	13	15	59	62	11	12	
7	1.57616e+006	1.57616e+006	51	55	19	20	5	6	0	0	0	0	0	0	0	0	0	0	16	19	76	80	19	20	
8	1.57613e+006	1.57614e+006	62	67	25	28	7	9	0	0	0	0	0	0	0	0	0	0	19	22	96	102	25	27	
9	1.57611e+006	1.57612e+006	74	81	34	37	10	12	0	0	0	0	0	0	0	0	0	0	23	26	120	127	34	37	
10	1.57608e+006	1.57609e+006	88	96	41	45	13	15	0	0	0	0	0	0	3	3	0	0	27	30	147	157	45	48	
11	1.57604e+006	1.57605e+006	105	115	50	54	16	18	1	1	0	0	0	0	8	8	0	0	34	38	182	195	58	62	
