Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	24	0	0	0	0	0	0	0	9	24	0	
4	1.57621e+006	28	3	0	0	0	0	0	0	7	31	3	
5	1.5762e+006	30	7	2	0	0	0	0	0	8	39	7	
6	1.57619e+006	33	12	3	0	0	0	0	0	9	48	12	
7	1.57618e+006	34	19	5	0	0	0	0	0	10	58	19	
8	1.57617e+006	36	24	7	0	0	0	0	0	10	68	24	
9	1.57616e+006	40	30	9	0	0	0	0	0	11	79	30	
10	1.57615e+006	44	34	11	0	0	0	3	0	13	91	37	
11	1.57613e+006	47	37	12	1	0	0	8	0	13	104	45	
12	1.57612e+006	50	40	13	2	0	0	13	0	13	117	53	
13	1.5761e+006	53	41	13	4	0	0	21	0	14	132	61	
14	1.57609e+006	55	45	15	5	0	0	26	0	14	146	70	
15	1.57608e+006	56	49	16	7	0	0	32	0	14	160	80	
16	1.57606e+006	58	52	18	9	0	0	39	0	15	175	90	
17	1.57605e+006	59	55	19	10	1	1	47	0	16	191	101	
18	1.57603e+006	61	58	20	10	2	2	56	0	17	208	111	
19	1.57601e+006	64	61	20	11	3	3	65	0	17	225	123	
20	1.57599e+006	67	63	21	12	3	3	76	0	18	242	135	
21	1.57598e+006	69	65	21	13	4	3	88	0	17	260	147	
22	1.57596e+006	71	69	22	14	5	4	99	0	19	279	161	
23	1.57594e+006	72	71	22	15	5	4	111	0	18	297	174	
24	1.57592e+006	74	74	23	16	6	4	124	0	19	316	189	
25	1.5759e+006	76	76	23	17	7	4	137	0	20	336	203	
26	1.57588e+006	78	79	24	17	7	5	151	0	21	356	218	
27	1.57586e+006	81	81	25	18	7	4	165	1	21	378	232	
28	1.57584e+006	82	82	26	18	7	4	181	2	20	398	247	
29	1.57582e+006	84	84	27	19	7	4	197	2	22	419	262	
30	1.57579e+006	86	86	28	20	7	4	213	3	23	442	279	
31	1.57578e+006	82	89	29	21	8	4	228	3	18	460	296	
32	1.57576e+006	83	90	29	21	7	4	246	3	21	481	312	
33	1.57574e+006	82	93	29	22	8	4	263	4	20	501	330	
34	1.57571e+006	80	97	30	22	8	4	282	4	20	522	348	
35	1.57569e+006	83	96	29	23	9	4	300	4	21	542	363	
36	1.57567e+006	82	95	29	23	9	5	320	4	20	563	379	
37	1.57565e+006	82	94	29	24	9	5	340	4	21	583	395	
38	1.57563e+006	81	94	30	25	10	5	359	5	20	603	411	
39	1.57561e+006	81	93	30	25	10	5	379	5	20	623	428	
40	1.57559e+006	80	90	31	26	10	5	400	5	20	643	444	
41	1.57557e+006	80	92	32	26	11	5	418	5	21	664	461	
42	1.57555e+006	80	91	31	26	11	5	438	6	19	683	477	
43	1.57553e+006	79	92	30	26	12	6	458	6	20	703	495	
44	1.57551e+006	79	93	29	26	12	6	478	6	20	722	512	
45	1.57549e+006	78	94	27	26	12	6	498	6	20	742	530	
46	1.57548e+006	78	94	26	25	12	6	519	7	19	761	547	
47	1.57546e+006	77	95	24	26	12	6	539	7	19	780	564	
48	1.57544e+006	79	96	23	25	12	6	558	7	22	801	581	
49	1.57542e+006	79	95	23	25	12	6	579	8	20	821	598	
50	1.5754e+006	79	94	23	25	13	6	598	8	19	840	613	
51	1.57538e+006	79	93	23	24	12	6	618	9	19	859	629	
52	1.57536e+006	77	95	23	24	13	6	638	9	19	878	647	
53	1.57534e+006	77	95	23	24	13	6	657	9	19	898	664	
54	1.57532e+006	78	94	24	24	12	6	677	10	20	918	679	
55	1.5753e+006	79	94	23	24	13	6	695	10	20	938	696	
56	1.57528e+006	79	94	23	23	13	6	714	11	19	957	712	
57	1.57526e+006	79	95	23	23	12	6	733	11	19	976	728	
58	1.57524e+006	77	93	23	24	13	6	754	11	19	995	745	
59	1.57522e+006	77	94	24	23	12	6	774	11	20	1015	763	
60	1.5752e+006	77	94	23	23	12	6	793	12	19	1034	779	
61	1.57518e+006	77	94	23	24	12	5	811	12	19	1053	795	
62	1.57516e+006	77	94	23	24	12	5	830	12	19	1072	811	
63	1.57514e+006	77	94	23	24	12	6	850	12	20	1092	827	
64	1.57513e+006	76	94	23	24	12	5	869	13	18	1110	844	
65	1.57511e+006	77	92	22	24	12	5	889	13	19	1130	860	
66	1.57509e+006	76	92	23	24	12	5	908	14	19	1149	876	
67	1.57507e+006	76	95	21	23	12	5	927	14	19	1168	894	
68	1.57505e+006	77	97	18	23	12	5	946	14	19	1187	911	
69	1.57503e+006	78	99	16	24	12	5	965	15	20	1207	931	
70	1.57501e+006	77	100	15	23	12	5	984	15	18	1226	948	
71	1.57499e+006	78	102	13	23	12	5	1003	15	20	1246	966	
72	1.57497e+006	78	104	11	23	12	5	1022	15	19	1265	984	
73	1.57495e+006	76	104	11	23	11	5	1041	16	19	1284	1002	
74	1.57493e+006	76	104	12	23	11	5	1059	16	18	1302	1019	
75	1.57492e+006	75	104	12	23	12	5	1079	17	19	1321	1037	
76	1.5749e+006	74	104	13	23	12	5	1097	17	18	1339	1054	
77	1.57488e+006	74	103	13	24	11	5	1116	17	18	1358	1071	
78	1.57486e+006	75	102	12	23	12	5	1135	18	19	1377	1088	
79	1.57484e+006	76	101	12	23	12	5	1154	18	20	1397	1105	
80	1.57482e+006	77	102	12	23	12	6	1173	18	19	1416	1122	
81	1.5748e+006	76	100	12	24	12	5	1192	18	18	1434	1139	
