Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	29	0	0	0	0	0	0	0	14	29	0	
4	1.57619e+006	43	3	0	0	0	0	0	0	17	46	3	
5	1.57617e+006	60	7	2	0	0	0	0	0	23	69	7	
6	1.57613e+006	88	12	3	0	0	0	0	0	34	103	12	
7	1.57609e+006	121	23	6	0	0	0	0	0	47	151	23	
8	1.57602e+006	174	35	11	0	0	0	0	0	69	220	35	
9	1.57592e+006	249	53	16	0	0	0	0	0	98	318	53	
10	1.57578e+006	354	75	25	0	0	0	3	0	140	458	78	
11	1.57559e+006	496	106	36	1	0	0	8	0	189	647	114	
12	1.57532e+006	696	155	50	2	0	0	13	0	269	916	168	
13	1.57494e+006	980	218	71	5	0	0	24	0	381	1297	242	
14	1.5744e+006	1375	312	100	8	0	0	38	0	535	1832	348	
15	1.57366e+006	1934	437	141	12	0	0	57	0	749	2581	491	
16	1.57261e+006	2712	613	200	19	0	0	84	0	1048	3629	694	
17	1.57115e+006	3793	864	283	28	1	1	122	0	1462	5091	983	
18	1.56908e+006	5325	1210	402	41	2	2	177	0	2066	7157	1386	
19	1.5662e+006	7453	1695	568	58	3	3	256	0	2877	10033	1949	
20	1.56216e+006	10448	2371	800	83	4	3	370	0	4043	14077	2738	
21	1.55651e+006	14637	3322	1122	117	6	4	523	0	5652	19728	3842	
22	1.54861e+006	20465	4668	1572	167	8	5	742	0	7894	27622	5404	
23	1.53761e+006	28589	6541	2195	234	11	7	1053	0	11001	38623	7580	
24	1.5224e+006	39755	9173	3072	326	15	9	1491	0	15209	53832	10636	
25	1.50129e+006	55222	12847	4301	459	21	11	2101	0	21118	74950	14905	
26	1.47234e+006	76274	17980	6014	640	29	15	2960	0	28946	103896	20872	
27	1.43303e+006	104588	25151	8380	893	40	20	4157	1	39314	143210	29210	
28	1.38017e+006	142232	35020	11655	1251	55	25	5849	2	52853	196064	40729	
29	1.31034e+006	190949	48678	16239	1750	78	36	8203	3	69835	265899	56692	
30	1.22015e+006	252190	67361	22458	2451	110	50	11513	3	90187	356086	78606	
31	1.10733e+006	325698	92621	30861	3432	155	72	16138	4	112823	468909	108384	
32	971926	408246	126333	42108	4801	217	101	22600	5	135401	604310	148406	
33	817493	492844	170450	56826	6700	301	140	31617	5	154433	758743	201333	
34	652586	567564	226654	75599	9329	423	199	44074	6	164907	923650	269710	
35	489861	617466	295473	98485	12974	586	274	61382	8	162726	1.08638e+006	355396	
36	343427	628499	375331	125083	17943	816	379	85126	11	146434	1.23281e+006	458411	
37	224422	593071	461626	153906	24666	1146	532	117384	14	119005	1.35181e+006	576158	
38	137188	515398	545683	181903	33643	1611	746	160793	18	87234	1.43905e+006	702470	
39	79359	410502	615300	205176	45411	2242	1036	218222	24	57829	1.49688e+006	827954	
40	44296	299130	657492	219231	60361	3127	1442	292564	32	35062	1.53194e+006	942273	
41	24502	199920	662090	220815	78691	4358	2006	385815	45	19794	1.55173e+006	1.03714e+006	
42	13846	123342	630320	204418	99980	6026	2773	498242	62	10656	1.56239e+006	1.11373e+006	
43	8198	71161	560821	177314	123020	8303	3821	627335	85	5648	1.56804e+006	1.16774e+006	
44	5218	39078	465187	143103	145414	11346	5217	766770	119	2980	1.57102e+006	1.20397e+006	
45	3616	20886	359032	106327	163999	15364	7062	906848	164	1602	1.57262e+006	1.22793e+006	
46	2749	11097	257745	71836	175258	20530	9434	1.0368e+006	226	867	1.57349e+006	1.24375e+006	
47	2267	5931	173035	43188	176531	26965	12395	1.148e+006	315	482	1.57397e+006	1.25426e+006	
48	2000	3218	105619	26351	166893	34611	15918	1.2371e+006	445	268	1.57424e+006	1.26014e+006	
49	1858	1758	60615	15127	147573	43258	19888	1.30543e+006	615	142	1.57438e+006	1.26375e+006	
50	1781	968	33261	8286	121626	52242	24024	1.35721e+006	857	77	1.57446e+006	1.26586e+006	
51	1739	528	17801	4433	93039	60734	27918	1.39677e+006	1191	42	1.5745e+006	1.26705e+006	
52	1718	282	9490	2356	65926	67806	31162	1.42701e+006	1645	22	1.57452e+006	1.26769e+006	
53	1707	151	5081	1260	43241	72618	33375	1.44991e+006	2267	11	1.57453e+006	1.26803e+006	
54	1701	80	2755	682	26408	74698	34337	1.46682e+006	3097	6	1.57454e+006	1.26821e+006	
55	1698	41	1502	374	15156	73979	34002	1.47928e+006	4204	3	1.57454e+006	1.26831e+006	
56	1697	21	826	206	8328	70687	32495	1.48884e+006	5629	2	1.57454e+006	1.26836e+006	
57	1696	11	448	112	4469	65092	29918	1.497e+006	7406	1	1.57454e+006	1.26839e+006	
58	1695	6	238	61	2383	57617	26475	1.50469e+006	9545	0	1.57454e+006	1.2684e+006	
59	1695	3	126	33	1274	48652	22357	1.51247e+006	11986	0	1.57454e+006	1.26841e+006	
60	1695	2	67	17	693	38931	17884	1.52024e+006	14587	0	1.57454e+006	1.26842e+006	
61	1695	1	35	9	377	29258	13449	1.52771e+006	17156	0	1.57454e+006	1.26842e+006	
62	1695	1	18	4	207	20509	9431	1.53435e+006	19455	0	1.57454e+006	1.26842e+006	
63	1695	0	10	2	112	13363	6143	1.53972e+006	21334	0	1.57454e+006	1.26842e+006	
64	1695	0	5	1	59	8131	3734	1.54363e+006	22714	0	1.57454e+006	1.26842e+006	
