Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39822e+006	8.39822e+006	512	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	178	512	514	0	0	
4	8.39805e+006	8.39805e+006	669	674	16	16	0	0	0	0	0	0	0	0	0	0	0	0	172	177	685	690	16	16	
5	8.39785e+006	8.39786e+006	697	709	131	140	36	45	0	0	0	0	0	0	0	0	0	0	186	196	873	885	131	140	
6	8.39764e+006	8.39766e+006	741	756	251	262	74	85	0	0	0	0	0	0	0	0	0	0	201	211	1077	1092	251	262	
7	8.39742e+006	8.39744e+006	782	801	382	397	116	131	0	0	0	0	0	0	0	0	0	0	214	225	1295	1314	382	397	
8	8.39719e+006	8.39721e+006	841	862	510	527	161	177	0	0	0	0	0	0	0	0	0	0	228	242	1528	1550	510	528	
9	8.39693e+006	8.39696e+006	900	927	653	675	206	224	0	0	0	0	0	0	0	0	0	0	245	261	1776	1808	654	674	
10	8.39667e+006	8.3967e+006	953	984	790	814	257	277	0	0	0	0	0	0	16	16	0	0	253	269	2034	2071	807	829	
11	8.39638e+006	8.39642e+006	1015	1050	837	865	267	288	27	35	0	0	0	0	141	149	0	0	276	293	2315	2359	980	1006	
12	8.39607e+006	8.39613e+006	1079	1118	898	928	281	300	56	67	0	0	0	0	269	280	0	0	292	310	2611	2665	1163	1190	
13	8.39577e+006	8.39583e+006	1125	1166	945	984	302	326	88	101	0	0	0	0	412	425	0	0	291	309	2908	2967	1349	1382	
14	8.39546e+006	8.39553e+006	1169	1213	1013	1058	316	343	119	135	0	0	0	0	552	569	0	0	296	316	3211	3277	1554	1592	
15	8.39513e+006	8.3952e+006	1214	1257	1084	1133	336	363	155	173	0	0	0	0	705	725	0	0	318	339	3536	3609	1781	1826	
16	8.39479e+006	8.39487e+006	1244	1287	1155	1209	358	384	198	216	0	0	0	0	867	888	0	0	321	341	3863	3944	2012	2062	
17	8.39445e+006	8.39454e+006	1284	1332	1210	1268	380	409	210	231	15	19	14	17	1054	1079	0	0	332	353	4201	4290	2246	2302	
18	8.39409e+006	8.39419e+006	1326	1376	1254	1317	403	435	227	247	25	30	19	22	1262	1288	0	0	337	361	4546	4644	2480	2541	
19	8.39372e+006	8.39383e+006	1366	1416	1314	1379	418	450	241	261	33	40	23	27	1489	1521	0	0	357	380	4910	5017	2736	2802	
20	8.39347e+006	8.39359e+006	1275	1327	1359	1425	442	474	264	285	42	49	26	31	1714	1752	0	0	229	253	5146	5263	2989	3061	
21	8.39323e+006	8.39335e+006	1172	1227	1398	1467	459	493	282	304	53	62	32	38	1963	2009	0	0	229	253	5382	5508	3259	3336	
22	8.39298e+006	8.39311e+006	1066	1122	1426	1498	477	514	297	322	64	75	38	45	2230	2286	0	0	231	256	5622	5756	3537	3620	
23	8.39274e+006	8.39288e+006	937	991	1475	1550	495	532	313	340	78	90	44	51	2496	2558	0	0	228	248	5858	5997	3833	3919	
24	8.3925e+006	8.39264e+006	936	990	1429	1506	476	510	326	355	90	103	49	57	2773	2842	0	0	228	252	6094	6241	4033	4126	
25	8.39226e+006	8.39241e+006	928	984	1364	1442	453	486	338	369	105	118	55	65	3071	3144	0	0	223	245	6322	6480	4221	4322	
26	8.39203e+006	8.3922e+006	910	963	1302	1380	428	460	347	378	121	136	63	74	3370	3453	0	0	212	236	6540	6710	4418	4525	
27	8.39179e+006	8.39197e+006	902	959	1226	1304	400	432	356	387	119	135	54	66	3687	3779	13	16	220	245	6767	6949	4616	4725	
28	8.39157e+006	8.39176e+006	874	932	1150	1228	369	398	361	395	124	141	57	70	4018	4115	17	20	201	224	6974	7166	4813	4930	
29	8.39136e+006	8.39155e+006	851	907	1043	1124	339	369	372	404	135	152	61	74	4360	4463	19	22	199	220	7182	7378	4997	5123	
30	8.39116e+006	8.39136e+006	822	879	1030	1111	335	365	361	392	140	158	63	76	4600	4713	20	24	184	208	7372	7580	5176	5311	
31	8.39096e+006	8.39118e+006	782	838	1025	1109	329	363	349	378	144	163	64	78	4842	4964	23	27	180	204	7560	7776	5357	5505	
32	8.39077e+006	8.39099e+006	756	811	1002	1084	321	356	328	356	152	171	68	81	5094	5222	25	31	175	197	7742	7965	5525	5678	
33	8.39058e+006	8.39081e+006	731	787	980	1062	316	348	314	341	155	176	70	84	5336	5468	29	35	175	196	7924	8155	5694	5852	
34	8.3904e+006	8.39064e+006	712	770	947	1031	305	335	298	324	163	184	74	88	5579	5718	31	37	166	189	8096	8338	5847	6013	
35	8.39022e+006	8.39047e+006	696	749	923	1007	287	317	271	296	168	190	76	89	5826	5974	36	42	163	184	8266	8515	6003	6175	
36	8.39005e+006	8.3903e+006	681	735	890	973	283	311	267	293	166	185	74	88	6047	6205	40	47	161	182	8434	8689	6147	6322	
37	8.38987e+006	8.39014e+006	665	717	849	932	277	305	268	295	164	184	74	87	6270	6439	44	52	160	177	8598	8862	6290	6469	
38	8.38971e+006	8.38998e+006	650	698	818	901	272	302	267	293	163	182	72	86	6477	6656	48	56	152	170	8756	9026	6425	6613	
39	8.38954e+006	8.38982e+006	640	691	789	872	266	294	261	287	158	178	69	83	6690	6874	52	61	154	175	8916	9195	6561	6755	
40	8.38939e+006	8.38968e+006	616	668	771	852	261	288	245	271	157	177	69	84	6892	7090	55	64	139	157	9059	9348	6696	6895	
41	8.38923e+006	8.38953e+006	602	652	750	827	260	287	236	263	154	174	68	82	7088	7292	60	69	144	163	9210	9504	6824	7029	
42	8.38909e+006	8.38939e+006	585	635	742	818	245	269	222	250	147	166	65	78	7287	7497	65	74	135	153	9351	9651	6958	7170	
43	8.38893e+006	8.38924e+006	570	618	737	814	230	252	209	235	142	162	62	75	7484	7702	68	77	139	157	9496	9803	7093	7315	
44	8.38879e+006	8.3891e+006	562	609	721	798	215	239	202	226	134	154	58	73	7667	7896	72	82	131	149	9632	9947	7210	7440	
45	8.38865e+006	8.38897e+006	548	595	714	789	204	227	192	215	126	144	55	68	7852	8088	77	87	131	149	9769	10090	7340	7575	
46	8.38851e+006	8.38884e+006	537	584	700	774	190	215	190	214	123	139	52	64	8023	8265	80	90	124	141	9898	10225	7459	7700	
47	8.38837e+006	8.38871e+006	523	573	694	767	177	201	186	208	119	134	51	62	8192	8444	83	93	125	146	10029	10365	7580	7828	
48	8.38823e+006	8.38857e+006	520	566	675	750	173	197	185	207	113	129	48	59	8354	8611	87	97	127	143	10162	10503	7694	7950	
49	8.3881e+006	8.38845e+006	510	556	659	729	167	191	180	203	107	123	47	57	8521	8788	90	101	121	138	10288	10636	7809	8070	
50	8.38797e+006	8.38833e+006	504	550	652	720	160	184	173	196	103	119	44	54	8671	8947	94	105	118	136	10411	10767	7918	8184	
51	8.38785e+006	8.38821e+006	490	533	632	704	160	184	166	189	102	117	44	53	8827	9107	97	109	112	128	10528	10889	8025	8298	
52	8.38771e+006	8.38808e+006	487	529	627	698	157	181	161	183	98	113	42	51	8974	9260	100	112	123	140	10657	11023	8137	8413	
53	8.38759e+006	8.38796e+006	478	521	614	685	151	175	156	179	93	107	39	48	9127	9419	102	115	112	131	10775	11148	8243	8526	
54	8.38747e+006	8.38785e+006	466	511	605	674	149	172	152	175	90	105	38	47	9267	9568	105	118	108	124	10889	11267	8345	8633	
55	8.38735e+006	8.38773e+006	466	509	589	656	145	169	149	171	88	104	37	47	9407	9712	107	120	110	126	11004	11388	8444	8734	
56	8.38722e+006	8.38761e+006	456	500	588	652	147	170	146	167	86	102	36	47	9539	9850	109	122	114	130	11123	11512	8547	8843	
57	8.3871e+006	8.38749e+006	457	501	582	646	139	161	145	169	84	100	35	46	9671	9990	111	124	114	132	11244	11638	8649	8951	
58	8.38698e+006	8.38738e+006	461	505	566	632	135	157	148	170	83	100	35	45	9798	10125	114	127	112	128	11361	11761	8746	9053	
