Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	542363	1	0	0	0	0	0	0	0	0	1	0	
1	542360	4	0	0	0	0	0	0	0	3	4	0	
2	542357	7	0	0	0	0	0	0	0	3	7	0	
3	542353	11	0	0	0	0	0	0	0	4	11	0	
4	542348	15	1	0	0	0	0	0	0	5	16	1	
5	542342	18	3	1	0	0	0	0	0	6	22	3	
6	542334	23	5	2	0	0	0	0	0	8	30	5	
7	542324	29	9	3	0	0	0	0	0	10	40	9	
8	542312	36	12	4	0	0	0	0	0	12	52	12	
9	542297	45	17	5	0	0	0	0	0	16	67	17	
10	542277	57	22	7	0	0	0	1	0	20	87	23	
11	542253	71	27	9	1	0	0	3	0	24	111	30	
12	542223	90	33	11	1	0	0	6	0	31	142	39	
13	542185	112	42	14	2	0	0	9	0	38	179	51	
14	542141	136	54	17	3	0	0	13	0	44	223	67	
15	542085	168	67	22	4	0	0	18	0	56	279	85	
16	542018	205	85	27	5	0	0	25	0	67	346	108	
17	541936	249	106	34	7	1	1	33	0	82	428	137	
18	541834	306	130	42	8	1	1	42	0	101	530	170	
19	541709	376	160	52	10	1	1	56	0	125	655	213	
20	541559	459	195	64	13	1	1	72	0	150	805	264	
21	541373	563	239	78	17	2	1	92	0	186	991	327	
22	541145	689	292	97	21	2	1	118	0	227	1219	404	
23	540869	840	357	119	26	3	2	150	0	276	1495	501	
24	540530	1029	436	146	32	3	2	188	0	339	1834	615	
25	540116	1257	533	179	40	4	2	235	0	414	2248	756	
26	539612	1533	653	219	49	5	3	292	0	503	2752	930	
27	538997	1872	797	269	60	6	3	362	1	615	3367	1140	
28	538243	2287	974	330	74	7	3	448	1	754	4121	1397	
29	537327	2789	1190	403	90	9	4	555	1	917	5037	1712	
30	536286	3327	1456	491	110	11	5	683	1	1041	6078	2097	
31	535113	3884	1779	596	135	13	6	842	1	1173	7251	2568	
32	533799	4444	2174	729	166	17	8	1035	1	1314	8565	3143	
33	532363	4964	2656	887	203	21	10	1270	1	1436	10001	3845	
34	530834	5452	3184	1061	248	26	12	1559	2	1529	11530	4641	
35	529238	5875	3749	1253	303	32	15	1912	2	1596	13126	5537	
36	527630	6169	4360	1453	371	39	18	2340	2	1607	14734	6550	
37	526064	6299	4975	1659	452	48	22	2864	2	1567	16300	7656	
38	524613	6221	5558	1851	552	59	27	3508	3	1451	17751	8840	
39	523323	5915	6067	2022	674	71	33	4289	3	1290	19041	10080	
40	522283	5347	6492	2163	806	87	40	5181	4	1040	20081	11335	
41	521532	4532	6791	2258	951	107	50	6189	4	751	20832	12567	
42	521105	3508	6964	2222	1105	130	61	7326	5	427	21259	13790	
43	520175	3148	6918	2122	1260	157	74	8578	6	930	22189	14888	
44	519309	2974	6602	1948	1406	191	89	9926	8	866	23055	15793	
45	518533	2999	6007	1699	1533	233	109	11351	9	776	23831	16470	
46	517811	3294	5143	1382	1642	280	130	12801	11	722	24553	16889	
47	517147	3028	4712	1177	1714	333	154	14240	13	664	25217	17707	
48	516546	2764	4244	1060	1742	392	182	15601	16	601	25818	18455	
49	516005	2528	3833	956	1715	453	210	16854	20	541	26359	19123	
50	515512	2299	3578	894	1623	516	239	17917	24	493	26852	19740	
51	515060	2087	3509	876	1465	579	266	18759	29	453	27304	20301	
52	514623	1923	3648	912	1239	639	293	19346	35	437	27741	20798	
53	514180	1825	3336	834	1121	690	317	20335	43	443	28184	21265	
54	513775	1738	3038	759	1009	729	335	21264	52	405	28589	21691	
55	513405	1655	2778	695	911	750	345	22106	64	370	28959	22082	
56	513061	1562	2551	638	850	751	345	22875	76	344	29303	22459	
57	512744	1436	2371	596	831	729	336	23566	91	317	29620	22837	
58	512447	1328	2215	556	865	680	312	24166	107	297	29917	23185	
59	512172	1232	2080	520	790	652	299	24791	125	275	30192	23502	
60	511913	1148	1960	492	719	617	283	25371	144	259	30451	23795	
61	511673	1070	1852	465	656	574	264	25911	164	240	30691	24066	
62	511443	1004	1738	437	601	525	243	26431	184	231	30921	24319	
63	511231	941	1606	402	562	478	220	26941	204	212	31133	24557	
64	511033	880	1488	374	523	432	199	27412	222	198	31331	24779	
65	510847	827	1383	349	492	391	179	27839	238	186	31517	24984	
66	510673	769	1293	325	464	361	166	28227	252	173	31691	25182	
67	510514	717	1230	283	440	344	157	28576	261	160	31850	25384	
68	510365	668	1171	243	414	345	158	28891	266	149	31999	25573	
69	510225	622	1119	207	382	321	148	29212	278	140	32139	25751	
70	510094	579	1068	172	353	296	137	29513	288	131	32270	25917	
71	509973	541	1021	139	329	274	127	29790	298	121	32391	26071	
72	509859	506	971	107	307	255	118	30052	307	114	32505	26214	
73	509751	474	907	99	287	236	109	30294	315	108	32613	26345	
74	509650	444	847	92	269	219	101	30521	322	101	32714	26467	
75	509558	415	788	85	253	206	94	30731	329	93	32807	26579	
76	509471	388	734	80	237	192	89	30926	335	87	32893	26685	
77	509390	361	687	76	221	182	83	31107	340	81	32974	26786	
78	509313	337	644	71	205	171	79	31277	346	77	33051	26879	
79	509209	349	601	67	191	158	72	31438	351	104	33155	26965	
80	509109	362	560	63	178	147	67	31588	357	100	33255	27045	
81	509014	375	524	59	165	138	63	31727	361	94	33350	27120	
82	508925	388	490	56	155	129	58	31856	366	90	33439	27191	
83	508835	373	487	55	145	120	54	31979	370	89	33529	27288	
84	508749	360	487	54	136	112	51	32092	373	87	33615	27380	
85	508662	352	487	56	127	105	48	32198	377	87	33702	27466	
86	508577	348	491	55	119	99	45	32296	380	85	33787	27548	
87	508491	344	499	55	111	93	43	32387	383	85	33873	27631	
88	508404	345	509	55	104	86	40	32475	386	87	33960	27711	
89	508317	345	493	54	103	80	37	32583	389	87	34047	27791	
90	508233	344	480	53	103	75	35	32687	391	84	34131	27870	
91	508148	343	472	51	103	70	32	32784	393	85	34216	27949	
92	508037	367	470	50	103	65	30	32876	396	111	34327	28029	
93	507927	390	468	50	105	60	28	32965	398	110	34437	28110	
94	507819	414	466	51	108	57	26	33051	400	109	34545	28187	
95	507706	441	464	51	104	55	25	33142	402	112	34658	28265	
96	507589	449	486	54	101	53	24	33230	403	118	34775	28366	
97	507469	459	508	55	100	51	24	33317	405	120	34895	28467	
98	507346	472	528	58	101	50	23	33403	406	123	35018	28567	
99	507218	489	550	60	100	49	22	33490	408	129	35146	28670	
100	507084	504	580	63	100	48	22	33575	409	133	35280	28778	
101	506944	525	611	68	99	48	22	33659	410	140	35420	28886	
102	506798	548	623	68	104	48	22	33764	411	146	35566	28999	
103	506651	567	639	71	108	49	22	33868	412	147	35713	29116	
104	506497	587	660	74	112	49	22	33971	413	153	35867	29238	
105	506336	608	685	77	116	48	22	34078	415	161	36028	29367	
106	506170	628	710	80	123	47	21	34189	416	167	36194	29500	
107	506000	651	736	83	129	47	21	34302	417	170	36364	29635	
108	505823	674	763	86	130	48	22	34421	419	176	36541	29775	
109	505639	698	793	89	133	49	22	34545	420	184	36725	29922	
110	505448	722	823	92	138	50	22	34671	421	191	36916	30075	
111	505249	750	850	95	143	51	23	34804	422	198	37115	30231	
112	505045	778	877	98	147	53	24	34943	423	204	37319	30392	
113	504837	801	910	102	153	55	25	35082	424	208	37527	30561	
114	504619	829	944	105	160	56	26	35225	425	218	37745	30735	
115	504393	857	978	109	166	58	27	35377	426	227	37971	30917	
116	504158	887	1011	113	172	61	28	35535	427	235	38206	31104	
117	503916	921	1045	117	177	64	30	35696	428	242	38448	31294	
118	503728	891	1083	121	183	65	30	35863	430	188	38636	31494	
119	503532	861	1121	125	189	67	31	36038	431	196	38832	31701	
120	503332	826	1161	129	196	70	33	36218	432	200	39032	31917	
121	503132	784	1200	134	204	72	34	36404	434	200	39232	32138	
122	502933	795	1186	131	212	74	34	36598	435	199	39431	32311	
123	502734	798	1174	131	219	77	35	36794	437	199	39630	32491	
124	502531	801	1158	129	227	80	37	37000	438	202	39833	32675	
125	502335	797	1135	126	236	83	38	37213	440	196	40029	32860	
126	502141	792	1102	123	243	86	40	37436	442	194	40223	33044	
127	501951	783	1064	118	250	89	41	37666	443	190	40413	33228	
128	501771	760	1077	119	248	93	43	37850	445	180	40593	33413	
129	501586	749	1079	118	245	97	45	38043	447	185	40778	33594	
130	501399	741	1074	118	244	99	46	38240	449	187	40965	33773	
131	501220	731	1064	117	239	103	48	38439	451	179	41144	33948	
132	501039	732	1047	115	234	106	50	38638	453	181	41325	34114	
133	500862	724	1034	114	226	111	52	38839	455	177	41502	34284	
134	500687	712	1020	112	228	111	52	39036	457	175	41677	34456	
135	500513	707	1004	111	229	112	52	39229	459	173	41851	34621	
136	500342	697	992	109	227	112	52	39423	461	172	42022	34788	
137	500171	691	980	109	224	113	52	39613	464	171	42193	34951	
138	500004	682	976	108	219	112	52	39796	466	166	42360	35112	
139	499839	674	966	107	216	111	51	39982	469	165	42525	35272	
140	499675	667	952	105	213	111	51	40169	472	164	42689	35430	
141	499515	656	945	104	208	110	50	40351	474	160	42849	35588	
142	499358	646	933	102	206	108	49	40534	477	157	43006	35741	
143	499199	640	923	100	205	105	47	40712	480	159	43165	35894	
144	499043	632	912	99	206	104	46	40885	482	156	43321	36045	
145	498890	625	901	98	205	103	47	41058	485	153	43474	36193	
146	498736	622	887	96	202	102	46	41231	487	154	43628	36337	
147	498585	614	875	96	202	100	45	41402	490	151	43779	36483	
148	498435	608	866	95	199	100	45	41568	492	150	43929	36627	
149	498291	600	854	95	195	100	45	41735	495	145	44073	36767	
150	498145	591	845	94	192	98	44	41901	498	145	44219	36910	
