Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	1.57623e+006	1.57623e+006	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	
1	1.57623e+006	1.57623e+006	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	9	9	0	0	
2	1.57622e+006	1.57622e+006	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	15	15	0	0	
3	1.57621e+006	1.57621e+006	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	25	26	0	0	
4	1.5762e+006	1.5762e+006	31	32	3	3	0	0	0	0	0	0	0	0	0	0	0	0	9	10	34	35	3	3	
5	1.57619e+006	1.57619e+006	36	39	7	8	1	2	0	0	0	0	0	0	0	0	0	0	11	13	45	48	7	8	
6	1.57617e+006	1.57618e+006	44	47	11	12	3	4	0	0	0	0	0	0	0	0	0	0	13	15	59	62	11	12	
7	1.57616e+006	1.57616e+006	49	53	19	20	5	6	0	0	0	0	0	0	0	0	0	0	15	17	74	78	19	20	
8	1.57614e+006	1.57615e+006	57	61	26	28	7	9	0	0	0	0	0	0	0	0	0	0	16	18	91	96	26	28	
9	1.57612e+006	1.57613e+006	64	69	34	37	10	12	0	0	0	0	0	0	0	0	0	0	18	21	110	116	34	37	
10	1.5761e+006	1.57611e+006	70	76	41	45	13	15	0	0	0	0	0	0	3	3	0	0	19	21	129	137	45	48	
11	1.57608e+006	1.57609e+006	73	80	48	53	15	18	1	1	0	0	0	0	8	8	0	0	19	21	149	158	57	61	
