Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	25	0	0	0	0	0	0	0	10	25	0	
4	1.5762e+006	32	3	0	0	0	0	0	0	9	35	3	
5	1.57619e+006	38	7	2	0	0	0	0	0	12	47	7	
6	1.57618e+006	45	12	3	0	0	0	0	0	14	60	12	
7	1.57616e+006	51	20	6	0	0	0	0	0	16	76	20	
8	1.57614e+006	59	27	8	0	0	0	0	0	17	94	27	
9	1.57612e+006	67	36	11	0	0	0	0	0	20	113	36	
10	1.5761e+006	73	43	14	0	0	0	3	0	20	133	46	
11	1.57608e+006	77	51	17	1	0	0	8	0	20	153	59	
12	1.57606e+006	83	59	20	2	0	0	13	0	23	177	72	
13	1.57603e+006	89	66	22	4	0	0	21	0	26	202	86	
14	1.57601e+006	95	73	25	6	0	0	29	0	26	228	102	
15	1.57598e+006	104	80	27	8	0	0	38	0	29	257	117	
16	1.57595e+006	113	87	29	11	0	0	49	0	33	290	135	
17	1.57591e+006	121	95	31	13	1	1	63	0	34	324	155	
18	1.57588e+006	131	102	33	15	2	2	76	0	36	359	175	
19	1.57584e+006	143	110	34	18	3	3	93	0	40	400	198	
20	1.57579e+006	152	119	37	20	4	3	110	0	42	442	223	
21	1.57575e+006	162	130	41	21	4	3	127	0	43	485	250	
22	1.5757e+006	173	139	43	24	6	4	147	0	47	532	279	
23	1.57565e+006	183	150	47	26	6	4	170	0	51	583	311	
24	1.5756e+006	192	162	51	28	7	5	193	0	51	634	344	
25	1.57555e+006	204	173	55	30	9	6	219	0	56	689	378	
26	1.57548e+006	220	184	58	32	10	6	247	0	63	752	414	
27	1.57542e+006	235	197	63	35	11	6	277	1	66	818	454	
28	1.57538e+006	219	207	68	38	11	6	308	2	34	852	493	
29	1.57535e+006	201	217	72	41	11	6	345	2	38	890	536	
30	1.57531e+006	179	233	78	43	12	6	383	3	41	931	586	
31	1.57527e+006	150	249	84	47	13	7	422	3	36	968	637	
32	1.57523e+006	150	240	81	50	14	7	464	4	35	1002	667	
33	1.57518e+006	165	231	77	54	15	7	510	4	53	1055	700	
34	1.57513e+006	177	224	74	55	17	8	557	4	53	1108	733	
35	1.57508e+006	190	209	69	59	18	8	607	5	49	1157	763	
36	1.57503e+006	203	188	62	65	19	9	664	5	48	1205	792	
37	1.57498e+006	197	180	57	69	20	9	724	5	47	1252	837	
38	1.57494e+006	190	193	63	65	21	10	760	6	46	1298	878	
39	1.57489e+006	187	201	66	63	23	11	799	6	47	1345	916	
40	1.57484e+006	188	206	68	61	24	11	839	6	48	1393	955	
41	1.57479e+006	192	213	71	57	26	12	877	7	51	1444	991	
42	1.57474e+006	194	224	72	51	29	13	915	7	48	1492	1029	
43	1.57469e+006	198	222	68	48	30	14	969	8	51	1543	1069	
44	1.57464e+006	203	220	65	52	30	13	1017	9	53	1595	1110	
45	1.57459e+006	201	224	63	55	30	13	1064	9	50	1645	1153	
46	1.57454e+006	206	227	60	55	30	13	1109	10	53	1698	1194	
47	1.57449e+006	207	232	59	57	30	13	1154	11	52	1750	1235	
48	1.57443e+006	209	238	60	58	29	13	1198	12	55	1805	1279	
49	1.57438e+006	214	239	61	57	29	13	1246	12	54	1859	1320	
50	1.57432e+006	216	244	62	56	30	13	1294	13	55	1914	1365	
51	1.57427e+006	219	244	62	56	29	13	1345	14	55	1969	1407	
52	1.57421e+006	218	248	64	57	28	12	1392	15	54	2023	1453	
53	1.57416e+006	219	252	64	59	27	12	1441	16	55	2078	1498	
54	1.5741e+006	221	254	65	61	28	13	1491	17	57	2135	1543	
55	1.57404e+006	224	258	66	62	28	13	1538	17	57	2193	1589	
56	1.57399e+006	226	258	67	62	29	13	1589	18	56	2249	1634	
57	1.57393e+006	228	262	66	62	30	14	1640	19	57	2306	1679	
58	1.57387e+006	227	264	67	63	31	14	1692	19	57	2363	1727	
59	1.57381e+006	230	267	66	63	30	15	1745	20	60	2423	1776	
60	1.57376e+006	232	268	67	63	30	14	1800	21	58	2481	1822	
61	1.5737e+006	235	269	68	64	31	14	1853	22	60	2541	1870	
62	1.57363e+006	239	272	68	65	31	14	1905	23	61	2602	1917	
63	1.57357e+006	240	275	69	66	31	15	1958	24	60	2662	1967	
64	1.57349e+006	261	276	70	65	31	15	2014	24	80	2742	2016	
65	1.57341e+006	282	277	71	66	32	15	2069	25	81	2823	2065	
66	1.57333e+006	305	281	72	67	32	15	2124	26	84	2907	2116	
67	1.57324e+006	330	290	67	67	32	15	2180	27	85	2992	2172	
68	1.57316e+006	338	315	64	67	32	15	2236	28	88	3080	2245	
69	1.57306e+006	350	341	60	68	32	15	2294	29	93	3173	2321	
70	1.57296e+006	367	370	56	68	33	15	2352	29	101	3274	2398	
71	1.57286e+006	382	399	52	68	33	16	2410	30	101	3374	2477	
72	1.57275e+006	402	430	49	70	32	16	2469	31	108	3482	2559	
73	1.57264e+006	423	460	51	71	34	16	2526	32	114	3596	2644	
74	1.57252e+006	443	479	52	76	34	16	2599	33	121	3717	2736	
75	1.57239e+006	469	497	54	81	34	17	2674	34	127	3844	2829	
76	1.57229e+006	462	519	56	88	34	16	2751	35	101	3944	2928	
77	1.57219e+006	451	546	59	93	34	16	2829	36	103	4047	3033	
78	1.57208e+006	439	574	63	98	35	16	2910	37	108	4155	3142	
