Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	26	0	0	0	0	0	0	0	11	26	0	
4	1.5762e+006	33	3	0	0	0	0	0	0	10	36	3	
5	1.57619e+006	40	7	2	0	0	0	0	0	13	49	7	
6	1.57617e+006	52	12	3	0	0	0	0	0	18	67	12	
7	1.57615e+006	62	20	6	0	0	0	0	0	21	88	20	
8	1.57612e+006	79	28	8	0	0	0	0	0	27	115	28	
9	1.57609e+006	96	38	11	0	0	0	0	0	30	145	38	
10	1.57605e+006	118	48	15	0	0	0	3	0	39	184	51	
11	1.57601e+006	139	59	20	1	0	0	8	0	43	227	67	
12	1.57596e+006	162	75	25	2	0	0	13	0	50	277	88	
13	1.5759e+006	186	90	30	4	0	0	22	0	55	332	110	
14	1.57584e+006	209	112	37	6	0	0	29	0	62	394	140	
15	1.57578e+006	231	135	43	9	0	0	40	0	64	458	173	
16	1.57571e+006	247	159	51	12	0	0	55	0	67	524	212	
17	1.57564e+006	261	185	59	15	1	1	72	0	68	593	254	
18	1.57558e+006	265	212	67	19	2	2	94	0	66	658	302	
19	1.5755e+006	277	238	74	24	3	3	119	0	76	735	352	
20	1.57542e+006	291	259	81	29	4	3	152	0	80	815	404	
21	1.57534e+006	304	277	89	36	5	4	187	0	82	897	457	
22	1.57525e+006	329	288	93	43	6	4	229	0	91	987	509	
23	1.57515e+006	351	303	100	50	7	5	274	0	98	1086	568	
24	1.57505e+006	370	317	104	57	9	5	328	0	99	1185	631	
25	1.57495e+006	392	330	109	63	11	6	384	0	104	1289	697	
26	1.57484e+006	413	348	116	70	12	7	442	0	112	1401	769	
27	1.57472e+006	430	370	123	74	14	8	504	1	116	1516	847	
28	1.5746e+006	455	395	131	77	16	8	563	2	123	1639	925	
29	1.57447e+006	480	417	137	82	19	9	632	2	130	1769	1007	
30	1.57433e+006	505	440	145	85	21	10	705	3	137	1906	1096	
31	1.57419e+006	529	465	155	89	24	12	781	3	140	2046	1185	
32	1.57404e+006	554	489	163	94	27	13	862	4	148	2193	1282	
33	1.57389e+006	582	512	172	100	30	14	951	4	157	2351	1382	
34	1.57372e+006	610	539	182	107	33	15	1040	5	165	2516	1489	
35	1.57363e+006	558	566	191	111	36	17	1137	5	88	2603	1597	
36	1.57354e+006	506	592	201	115	39	18	1241	6	96	2699	1712	
37	1.57344e+006	443	624	211	125	40	18	1345	6	94	2793	1836	
38	1.57335e+006	368	656	221	133	44	20	1456	7	91	2884	1966	
39	1.57326e+006	371	624	211	139	46	21	1576	8	90	2975	2037	
40	1.57313e+006	406	592	201	145	49	22	1702	9	130	3105	2114	
41	1.573e+006	439	559	189	153	51	23	1830	11	127	3232	2191	
42	1.57288e+006	469	521	170	163	54	24	1964	11	121	3353	2270	
43	1.57277e+006	495	475	149	168	58	26	2112	13	116	3470	2350	
44	1.57265e+006	479	455	135	175	63	29	2264	14	114	3584	2461	
45	1.57255e+006	459	490	138	168	65	30	2355	15	107	3691	2567	
46	1.57243e+006	449	516	138	162	69	32	2451	16	111	3802	2668	
47	1.57232e+006	446	539	138	152	74	34	2550	17	113	3915	2766	
48	1.57221e+006	445	557	142	141	77	36	2648	19	113	4028	2861	
49	1.57209e+006	454	571	145	128	80	37	2746	20	117	4145	2950	
50	1.57197e+006	464	558	139	122	83	39	2878	22	121	4266	3045	
51	1.57185e+006	468	548	136	128	83	39	2998	24	117	4383	3140	
52	1.57174e+006	471	541	134	131	82	38	3114	26	116	4499	3236	
53	1.57162e+006	473	542	134	135	80	37	3226	28	118	4617	3333	
54	1.5715e+006	472	546	137	140	77	35	3337	30	121	4738	3433	
55	1.57138e+006	471	553	139	143	75	35	3441	32	115	4854	3531	
56	1.57126e+006	473	556	142	138	75	35	3555	35	119	4972	3628	
57	1.57114e+006	475	559	143	136	73	34	3670	37	120	5092	3726	
58	1.57102e+006	476	565	145	134	71	32	3784	40	122	5214	3827	
59	1.5709e+006	479	564	144	135	68	31	3899	42	119	5333	3924	
60	1.57078e+006	483	562	144	136	65	30	4020	45	122	5455	4023	
61	1.57066e+006	483	564	145	137	67	30	4134	46	120	5575	4123	
62	1.57054e+006	485	570	145	139	67	31	4245	48	124	5699	4226	
63	1.57041e+006	489	569	146	141	68	32	4359	50	123	5822	4325	
64	1.57029e+006	487	570	147	143	69	32	4475	51	120	5942	4426	
65	1.57017e+006	490	572	150	142	71	33	4589	52	123	6065	4524	
66	1.57005e+006	489	578	149	140	69	32	4708	55	123	6188	4629	
67	1.56992e+006	491	593	137	144	69	32	4823	57	125	6313	4745	
68	1.5698e+006	492	603	125	145	69	32	4942	59	122	6434	4857	
69	1.56968e+006	494	621	112	145	69	32	5058	61	125	6559	4974	
70	1.56955e+006	494	634	98	146	70	33	5177	63	123	6682	5090	
71	1.56939e+006	533	653	85	149	69	33	5292	65	164	6846	5208	
72	1.56923e+006	576	663	72	151	70	33	5412	67	164	7010	5323	
73	1.56906e+006	615	665	72	148	71	34	5534	69	164	7174	5438	
74	1.56889e+006	666	667	73	147	72	35	5653	70	173	7347	5551	
75	1.56871e+006	682	703	77	147	72	35	5774	72	180	7528	5701	
76	1.56852e+006	704	741	81	149	73	36	5892	74	186	7713	5852	
77	1.56833e+006	737	777	85	147	75	36	6015	76	198	7911	6002	
