Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	814	836	16	16	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	16	16	
5	8.39743e+006	8.39748e+006	1085	1127	131	140	36	45	0	0	0	0	0	0	0	0	0	0	425	456	1261	1303	131	140	
6	8.39683e+006	8.3969e+006	1503	1573	251	262	74	85	0	0	0	0	0	0	0	0	0	0	573	612	1839	1909	251	262	
7	8.39593e+006	8.39604e+006	2175	2282	390	406	119	134	0	0	0	0	0	0	0	0	0	0	851	904	2698	2806	390	406	
8	8.39466e+006	8.39483e+006	3075	3226	620	649	196	216	0	0	0	0	0	0	0	0	0	0	1202	1277	3911	4072	623	646	
9	8.39288e+006	8.39313e+006	4341	4556	946	994	300	323	0	0	0	0	0	0	0	0	0	0	1689	1788	5607	5853	951	989	
10	8.39039e+006	8.39074e+006	6156	6444	1362	1438	442	474	0	0	0	0	0	0	16	16	0	0	2383	2505	8001	8346	1388	1444	
11	8.3868e+006	8.38731e+006	8722	9133	1888	2004	608	651	27	35	0	0	0	0	141	149	0	0	3413	3598	11426	11933	2046	2131	
12	8.38186e+006	8.38258e+006	12235	12810	2668	2842	869	932	56	67	0	0	0	0	269	280	0	0	4710	4960	16152	16876	2959	3079	
13	8.37507e+006	8.37609e+006	17037	17823	3796	4053	1243	1321	90	103	0	0	0	0	420	435	0	0	6486	6805	22651	23669	4242	4427	
14	8.36539e+006	8.36685e+006	23878	25011	5352	5702	1753	1858	147	165	0	0	0	0	673	697	0	0	9221	9696	31886	33350	6060	6322	
15	8.35194e+006	8.35402e+006	33284	34874	7556	8053	2523	2663	238	260	0	0	0	0	1013	1053	0	0	12819	13462	44721	46796	8631	9015	
16	8.33321e+006	8.33613e+006	46441	48654	10614	11308	3585	3774	347	374	0	0	0	0	1483	1544	0	0	17869	18738	62602	65522	12173	12725	
17	8.30694e+006	8.31101e+006	65067	68136	14787	15746	5013	5269	487	522	15	19	14	17	2183	2277	0	0	25109	26290	87727	91796	17088	17857	
18	8.27052e+006	8.27622e+006	90616	94874	20726	22085	7051	7391	687	735	25	30	19	22	3183	3323	0	0	34773	36430	122513	128213	24053	25164	
19	8.21977e+006	8.2278e+006	126211	132176	28996	30902	9839	10319	989	1050	34	40	23	27	4570	4777	0	0	48414	50763	170941	178963	33766	35329	
20	8.14995e+006	8.16108e+006	175049	183272	40486	43161	13736	14393	1395	1471	51	60	31	36	6537	6833	0	0	66706	69836	237660	248785	47259	49465	
21	8.0533e+006	8.06862e+006	242383	253649	56668	60364	19117	20014	1967	2069	77	88	44	51	9362	9797	0	0	92447	96662	330121	345434	66282	69358	
22	7.9207e+006	7.94174e+006	334474	349836	79017	84169	26627	27886	2773	2917	109	122	58	67	13248	13858	0	0	126865	132616	456999	478038	92575	96886	
23	7.75802e+006	7.78596e+006	441823	461764	110232	117470	37070	38812	3893	4079	158	176	80	93	18576	19437	0	0	155764	162691	612775	640716	129252	135334	
24	7.56223e+006	7.59805e+006	563014	587734	152996	162978	51417	53819	5430	5697	223	247	110	125	26209	27430	0	0	187894	195808	800683	836510	179728	188171	
25	7.33197e+006	7.37658e+006	692024	721341	212190	225855	71341	74652	7608	7986	324	352	154	173	36766	38481	0	0	221457	230270	1.02215e+006	1.06677e+006	249689	261293	
26	7.07707e+006	7.13089e+006	810834	843638	293247	311951	98579	103136	10634	11142	458	491	213	237	51487	53911	0	0	245671	254918	1.26784e+006	1.32167e+006	345733	361651	
27	6.81139e+006	6.87439e+006	911559	946643	390399	415054	131223	137293	14850	15551	645	687	292	321	72196	75564	13	16	256486	265698	1.52435e+006	1.58735e+006	463827	484901	
28	6.55262e+006	6.62381e+006	974229	1.00962e+006	504273	535382	169573	177239	20711	21670	896	954	405	441	100864	105594	17	20	250562	258788	1.77493e+006	1.84611e+006	606336	633366	
29	6.32371e+006	6.40164e+006	974921	1.00828e+006	633081	670862	212871	222201	28833	30213	1256	1329	574	619	140809	147423	19	22	222151	228927	1.9971e+006	2.07502e+006	774764	808479	
30	6.14935e+006	6.23181e+006	899058	927741	766466	810542	257601	268454	40106	41989	1753	1852	814	869	195756	204942	22	26	169806	174381	2.16693e+006	2.24938e+006	962305	1.00308e+006	
31	5.95745e+006	6.04437e+006	829989	853968	888782	938004	298621	310731	55590	58147	2462	2593	1147	1219	272016	284685	28	35	187407	191935	2.35437e+006	2.44129e+006	1.1591e+006	1.20694e+006	
32	5.75664e+006	5.84774e+006	776037	796016	981298	1.03305e+006	329480	342174	76671	80194	3406	3583	1583	1676	376856	394249	35	42	196602	200845	2.551e+006	2.6421e+006	1.35322e+006	1.40751e+006	
33	5.55797e+006	5.65273e+006	748860	765795	1.03126e+006	1.08285e+006	345949	358566	102144	106795	4769	5015	2214	2336	505787	528878	47	56	194964	198715	2.746e+006	2.84077e+006	1.52764e+006	1.58728e+006	
34	5.36315e+006	5.46091e+006	770837	786268	1.01835e+006	1.06648e+006	341263	353026	131737	137621	6632	6953	3077	3231	662221	691892	63	75	191774	194863	2.93783e+006	3.03558e+006	1.66413e+006	1.72753e+006	
35	5.17485e+006	5.27489e+006	769395	782685	993467	1.03715e+006	332736	343373	165384	172510	9225	9682	4269	4479	847426	884507	87	100	185948	188368	3.12384e+006	3.22389e+006	1.81542e+006	1.88263e+006	
36	4.99584e+006	5.09748e+006	750153	760905	957430	995947	320396	329815	200147	208437	12880	13497	5929	6217	1.05467e+006	1.09963e+006	118	134	177346	179080	3.30126e+006	3.4029e+006	1.97491e+006	2.04571e+006	
37	4.82931e+006	4.93193e+006	720655	728802	912051	944911	305028	313092	232112	241374	17856	18687	8242	8626	1.27417e+006	1.32713e+006	170	189	165415	166662	3.4668e+006	3.56943e+006	2.13366e+006	2.20761e+006	
38	4.6748e+006	4.77762e+006	683096	688540	868573	896099	290468	297229	256219	265968	24630	25776	11347	11878	1.49381e+006	1.55416e+006	230	253	154075	154742	3.62112e+006	3.72393e+006	2.28959e+006	2.36619e+006	
39	4.53279e+006	4.63523e+006	639337	642392	841800	864783	281714	287311	269142	278831	33019	34542	15177	15897	1.69457e+006	1.76134e+006	322	349	141804	142606	3.76351e+006	3.86595e+006	2.43982e+006	2.51849e+006	
40	4.40009e+006	4.50174e+006	594808	596686	847747	867737	283746	288617	265807	274870	42926	44866	19721	20631	1.8577e+006	1.9292e+006	451	486	132588	133602	3.897e+006	3.99865e+006	2.58102e+006	2.66111e+006	
41	4.27292e+006	4.37339e+006	556052	558878	831880	848344	278166	282191	259195	267461	54594	56996	25117	26246	2.0399e+006	2.11619e+006	637	682	127082	128430	4.02534e+006	4.12582e+006	2.71438e+006	2.7955e+006	
42	4.15328e+006	4.25227e+006	521301	525571	808277	820730	259935	263011	249686	257050	67411	70257	30981	32317	2.23299e+006	2.31391e+006	863	922	119563	121196	4.14646e+006	4.24546e+006	2.8474e+006	2.92889e+006	
43	4.04267e+006	4.13995e+006	489968	495423	776399	784871	239645	241769	237728	244039	80336	83610	36917	38453	2.42668e+006	2.51188e+006	1210	1286	110557	112373	4.25878e+006	4.35607e+006	2.9708e+006	3.0522e+006	
44	3.94051e+006	4.0358e+006	459464	466043	739682	744642	218288	219625	226269	231572	92334	95963	42455	44152	2.61749e+006	2.70632e+006	1682	1782	102123	104182	4.36293e+006	4.45822e+006	3.08694e+006	3.16787e+006	
45	3.84673e+006	3.93989e+006	426091	433598	702655	705484	197200	198091	219048	223538	102044	105896	46902	48711	2.80035e+006	2.89205e+006	2334	2472	93737	95958	4.45885e+006	4.552e+006	3.19867e+006	3.27878e+006	
