Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	825	16	0	0	0	0	0	0	317	841	16	
5	8.39745e+006	1106	136	40	0	0	0	0	0	441	1282	136	
6	8.39686e+006	1538	256	80	0	0	0	0	0	592	1874	256	
7	8.39598e+006	2228	398	126	0	0	0	0	0	878	2752	398	
8	8.39474e+006	3151	635	206	0	0	0	0	0	1240	3992	635	
9	8.39301e+006	4448	970	312	0	0	0	0	0	1739	5730	970	
10	8.39056e+006	6300	1400	458	0	0	0	16	0	2444	8174	1416	
11	8.38706e+006	8928	1946	630	31	0	0	145	0	3505	11679	2088	
12	8.38222e+006	12523	2755	900	61	0	0	275	0	4835	16514	3019	
13	8.37558e+006	17430	3924	1282	96	0	0	427	0	6646	23160	4335	
14	8.36612e+006	24444	5527	1806	156	0	0	685	0	9458	32618	6191	
15	8.35298e+006	34079	7805	2593	249	0	0	1033	0	13140	45759	8823	
16	8.33648e+006	45741	10961	3680	360	0	0	1514	0	16497	62255	12449	
17	8.3159e+006	59680	15267	5141	504	17	15	2230	0	20584	82840	17473	
18	8.29085e+006	75272	21406	7221	711	28	20	3253	0	25051	107891	24609	
19	8.26193e+006	91048	29949	10079	1019	37	25	4674	0	28916	136806	34548	
20	8.23022e+006	106257	40475	13607	1433	56	34	6685	0	31706	168512	47013	
21	8.19771e+006	118187	53291	17869	2018	82	47	9579	0	32514	201027	62595	
22	8.16715e+006	123699	68491	22885	2845	116	63	13553	0	30563	231590	81629	
23	8.14249e+006	119445	85207	28440	3986	167	86	19006	0	24661	256251	103649	
24	8.11375e+006	116478	101946	33948	5563	235	118	26820	0	28739	284990	127909	
25	8.08168e+006	116030	116462	38806	7797	338	164	37624	0	32066	317056	152930	
