Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	1.57623e+006	3	0	0	0	0	0	0	0	0	3	0	
1	1.57623e+006	9	0	0	0	0	0	0	0	6	9	0	
2	1.57622e+006	15	0	0	0	0	0	0	0	6	15	0	
3	1.57621e+006	25	0	0	0	0	0	0	0	10	25	0	
4	1.5762e+006	31	3	0	0	0	0	0	0	9	34	3	
5	1.57619e+006	37	7	2	0	0	0	0	0	12	46	7	
6	1.57618e+006	45	12	3	0	0	0	0	0	14	60	12	
7	1.57616e+006	53	20	6	0	0	0	0	0	18	78	20	
8	1.57614e+006	65	26	8	0	0	0	0	0	21	99	26	
9	1.57611e+006	77	35	11	0	0	0	0	0	25	124	35	
10	1.57608e+006	92	43	14	0	0	0	3	0	29	152	46	
11	1.57605e+006	110	52	17	1	0	0	8	0	36	188	60	
12	1.57601e+006	130	63	21	2	0	0	13	0	41	229	76	
13	1.57596e+006	155	73	25	4	0	0	21	0	50	279	94	
14	1.5759e+006	182	88	30	6	0	0	28	0	56	334	116	
15	1.57583e+006	216	107	35	8	0	0	38	0	70	404	143	
16	1.57576e+006	252	127	41	11	0	0	49	0	77	481	175	
17	1.57566e+006	294	152	49	13	1	1	64	0	92	573	213	
18	1.57556e+006	345	178	57	16	2	2	81	0	106	679	256	
19	1.57543e+006	403	214	67	20	3	3	101	0	128	807	310	
20	1.57529e+006	470	250	79	23	4	3	125	0	144	951	370	
21	1.57512e+006	548	292	93	28	4	3	156	0	170	1121	441	
22	1.57492e+006	643	340	110	34	5	4	190	0	201	1321	522	
23	1.57469e+006	744	398	131	41	6	4	232	0	230	1551	619	
24	1.57442e+006	870	465	152	48	8	5	279	0	269	1820	731	
25	1.5741e+006	1017	539	177	57	9	6	338	0	317	2137	862	
26	1.57373e+006	1181	631	209	66	11	7	404	0	365	2502	1016	
27	1.57331e+006	1373	734	244	77	12	7	483	1	421	2924	1194	
28	1.57281e+006	1604	856	286	91	14	7	572	2	501	3425	1400	
29	1.57224e+006	1858	998	333	107	15	8	682	2	570	3995	1645	
30	1.57158e+006	2155	1161	391	125	18	9	804	3	662	4657	1924	
31	1.5708e+006	2510	1348	456	146	21	10	951	3	776	5434	2246	
32	1.56991e+006	2906	1570	533	170	24	12	1123	4	897	6330	2628	
33	1.56887e+006	3370	1826	618	198	30	14	1319	4	1035	7365	3067	
34	1.56766e+006	3920	2119	718	229	35	16	1552	4	1213	8578	3572	
35	1.56625e+006	4550	2461	835	266	41	19	1826	5	1406	9984	4167	
36	1.56463e+006	5279	2859	969	310	48	22	2139	5	1625	11609	4855	
37	1.56273e+006	6143	3322	1120	360	58	27	2500	6	1899	13508	5653	
38	1.56054e+006	7121	3859	1294	423	67	31	2929	6	2192	15699	6589	
39	1.55799e+006	8258	4483	1506	489	79	36	3420	7	2543	18242	7670	
40	1.55505e+006	9574	5212	1739	570	91	42	3988	8	2941	21183	8925	
41	1.55166e+006	11073	6055	2019	665	108	49	4652	9	3397	24580	10388	
42	1.5477e+006	12840	7140	2229	774	125	57	5422	10	3959	28539	12189	
43	1.54314e+006	14854	8394	2483	895	145	67	6313	12	4557	33096	14273	
44	1.53788e+006	17177	9832	2773	1036	168	78	7361	13	5264	38360	16683	
45	1.53182e+006	19838	11501	3096	1204	195	90	8569	16	6058	44419	19475	
46	1.5248e+006	22892	13445	3486	1396	227	105	9968	18	7013	51432	22723	
47	1.51673e+006	26407	15671	3918	1617	263	123	11606	21	8071	59503	26467	
48	1.50744e+006	30437	18135	4526	1880	307	145	13488	24	9294	68797	30775	
49	1.49677e+006	35045	20955	5221	2189	352	167	15673	28	10667	79464	35728	
50	1.48456e+006	40243	24211	6038	2528	408	192	18215	33	12211	91675	41449	
51	1.47063e+006	46108	27947	6976	2926	472	222	21145	38	13936	105611	48039	
52	1.4547e+006	52735	32214	8044	3389	548	256	24559	44	15921	121532	55629	
53	1.43664e+006	60131	37095	9272	3926	636	296	28484	50	18063	139595	64342	
54	1.41621e+006	68348	42632	10683	4539	739	343	33024	58	20428	160023	74309	
55	1.39302e+006	77605	48938	12255	5227	860	400	38264	68	23192	183216	85707	
56	1.36705e+006	87659	56074	14026	6054	995	462	44305	79	25975	209191	98727	
57	1.33808e+006	98558	64070	16022	6983	1152	533	51277	92	28962	238153	113499	
58	1.30575e+006	110468	72977	18249	8049	1333	616	59308	107	32338	270491	130210	
59	1.27004e+006	122986	82988	20764	9270	1554	714	68518	122	35710	306201	149174	
60	1.23087e+006	136175	94012	23504	10649	1797	824	79088	142	39164	345366	170449	
61	1.18821e+006	149874	106041	26502	12227	2075	953	91146	164	42661	388027	194190	
62	1.14216e+006	163580	119178	29781	13997	2400	1103	104947	189	46044	434072	220704	
63	1.09293e+006	177109	133308	33298	15984	2773	1273	120620	218	49238	483310	249999	
64	1.04086e+006	190015	148288	37055	18203	3201	1469	138368	252	52071	535381	282142	
65	986298	201910	163882	40929	20707	3684	1692	158531	293	54556	589938	317206	
66	929848	212317	179977	44903	23454	4243	1949	181153	341	56451	646388	355113	
67	872158	220768	201109	44048	26447	4869	2238	206442	395	57690	704078	400586	
68	813880	226975	222082	42808	29735	5589	2565	234711	457	58278	762356	448732	
69	755885	230413	242617	41119	33292	6392	2936	265986	532	57994	820351	499288	
70	698852	230996	262092	38930	37039	7307	3359	300405	615	57034	877384	551643	
71	643690	228467	279890	36162	40911	8333	3832	338074	709	55161	932546	605284	
72	590947	222932	295441	32844	44927	9470	4358	378854	821	52743	985289	659545	
